level,exp,max_member,lumber_buff,marble_buff,steel_buff,food_buff
1,0,30,0.005,0.005,0.005,0.005
2,8400,35,0.01,0.01,0.01,0.01
3,9600,40,0.015,0.015,0.015,0.015
4,10800,45,0.02,0.02,0.02,0.02
5,12000,50,0.025,0.025,0.025,0.025
6,215000,55,0.03,0.03,0.03,0.03
7,236000,60,0.035,0.035,0.035,0.035
8,257000,65,0.04,0.04,0.04,0.04
9,278000,70,0.045,0.045,0.045,0.045
10,299000,75,0.05,0.05,0.05,0.05
11,1203000,80,0.055,0.055,0.055,0.055
12,1262000,85,0.06,0.06,0.06,0.06
13,1320000,90,0.065,0.065,0.065,0.065
14,1380000,95,0.07,0.07,0.07,0.07
15,1440000,100,0.075,0.075,0.075,0.075
16,4150000,105,0.08,0.08,0.08,0.08
17,4420000,110,0.085,0.085,0.085,0.085
18,4700000,115,0.09,0.09,0.09,0.09
19,4970000,120,0.095,0.095,0.095,0.095
20,5240000,125,0.1,0.1,0.1,0.1
21,11840000,130,0.105,0.105,0.105,0.105
22,12370000,135,0.11,0.11,0.11,0.11
23,12900000,140,0.115,0.115,0.115,0.115
24,13700000,145,0.12,0.12,0.12,0.12
25,14400000,150,0.125,0.125,0.125,0.125
26,28000000,155,0.13,0.13,0.13,0.13
27,29300000,160,0.135,0.135,0.135,0.135
28,30700000,165,0.14,0.14,0.14,0.14
29,32800000,170,0.145,0.145,0.145,0.145
30,35000000,175,0.15,0.15,0.15,0.15
31,61300000,180,0.155,0.155,0.155,0.155
32,64900000,185,0.16,0.16,0.16,0.16
33,68400000,190,0.165,0.165,0.165,0.165
34,71900000,195,0.17,0.17,0.17,0.17
35,75400000,200,0.175,0.175,0.175,0.175
36,145000000,205,0.18,0.18,0.18,0.18
37,151000000,210,0.185,0.185,0.185,0.185
38,156000000,215,0.19,0.19,0.19,0.19
39,162000000,220,0.195,0.195,0.195,0.195
40,167000000,225,0.2,0.2,0.2,0.2
41,301000000,230,0.205,0.205,0.205,0.205
42,309000000,235,0.21,0.21,0.21,0.21
43,317000000,240,0.215,0.215,0.215,0.215
44,325000000,245,0.22,0.22,0.22,0.22
45,334000000,250,0.225,0.225,0.225,0.225
46,587000000,255,0.23,0.23,0.23,0.23
47,600000000,260,0.235,0.235,0.235,0.235
48,611000000,265,0.24,0.24,0.24,0.24
49,623000000,270,0.245,0.245,0.245,0.245
50,634000000,275,0.25,0.25,0.25,0.25
51,1067000000,280,0.255,0.255,0.255,0.255
52,1080000000,285,0.26,0.26,0.26,0.26
53,1100000000,290,0.265,0.265,0.265,0.265
54,1120000000,295,0.27,0.27,0.27,0.27
55,1130000000,300,0.275,0.275,0.275,0.275
