name,path
0,Sprites/v4ui/ui_alliance_elbm/alliance0
1,Sprites/v4ui/ui_alliance_elbm/alliance1
2,Sprites/v4ui/ui_alliance_elbm/alliance2
3,Sprites/v4ui/ui_alliance_elbm/alliance3
4,Sprites/v4ui/ui_alliance_elbm/alliance4
5,Sprites/v4ui/ui_alliance_elbm/alliance5
6,Sprites/v4ui/ui_alliance_elbm/alliance6
7,Sprites/v4ui/ui_alliance_elbm/alliance7
8,Sprites/v4ui/ui_alliance_elbm/alliance8
9,Sprites/v4ui/ui_alliance_elbm/alliance9
10,Sprites/v4ui/ui_alliance_elbm/alliance10
11,Sprites/v4ui/ui_alliance_elbm/alliance11
12,Sprites/v4ui/ui_alliance_elbm/alliance12
13,Sprites/v4ui/ui_alliance_elbm/alliance13
14,Sprites/v4ui/ui_alliance_elbm/alliance14
15,Sprites/v4ui/ui_alliance_elbm/alliance15
16,Sprites/v4ui/ui_alliance_elbm/alliance16
17,Sprites/v4ui/ui_alliance_elbm/alliance17
18,Sprites/v4ui/ui_alliance_elbm/alliance18
19,Sprites/v4ui/ui_alliance_elbm/alliance19
20,Sprites/v4ui/ui_alliance_elbm/alliance20
21,Sprites/v4ui/ui_alliance_elbm/alliance21
