name,path
def_1,Audio/default_1
def_2,Audio/default_2
def_interval,Audio/default_interval
bg_battle,Audio/bg_battle
bg_lottery,Audio/bg_lottery
bg_elf,Audio/bg_elf
bg_dwarf,Audio/bg_dwarf
bg_demon,Audio/bg_demon
bg_dragon,Audio/bg_dragon
env_enemy,Audio/
env_wave,Audio/env_wave
act_button,Audio/act_button
act_expand,Audio/act_expand
act_click_tile,Audio/act_click_tile
act_click_building,Audio/act_click_building
show_build,Audio/show_build
act_click_city,Audio/act_click_city
act_click_dragon,Audio/act_click_dragon
show_collect_lumber,Audio/show_collect_lumber
show_collect_gold,Audio/show_collect_gold
show_collect_marble,Audio/show_collect_marble
show_collect_steel,Audio/show_collect_steel
show_collect_food,Audio/show_collect_food
act_ui_hide,Audio/act_ui_hide
act_get_reward,Audio/act_get_reward
show_resource_change,Audio/show_resource_change
show_lottery_rarity_1,Audio/show_lottery_rarity_1
show_lottery_rarity_2,Audio/show_lottery_rarity_2
show_lottery_rarity_3,Audio/show_lottery_rarity_2
show_lottery_rarity_4,Audio/show_lottery_rarity_4
show_hero_amount_change,Audio/show_hero_amount_change
show_tip_normal,Audio/show_tip_normal
show_tip_warning,Audio/show_tip_warning
dragon_roar,Audio/dragon_roar
dragon_injure,Audio/dragon_injure
dragon_fly,Audio/dragon_fly
show_chest_single,Audio/show_chest_single
show_chest_plural,Audio/show_chest_plural
show_chest_start,Audio/show_chest_start
show_battle_start,Audio/show_battle_start
show_battle_win,Audio/show_battle_win,
show_battle_lose,Audio/show_battle_lose
thunder_cast,Audio/thunder_cast
thunder_hit,Audio/thunder_hit
dragon_hit,Audio/dragon_hit
wood_hit,Audio/wood_hit
fist_hit,Audio/fist_hit
chopped_hit,Audio/chopped_hit
demon_1_attack,Audio/demon_1_attack
demon_2_attack,Audio/demon_2_attack
dragon_attack,Audio/dragon_attack
hammering_hit,Audio/hammering_hit
heal_skill_cast,Audio/heal_skill_cast
heal_skill_hit,Audio/heal_skill_hit
little_boy_attack,Audio/little_boy_attack
normal_skill_cast,Audio/normal_skill_cast
normal_skill_hit,Audio/normal_skill_hit
old_man_attack,Audio/old_man_attack
puncture_hit,Audio/puncture_hit
strong_man_attack,Audio/strong_man_attack
yong_man_attack,Audio/yong_man_attack
yong_women2_attack,Audio/yong_women2_attack
yong_women_attack,Audio/yong_women_attack
show_hero_levelup,Audio/show_hero_levelup
show_hero_levelup_number,Audio/show_hero_levelup_number
show_card_fly,Audio/show_card_fly
act_troop_send,Audio/act_troop_send
act_troop_arrive,Audio/act_troop_arrive
act_scroll_roll,Audio/act_scroll_roll
show_demon_appear,Audio/show_demon_appear
show_demon_roar,Audio/show_demon_roar
show_demon_move,Audio/show_demon_move
show_chapter_change,Audio/show_chapter_change
act_get_chest_high,Audio/act_get_chest_high
act_get_chest_lower,Audio/act_get_chest_lower
chat_normal_11,Audio/chat_1
chat_normal_21,Audio/chat_2
chat_normal_31,Audio/chat_3
chat_normal_71,Audio/chat_4
chat_normal_81,Audio/chat_5
chat_normal_91,Audio/chat_6
chat_normal_121,Audio/chat_7
chat_normal_131,Audio/chat_8
chat_normal_141,Audio/chat_9
chat_normal_151,Audio/chat_5
rush,Audio/rush
bg_loading,Audio/bg_loading
show_golden_chest_drop,Audio/show_golden_chest_drop
show_silver_chest_drop,Audio/show_silver_chest_drop
show_wooden_chest_drop,Audio/show_wooden_chest_drop
show_chest_shaking,Audio/show_chest_shaking
show_chest_open,Audio/show_chest_open
show_power_up,Audio/show_power_up
show_fte_tile_occupy,Audio/show_fte_tile_occupy
show_fte_get_crown,Audio/show_fte_get_crown
bg_chose_state,Audio/bg_chose_state
bg_chose_comic,Audio/bg_chose_comic
show_cloud_in,Audio/show_cloud_in
show_cloud_out,Audio/show_cloud_out
show_cloud_stay,Audio/show_cloud_stay
show_new_hero,Audio/show_new_hero
