name,path
hero_attribute_icon_attack,Sprites/v4ui/ui_normal/icn59
hero_attribute_icon_defense,Sprites/v4ui/ui_normal/icn60
hero_attribute_icon_siege,Sprites/v4ui/ui_normal/icn61
hero_attribute_icon_speed,Sprites/v4ui/ui_normal/icn62
hero_attribute_icon_armyamount,Sprites/v4ui/ui_normal/icn57
resource_icon_marble,Sprites/v4ui/ui_universal/icn22
resource_icon_lumber,Sprites/v4ui/ui_universal/icn20
resource_icon_steel,Sprites/v4ui/ui_universal/icn21
resource_icon_food,Sprites/v4ui/ui_universal/icn23
resource_icon_gem,Sprites/v4ui/ui_universal/icn25
resource_icon_gold,Sprites/v4ui/ui_universal/icn24
resource_icon_plain,Sprites/v4ui/ui_normal/icn51
resource_icon_road,Sprites/v4ui/ui_normal/icn51
resource_icon_endurance,Sprites/v4ui/ui_normal/icn139
resource_icon_chest,Sprites/v4ui/ui_normal/icn52
resource_icon_fragment,SPrites/v4ui/ui_normal/icn104
resource_icon_force,Sprites/v4ui/ui_normal/icn108
resource_icon_all,Sprites/v4ui/ui_normal/icn158
hero_role_icon_scissors,Sprites/v4ui/ui_normal/icn73
hero_role_icon_paper,Sprites/v4ui/ui_normal/icn74
hero_role_icon_rock,Sprites/v4ui/ui_normal/icn75
build_item_background_1,Sprites/v4ui/ui_normal/frm53
build_upgrade_armycamp_amount,Sprites/v4ui/ui_build_info/icn140
build_upgrade_armycamp_conscription,Sprites/v4ui/ui_build_info/icn142
build_upgrade_hero_attack,Sprites/v4ui/ui_build_info/icn151
build_upgrade_hero_defence,Sprites/v4ui/ui_build_info/icn152
build_upgrade_hero_siege,Sprites/v4ui/ui_build_info/icn145
build_upgrade_paper,Sprites/v4ui/ui_build_info/icn149
build_upgrade_rock,Sprites/v4ui/ui_build_info/icn147
build_upgrade_scissors,Sprites/v4ui/ui_build_info/icn148
build_upgrade_speed,Sprites/v4ui/ui_build_info/icn146
build_upgrade_durability,Sprites/v4ui/ui_build_info/icn150
build_upgrade_stronghold_recruit_queue,Sprites/v4ui/ui_build_info/icn143
build_item_background_2,Sprites/v4ui/ui_normal/frm54
build_icon_pass,Sprites/v4ui/ui_minimap/icn110
build_icon_city,Sprites/v4ui/ui_normal/icn47
build_editor_avaliable,Sprites/Terrain/frame_11
build_editor_unavaliable,Sprites/Terrain/frame_12
