id,frames,origin,target
hero_001_skill_1_1fly2_move,"0,0,0,1.25|1,0.8,1.25,0","0,0,0","0,3,0"
hero_001_skill_1_1fly2_move_y,"0,0,0,2.5|1,0.4,0,0|0,0.8,-2.5,0","0,0,0","0,3,0"
hero_001_attack_1_1fly1_move,"0,0,0,1.25|1,0.8,1.25,0","0,0,0","0,3,0"
hero_001_attack_1_1fly1_move_y,"0,0,0,2.5|1,0.4,0,0|0,0.8,-2.5,0","0,0,0","0,3,0"
hero_003_skill_1_1fly2_move,"0,0,0,1.25|1,0.8,1.25,0","0,0,0","0,3,0"
hero_003_skill_1_1fly2_move_y,"0,0,0,2.5|1,0.4,0,0|0,0.8,-2.5,0","0,0,0","0,3,0"
hero_003_attack_1_1fly1_move,"0,0,0,1.25|1,0.8,1.25,0","0,0,0","0,3,0"
hero_003_attack_1_1fly1_move_y,"0,0,0,2.5|1,0.4,0,0|0,0.8,-2.5,0","0,0,0","0,3,0"
hero_004_skill_1_1fly2_move,"0,0,0,1.25|1,0.8,1.25,0","0,0,0","0,3,0"
hero_004_skill_1_1fly2_move_y,"0,0,0,2.5|1,0.4,0,0|0,0.8,-2.5,0","0,0,0","0,3,0"
hero_004_attack_1_1move1_move,"0,0,0,1.25|1,0.8,1.25,0","0,0,0","0,3,0"
hero_004_attack_1_1move1_move_y,"0,0,0,2.5|1,0.4,0,0|0,0.8,-2.5,0","0,0,0","0,3,0"
hero_104_skill_1_1fly2_move,"0,0,0,1.25|1,0.8,1.25,0","0,0,0","0,3,0"
hero_104_skill_1_1fly2_move_y,"0,0,0,2.5|1,0.4,0,0|0,0.8,-2.5,0","0,0,0","0,3,0"
hero_104_attack_1_1move1_move,"0,0,0,1.25|1,0.8,1.25,0","0,0,0","0,3,0"
hero_104_attack_1_1move1_move_y,"0,0,0,2.5|1,0.4,0,0|0,0.8,-2.5,0","0,0,0","0,3,0"
hero_105_skill_1_1fly2_move,"0,0,0,1.25|1,0.8,1.25,0","0,0,0","0,3,0"
hero_105_skill_1_1fly2_move_y,"0,0,0,2.5|1,0.4,0,0|0,0.8,-2.5,0","0,0,0","0,3,0"
hero_105_attack_1_1move1_move,"0,0,0,1.25|1,0.8,1.25,0","0,0,0","0,3,0"
hero_105_attack_1_1move1_move_y,"0,0,0,2.5|1,0.4,0,0|0,0.8,-2.5,0","0,0,0","0,3,0"
hero_106_skill_1_1fly2_move,"0,0,0,1.25|1,0.8,1.25,0","0,0,0","0,3,0"
hero_106_skill_1_1fly2_move_y,"0,0,0,2.5|1,0.4,0,0|0,0.8,-2.5,0","0,0,0","0,3,0"
hero_106_attack_1_1fly1_move,"0,0,0,1.25|1,0.8,1.25,0","0,0,0","0,3,0"
hero_106_attack_1_1fly1_move_y,"0,0,0,2.5|1,0.4,0,0|0,0.8,-2.5,0","0,0,0","0,3,0"
hero_109_skill_1_1fly2_move,"0,0,0,1.25|1,0.8,1.25,0","0,0,0","0,3,0"
hero_109_skill_1_1fly2_move_y,"0,0,0,2.5|1,0.4,0,0|0,0.8,-2.5,0","0,0,0","0,3,0"
hero_109_attack_1_1fly1_move,"0,0,0,1.25|1,0.8,1.25,0","0,0,0","0,3,0"
hero_109_attack_1_1fly1_move_y,"0,0,0,2.5|1,0.4,0,0|0,0.8,-2.5,0","0,0,0","0,3,0"
hero_204_skill_1_1fly2_move,"0,0,0,1.25|1,0.8,1.25,0","0,0,0","0,3,0"
hero_204_skill_1_1fly2_move_y,"0,0,0,2.5|1,0.4,0,0|0,0.8,-2.5,0","0,0,0","0,3,0"
hero_204_attack_1_1fly1_move,"0,0,0,1.25|1,0.8,1.25,0","0,0,0","0,3,0"
hero_204_attack_1_1fly1_move_y,"0,0,0,2.5|1,0.4,0,0|0,0.8,-2.5,0","0,0,0","0,3,0"
hero_303_skill_1_1fly2_move,"0,0,0,1.25|1,0.8,1.25,0","0,0,0","0,3,0"
hero_303_skill_1_1fly2_move_y,"0,0,0,2.5|1,0.4,0,0|0,0.8,-2.5,0","0,0,0","0,3,0"
hero_303_attack_1_1fly1_move,"0,0,0,1.25|1,0.8,1.25,0","0,0,0","0,3,0"
hero_303_attack_1_1fly1_move_y,"0,0,0,2.5|1,0.4,0,0|0,0.8,-2.5,0","0,0,0","0,3,0"
hero_304_skill_1_1fly2_move,"0,0,0,1.25|1,0.8,1.25,0","0,0,0","0,3,0"
hero_304_skill_1_1fly2_move_y,"0,0,0,2.5|1,0.4,0,0|0,0.8,-2.5,0","0,0,0","0,3,0"
hero_304_attack_1_1fly1_move,"0,0,0,1.25|1,0.8,1.25,0","0,0,0","0,3,0"
hero_304_attack_1_1fly1_move_y,"0,0,0,2.5|1,0.4,0,0|0,0.8,-2.5,0","0,0,0","0,3,0"
hero_402_skill_1_1fly2_move,"0,0,0,1.25|1,0.8,1.25,0","0,0,0","0,3,0"
hero_402_skill_1_1fly2_move_y,"0,0,0,2.5|1,0.4,0,0|0,0.8,-2.5,0","0,0,0","0,3,0"
hero_402_attack_1_1fly1_move,"0,0,0,1.25|1,0.8,1.25,0","0,0,0","0,3,0"
hero_402_attack_1_1fly1_move_y,"0,0,0,2.5|1,0.4,0,0|0,0.8,-2.5,0","0,0,0","0,3,0"
