hero,animation,function,time
hero_002,attack,ActionEnd,1.3
hero_002,attack,AudioPlay,0.4
hero_002,attack,ActionPlay,0.3
hero_002,skill,AudioPlay,0.4
hero_002,skill,ActionPlay,0.5
hero_002,victor,ActionPlay,0.2
hero_002,failed,ActionPlay,0.2
hero_002,failed,ActionEnd,0.2
hero_003,attack,ActionEnd,1.3
hero_003,attack,AudioPlay,0.4
hero_003,attack,ActionPlay,0.3
hero_003,skill,AudioPlay,0.4
hero_003,skill,ActionPlay,0.5
hero_003,victor,ActionPlay,0.2
hero_003,failed,ActionPlay,0.2
hero_003,failed,ActionEnd,0.2
hero_009,attack,ActionEnd,1.3
hero_009,attack,AudioPlay,0.4
hero_009,attack,ActionPlay,0.3
hero_009,skill,AudioPlay,0.4
hero_009,skill,ActionPlay,0.5
hero_009,victor,ActionPlay,0.2
hero_009,failed,ActionPlay,0.2
hero_009,failed,ActionEnd,0.2
hero_004,attack,ActionEnd,1.3
hero_004,attack,AudioPlay,0.4
hero_004,attack,ActionPlay,0.3
hero_004,skill,AudioPlay,0.4
hero_004,skill,ActionPlay,0.5
hero_004,victor,ActionPlay,0.2
hero_004,failed,ActionPlay,0.2
hero_004,failed,ActionEnd,0.2
hero_008,attack,ActionEnd,1.3
hero_008,attack,AudioPlay,0.4
hero_008,attack,ActionPlay,0.3
hero_008,skill,AudioPlay,0.4
hero_008,skill,ActionPlay,0.5
hero_008,victor,ActionPlay,0.2
hero_008,failed,ActionPlay,0.2
hero_008,failed,ActionEnd,0.2
hero_206,attack,ActionEnd,1.3
hero_206,attack,AudioPlay,0.4
hero_206,attack,ActionPlay,0.3
hero_206,skill,AudioPlay,0.4
hero_206,skill,ActionPlay,0.5
hero_206,victor,ActionPlay,0.2
hero_206,failed,ActionPlay,0.2
hero_206,failed,ActionEnd,0.2
hero_211,attack,ActionEnd,1.3
hero_211,attack,AudioPlay,0.4
hero_211,attack,ActionPlay,0.3
hero_211,skill,AudioPlay,0.4
hero_211,skill,ActionPlay,0.5
hero_211,victor,ActionPlay,0.2
hero_211,failed,ActionPlay,0.2
hero_211,failed,ActionEnd,0.2
hero_209,attack,ActionEnd,1.3
hero_209,attack,AudioPlay,0.4
hero_209,attack,ActionPlay,0.3
hero_209,skill,AudioPlay,0.4
hero_209,skill,ActionPlay,0.5
hero_209,victor,ActionPlay,0.2
hero_209,failed,ActionPlay,0.2
hero_209,failed,ActionEnd,0.2
hero_201,attack,ActionEnd,1.3
hero_201,attack,AudioPlay,0.4
hero_201,attack,ActionPlay,0.3
hero_201,skill,AudioPlay,0.4
hero_201,skill,ActionPlay,0.5
hero_201,victor,ActionPlay,0.2
hero_201,failed,ActionPlay,0.2
hero_201,failed,ActionEnd,0.2
hero_205,attack,ActionEnd,1.3
hero_205,attack,AudioPlay,0.4
hero_205,attack,ActionPlay,0.3
hero_205,skill,AudioPlay,0.4
hero_205,skill,ActionPlay,0.5
hero_205,victor,ActionPlay,0.2
hero_205,failed,ActionPlay,0.2
hero_205,failed,ActionEnd,0.2
hero_212,attack,ActionEnd,1
hero_212,attack,AudioPlay,0.33
hero_212,attack,ActionPlay,0.3
hero_212,skill,AudioPlay,0.44
hero_212,skill,ActionPlay,0.67
hero_212,victor,ActionPlay,0.2
hero_212,failed,ActionPlay,0.2
hero_212,failed,ActionEnd,0.2
hero_103,attack,ActionEnd,1.3
hero_103,attack,AudioPlay,0.4
hero_103,attack,ActionPlay,0.3
hero_103,skill,AudioPlay,0.4
hero_103,skill,ActionPlay,0.5
hero_103,victor,ActionPlay,0.2
hero_103,failed,ActionPlay,0.2
hero_103,failed,ActionEnd,0.2
hero_106,attack,ActionEnd,1.3
hero_106,attack,AudioPlay,0.4
hero_106,attack,ActionPlay,0.3
hero_106,skill,AudioPlay,0.4
hero_106,skill,ActionPlay,0.5
hero_106,victor,ActionPlay,0.2
hero_106,failed,ActionPlay,0.2
hero_106,failed,ActionEnd,0.2
hero_011,attack,ActionEnd,1.3
hero_011,attack,AudioPlay,0.4
hero_011,attack,ActionPlay,0.3
hero_011,skill,AudioPlay,0.4
hero_011,skill,ActionPlay,0.5
hero_011,victor,ActionPlay,0.2
hero_011,failed,ActionPlay,0.2
hero_011,failed,ActionEnd,0.2
hero_101,attack,ActionEnd,1.3
hero_101,attack,AudioPlay,0.4
hero_101,attack,ActionPlay,0.3
hero_101,skill,AudioPlay,0.4
hero_101,skill,ActionPlay,0.5
hero_101,victor,ActionPlay,0.2
hero_101,failed,ActionPlay,0.2
hero_101,failed,ActionEnd,0.2
hero_108,attack,ActionEnd,1.3
hero_108,attack,AudioPlay,0.4
hero_108,attack,ActionPlay,0.3
hero_108,skill,AudioPlay,0.4
hero_108,skill,ActionPlay,0.5
hero_108,victor,ActionPlay,0.2
hero_108,failed,ActionPlay,0.2
hero_108,failed,ActionEnd,0.2
hero_105,attack,ActionEnd,1.3
hero_105,attack,AudioPlay,0.4
hero_105,attack,ActionPlay,0.3
hero_105,skill,AudioPlay,0.4
hero_105,skill,ActionPlay,0.5
hero_105,victor,ActionPlay,0.2
hero_105,failed,ActionPlay,0.2
hero_105,failed,ActionEnd,0.2
hero_001,attack,ActionEnd,1.3
hero_001,attack,AudioPlay,0.4
hero_001,attack,ActionPlay,0.3
hero_001,skill,AudioPlay,0.4
hero_001,skill,ActionPlay,0.5
hero_001,victor,ActionPlay,0.2
hero_001,failed,ActionPlay,0.2
hero_001,failed,ActionEnd,0.2
hero_111,attack,ActionEnd,1.3
hero_111,attack,AudioPlay,0.4
hero_111,attack,ActionPlay,0.3
hero_111,skill,AudioPlay,0.4
hero_111,skill,ActionPlay,0.5
hero_111,victor,ActionPlay,0.2
hero_111,failed,ActionPlay,0.2
hero_111,failed,ActionEnd,0.2
hero_204,attack,ActionEnd,1.3
hero_204,attack,AudioPlay,0.4
hero_204,attack,ActionPlay,0.3
hero_204,skill,AudioPlay,0.4
hero_204,skill,ActionPlay,0.5
hero_204,victor,ActionPlay,0.2
hero_204,failed,ActionPlay,0.2
hero_204,failed,ActionEnd,0.2
hero_012,attack,ActionEnd,1.3
hero_012,attack,AudioPlay,0.4
hero_012,attack,ActionPlay,0.3
hero_012,skill,AudioPlay,0.4
hero_012,skill,ActionPlay,0.5
hero_012,victor,ActionPlay,0.2
hero_012,failed,ActionPlay,0.2
hero_012,failed,ActionEnd,0.2
hero_110,attack,ActionEnd,1
hero_110,attack,AudioPlay,0.33
hero_110,attack,ActionPlay,0.3
hero_110,skill,AudioPlay,0.44
hero_110,skill,ActionPlay,0.67
hero_110,victor,ActionPlay,0.2
