hero,index,step,end_delay,target
hero_002,attack_1_1,fly,0.2,head
hero_002,attack_1_1,hit,0.2,foot
hero_003,attack_1_1,fly,0.2,head
hero_003,attack_1_1,hit,0.2,foot
hero_009,attack_1_1,move,0.2,head
hero_009,attack_1_1,hit,0.2,foot
hero_004,attack_1_1,move,0.2,head
hero_004,attack_1_1,hit,0.2,foot
hero_008,attack_1_1,move,0.2,head
hero_008,attack_1_1,hit,0.2,foot
hero_206,attack_1_1,fly,0.2,head
hero_206,attack_1_1,hit,0.2,foot
hero_211,attack_1_1,fly,0.2,head
hero_211,attack_1_1,hit,0.2,foot
hero_209,attack_1_1,fly,0.2,head
hero_209,attack_1_1,hit,0.2,foot
hero_201,attack_1_1,fly,0.2,head
hero_201,attack_1_1,hit,0.2,foot
hero_205,attack_1_1,fly,0.2,head
hero_205,attack_1_1,hit,0.2,foot
hero_212,attack_1_1,fly,0.2,head
hero_212,attack_1_1,hit,0.2,foot
hero_103,attack_1_1,fly,0.2,head
hero_103,attack_1_1,hit,0.2,foot
hero_106,attack_1_1,fly,0.2,head
hero_106,attack_1_1,hit,0.2,foot
hero_011,attack_1_1,move,0.2,head
hero_011,attack_1_1,hit,0.2,foot
hero_101,attack_1_1,move,0.2,head
hero_101,attack_1_1,hit,0.2,foot
hero_108,attack_1_1,move,0.2,head
hero_108,attack_1_1,hit,0.2,foot
hero_105,attack_1_1,fly,0.2,head
hero_105,attack_1_1,hit,0.2,foot
hero_001,attack_1_1,fly,0.2,head
hero_001,attack_1_1,hit,0.2,foot
hero_111,attack_1_1,fly,0.2,head
hero_111,attack_1_1,hit,0.2,foot
hero_204,attack_1_1,fly,0.2,head
hero_204,attack_1_1,hit,0.2,foot
hero_012,attack_1_1,fly,0.2,head
hero_012,attack_1_1,hit,0.2,foot
hero_110,attack_1_1,fly,0.2,head
hero_110,attack_1_1,hit,0.2,foot
hero_104,attack_1_1,fly,0.2,head
hero_104,attack_1_1,hit,0.2,foot
hero_203,attack_1_1,fly,0.2,head
hero_203,attack_1_1,hit,0.2,foot
hero_210,attack_1_1,move,0.2,head
hero_210,attack_1_1,hit,0.2,foot
hero_109,attack_1_1,move,0.2,head
hero_109,attack_1_1,hit,0.2,foot
hero_202,attack_1_1,move,0.2,head
hero_202,attack_1_1,hit,0.2,foot
hero_010,attack_1_1,fly,0.2,head
hero_010,attack_1_1,hit,0.2,foot
hero_207,attack_1_1,fly,0.2,head
hero_207,attack_1_1,hit,0.2,foot
hero_007,attack_1_1,fly,0.2,head
hero_007,attack_1_1,hit,0.2,foot
hero_208,attack_1_1,fly,0.2,head
hero_208,attack_1_1,hit,0.2,foot
hero_112,attack_1_1,fly,0.2,head
hero_112,attack_1_1,hit,0.2,foot
hero_006,attack_1_1,fly,0.2,head
hero_006,attack_1_1,hit,0.2,foot
hero_102,attack_1_1,fly,0.2,head
hero_102,attack_1_1,hit,0.2,foot
hero_005,attack_1_1,fly,0.2,head
hero_005,attack_1_1,hit,0.2,foot
hero_107,attack_1_1,move,0.2,head
hero_107,attack_1_1,hit,0.2,foot
hero_303,attack_1_1,move,0.2,head
hero_303,attack_1_1,hit,0.2,foot
hero_301,attack_1_1,move,0.2,head
hero_301,attack_1_1,hit,0.2,foot
hero_302,attack_1_1,fly,0.2,head
hero_302,attack_1_1,hit,0.2,foot
hero_306,attack_1_1,fly,0.2,head
hero_306,attack_1_1,hit,0.2,foot
hero_305,attack_1_1,fly,0.2,head
hero_305,attack_1_1,hit,0.2,foot
hero_307,attack_1_1,fly,0.2,head
hero_307,attack_1_1,hit,0.2,foot
hero_403,attack_1_1,fly,0.2,head
hero_403,attack_1_1,hit,0.2,foot
hero_405,attack_1_1,fly,0.2,head
hero_405,attack_1_1,hit,0.2,foot
hero_406,attack_1_1,fly,0.2,head
hero_406,attack_1_1,hit,0.2,foot
hero_402,attack_1_1,fly,0.2,head
hero_402,attack_1_1,hit,0.2,foot
hero_401,attack_1_1,move,0.2,head
hero_401,attack_1_1,hit,0.2,foot
hero_404,attack_1_1,move,0.2,head
hero_404,attack_1_1,hit,0.2,foot
hero_304,attack_1_1,move,0.2,head
hero_304,attack_1_1,hit,0.2,foot
hero_407,attack_1_1,move,0.2,head
hero_407,attack_1_1,hit,0.2,foot
hero_501,attack_1_1,fly,0.2,head
hero_501,attack_1_1,hit,0.2,foot
hero_502,attack_1_1,fly,0.2,head
hero_502,attack_1_1,hit,0.2,foot
hero_503,attack_1_1,fly,0.2,head
hero_503,attack_1_1,hit,0.2,foot
hero_504,attack_1_1,fly,0.2,head
hero_504,attack_1_1,hit,0.2,foot
hero_505,attack_1_1,fly,0.2,head
hero_505,attack_1_1,hit,0.2,foot
hero_506,attack_1_1,fly,0.2,head
hero_506,attack_1_1,hit,0.2,foot
hero_507,attack_1_1,fly,0.2,head
hero_507,attack_1_1,hit,0.2,foot
hero_508,attack_1_1,fly,0.2,head
hero_508,attack_1_1,hit,0.2,foot
hero_509,attack_1_1,move,0.2,head
hero_509,attack_1_1,hit,0.2,foot
hero_510,attack_1_1,move,0.2,head
hero_510,attack_1_1,hit,0.2,foot
hero_511,attack_1_1,move,0.2,head
hero_511,attack_1_1,hit,0.2,foot
hero_512,attack_1_1,fly,0.2,head
hero_512,attack_1_1,hit,0.2,foot
hero_513,attack_1_1,fly,0.2,head
hero_513,attack_1_1,hit,0.2,foot
hero_514,attack_1_1,fly,0.2,head
hero_514,attack_1_1,hit,0.2,foot
hero_515,attack_1_1,fly,0.2,head
hero_515,attack_1_1,hit,0.2,foot
hero_516,attack_1_1,fly,0.2,head
hero_516,attack_1_1,hit,0.2,foot
hero_517,attack_1_1,fly,0.2,head
hero_517,attack_1_1,hit,0.2,foot
hero_518,attack_1_1,fly,0.2,head
hero_518,attack_1_1,hit,0.2,foot
hero_519,attack_1_1,fly,0.2,head
hero_519,attack_1_1,hit,0.2,foot
hero_520,attack_1_1,move,0.2,head
hero_520,attack_1_1,hit,0.2,foot
hero_521,attack_1_1,move,0.2,head
hero_521,attack_1_1,hit,0.2,foot
hero_522,attack_1_1,move,0.2,head
hero_522,attack_1_1,hit,0.2,foot
hero_523,attack_1_1,fly,0.2,head
hero_523,attack_1_1,hit,0.2,foot
hero_524,attack_1_1,fly,0.2,head
hero_524,attack_1_1,hit,0.2,foot
hero_525,attack_1_1,fly,0.2,head
hero_525,attack_1_1,hit,0.2,foot
hero_526,attack_1_1,fly,0.2,head
hero_526,attack_1_1,hit,0.2,foot
hero_527,attack_1_1,fly,0.2,head
hero_527,attack_1_1,hit,0.2,foot
hero_528,attack_1_1,fly,0.2,head
hero_528,attack_1_1,hit,0.2,foot
hero_529,attack_1_1,fly,0.2,head
hero_529,attack_1_1,hit,0.2,foot
hero_530,attack_1_1,fly,0.2,head
hero_530,attack_1_1,hit,0.2,foot
hero_531,attack_1_1,move,0.2,head
hero_531,attack_1_1,hit,0.2,foot
hero_532,attack_1_1,move,0.2,head
hero_532,attack_1_1,hit,0.2,foot
hero_533,attack_1_1,move,0.2,head
hero_533,attack_1_1,hit,0.2,foot
hero_534,attack_1_1,fly,0.2,head
hero_534,attack_1_1,hit,0.2,foot
hero_535,attack_1_1,fly,0.2,head
hero_535,attack_1_1,hit,0.2,foot
hero_536,attack_1_1,fly,0.2,head
hero_536,attack_1_1,hit,0.2,foot
hero_537,attack_1_1,fly,0.2,head
hero_537,attack_1_1,hit,0.2,foot
hero_538,attack_1_1,fly,0.2,head
hero_538,attack_1_1,hit,0.2,foot
hero_539,attack_1_1,fly,0.2,head
hero_539,attack_1_1,hit,0.2,foot
