gift_id,level,chest_name
daily_gift_1,1,dragon_chest_1
daily_gift_1,2,dragon_chest_2
daily_gift_1,3,dragon_chest_3
daily_gift_1,4,dragon_chest_4
daily_gift_1,5,dragon_chest_5
daily_gift_1,6,dragon_chest_6
daily_gift_1,7,dragon_chest_7
daily_gift_1,8,dragon_chest_8
daily_gift_1,9,dragon_chest_9
daily_gift_1,10,dragon_chest_10
daily_gift_1,11,dragon_chest_11
daily_gift_1,12,dragon_chest_12
daily_gift_2,1,dragon_chest_1
daily_gift_2,2,dragon_chest_2
daily_gift_2,3,dragon_chest_3
daily_gift_2,4,dragon_chest_4
daily_gift_2,5,dragon_chest_5
daily_gift_2,6,dragon_chest_6
daily_gift_2,7,dragon_chest_7
daily_gift_2,8,dragon_chest_8
daily_gift_2,9,dragon_chest_9
daily_gift_2,10,dragon_chest_10
daily_gift_2,11,dragon_chest_11
daily_gift_2,12,dragon_chest_12
daily_gift_3,1,dragon_chest_1
daily_gift_3,2,dragon_chest_2
daily_gift_3,3,dragon_chest_3
daily_gift_3,4,dragon_chest_4
daily_gift_3,5,dragon_chest_5
daily_gift_3,6,dragon_chest_6
daily_gift_3,7,dragon_chest_7
daily_gift_3,8,dragon_chest_8
daily_gift_3,9,dragon_chest_9
daily_gift_3,10,dragon_chest_10
daily_gift_3,11,dragon_chest_11
daily_gift_3,12,dragon_chest_12
