level,type,hero_groups,group_amount,point
1,demon,demon_attack_group_1,1,1
2,demon,demon_attack_group_2,1,4
3,demon,demon_attack_group_3,1,8
4,demon,demon_attack_group_4,1,16
5,demon,demon_attack_group_5,1,32
6,demon,demon_attack_group_6,1,50
7,demon,demon_attack_group_7,1,75
8,demon,demon_attack_group_8,1,105
9,demon,demon_attack_group_9,1,150
10,demon,demon_attack_group_10,1,240
11,demon,demon_attack_group_11,1,360
12,demon,demon_attack_group_12,1,500
1,new_year,new_year_group_1,1,1
2,new_year,new_year_group_2,1,4
3,new_year,new_year_group_3,1,8
4,new_year,new_year_group_4,1,16
5,new_year,new_year_group_5,1,32
6,new_year,new_year_group_6,1,50
7,new_year,new_year_group_7,1,75
8,new_year,new_year_group_8,1,105
9,new_year,new_year_group_9,1,150
10,new_year,new_year_group_10,1,240
11,new_year,new_year_group_11,1,360
12,new_year,new_year_group_12,1,500
