level,gem,crystal,gold,lumber,marble,steel,food,unlock_chest
1,0,0,0,0,0,0,0,dragon_chest_1
2,0,0,300,5000,0,5000,2500,dragon_chest_2
3,0,0,600,40000,40000,40000,20000,dragon_chest_3
4,0,0,800,80000,80000,80000,40000,dragon_chest_4
5,0,0,1200,300000,300000,300000,150000,dragon_chest_5
6,0,0,2500,900000,900000,900000,450000,dragon_chest_6
7,0,0,4800,2600000,2600000,2600000,1500000,dragon_chest_7
8,0,0,10000,7100000,7100000,7100000,4000000,dragon_chest_8
9,0,0,20000,13000000,13000000,13000000,10000000,dragon_chest_9
10,0,0,38000,21000000,21000000,21000000,15000000,dragon_chest_10
11,0,0,45000,41000000,41000000,41000000,25000000,dragon_chest_11
12,0,0,60000,73000000,73000000,73000000,40000000,dragon_chest_12
13,0,0,90000,109500000,109500000,109500000,60000000,dragon_chest_13
