index,next,previouse,unlock_ui
normal_2,normal_11,0,"Alliance,Rank,Mail,Chat,Treasure,Tribute,Task,Troop,Lottey,Chapter,PlayerInfo,Resource,Build,Live,HouseKeeper,ShowBtnsPanel,MiniMap,Pay,Queue,Campaign,Store,FirstPay"
normal_11,normal_21,normal_2,"Alliance,Rank,Mail,Chat,Treasure,Tribute,Task,Troop,Lottey,Chapter,PlayerInfo,Resource,Build,Live,HouseKeeper,ShowBtnsPanel,MiniMap,Pay,Queue,Campaign,Store,FirstPay"
normal_21,normal_31,normal_11,"Alliance,Rank,Mail,Chat,Treasure,Tribute,Task,Troop,Lottey,Chapter,PlayerInfo,Resource,Build,Live,HouseKeeper,ShowBtnsPanel,MiniMap,Pay,Queue,Campaign,Store,FirstPay"
normal_31,normal_41,normal_21,"Alliance,Rank,Mail,Chat,Treasure,Tribute,Task,Troop,Lottey,Chapter,PlayerInfo,Resource,Build,Live,HouseKeeper,ShowBtnsPanel,MiniMap,Pay,Queue,Campaign,Store,FirstPay"
normal_41,normal_51,normal_31,"Alliance,Rank,Mail,Chat,Treasure,Tribute,Task,Troop,Lottey,Chapter,PlayerInfo,Resource,Build,Live,HouseKeeper,ShowBtnsPanel,MiniMap,Pay,Queue,Campaign,Store,FirstPay"
normal_51,normal_55,normal_41,"Alliance,Rank,Mail,Chat,Treasure,Tribute,Task,Troop,Lottey,Chapter,PlayerInfo,Resource,Build,Live,HouseKeeper,ShowBtnsPanel,MiniMap,Pay,Queue,Campaign,Store,FirstPay"
normal_55,chapter_task_1,normal_51,"Alliance,Rank,Mail,Chat,Treasure,Tribute,Task,Troop,Lottey,Chapter,PlayerInfo,Resource,Build,Live,HouseKeeper,ShowBtnsPanel,MiniMap,Pay,Queue,Campaign,Store,FirstPay"
chapter_task_1,normal_57,normal_55,"Alliance,Rank,Mail,Chat,Treasure,Tribute,Task,Troop,Lottey,Chapter,PlayerInfo,Resource,Build,Live,HouseKeeper,ShowBtnsPanel,MiniMap,Pay,Queue,Campaign,Store,FirstPay"
normal_57,normal_59,chapter_task_1,"Alliance,Rank,Mail,Chat,Treasure,Tribute,Task,Troop,Lottey,Chapter,PlayerInfo,Resource,Build,Live,HouseKeeper,ShowBtnsPanel,MiniMap,Pay,Queue,Campaign,Store,FirstPay"
normal_59,normal_61,normal_57,"Alliance,Rank,Mail,Chat,Treasure,Tribute,Task,Troop,Lottey,Chapter,PlayerInfo,Resource,Build,Live,HouseKeeper,ShowBtnsPanel,MiniMap,Pay,Queue,Campaign,Store,FirstPay"
