hero_id,audio_new,audio_attack,audio_skill,audio_hit
hero_405,hero_405_show,hero_405_battle_attack,hero_405_battle_cast,hero_405_battle_hit
hero_008,,hero_008_battle_attack,hero_008_battle_cast,hero_008_battle_hit
hero_109,hero_109_show,hero_109_battle_attack,hero_109_battle_cast,hero_109_battle_hit
hero_106,hero_106_show,hero_106_battle_attack,hero_106_battle_cast,hero_106_battle_hit
hero_108,hero_108_show,hero_108_battle_attack,hero_108_battle_cast,hero_108_battle_hit
hero_107,hero_107_show,hero_107_battle_attack,hero_107_battle_cast,hero_107_battle_hit
hero_211,hero_211_show,hero_211_battle_attack,hero_211_battle_cast,hero_211_battle_hit
hero_111,hero_111_show,hero_111_battle_attack,,hero_111_battle_hit
hero_110,hero_110_show,hero_110_battle_attack,hero_110_battle_cast,hero_110_battle_hit
hero_105,hero_105_show,hero_105_battle_attack,hero_105_battle_cast,hero_105_battle_hit
hero_201,hero_201_show,hero_201_battle_attack,hero_201_battle_cast,hero_201_battle_hit
hero_101,hero_101_show,hero_101_battle_attack,hero_101_battle_cast,hero_101_battle_hit
hero_009,hero_009_show,hero_009_battle_attack,hero_009_battle_cast,hero_009_battle_hit
hero_011,hero_011_show,hero_011_battle_attack,hero_011_battle_cast,hero_011_battle_hit
hero_010,hero_010_show,hero_010_battle_attack,hero_010_battle_cast,hero_010_battle_hit
hero_204,hero_204_show,hero_204_battle_attack,hero_204_battle_cast,hero_204_battle_hit
hero_202,hero_202_show,hero_202_battle_attack,hero_202_battle_cast,hero_202_battle_hit
hero_203,hero_203_show,hero_203_battle_attack,hero_203_battle_cast,hero_203_battle_hit
hero_104,hero_104_show,hero_104_battle_attack,hero_104_battle_cast,hero_104_battle_hit
hero_007,hero_007_show,hero_007_battle_attack,hero_007_battle_cast,hero_007_battle_hit
hero_004,hero_004_show,hero_004_battle_attack,hero_004_battle_cast,hero_004_battle_hit
hero_012,hero_012_show,hero_012_battle_attack,hero_012_battle_cast,hero_012_battle_hit
hero_207,hero_207_show,hero_207_battle_attack,hero_207_battle_cast,hero_207_battle_hit
hero_005,hero_005_show,hero_005_battle_attack,hero_005_battle_cast,hero_005_battle_hit
hero_210,hero_210_show,hero_210_battle_attack,hero_210_battle_cast,hero_210_battle_hit
hero_208,hero_208_show,hero_208_battle_attack,hero_208_battle_cast,hero_208_battle_hit
hero_206,hero_206_show,hero_206_battle_attack,hero_206_battle_cast,hero_206_battle_hit
hero_307,hero_307_show,hero_307_battle_attack,hero_307_battle_cast,hero_307_battle_hit
hero_306,hero_306_show,hero_306_battle_attack,hero_306_battle_cast,hero_306_battle_hit
hero_006,hero_006_show,hero_006_battle_attack,hero_006_battle_cast,hero_006_battle_hit
hero_003,hero_003_show,hero_003_battle_attack,hero_003_battle_cast,hero_003_battle_hit
hero_303,hero_303_show,hero_303_battle_attack,hero_303_battle_cast,hero_303_battle_hit
hero_302,hero_302_show,hero_302_battle_attack,hero_302_battle_cast,hero_302_battle_hit
hero_205,hero_205_show,hero_205_battle_attack,hero_205_battle_cast,hero_205_battle_hit
hero_001,hero_001_show,hero_001_battle_attack,hero_001_battle_cast,hero_001_battle_hit
hero_305,hero_305_show,hero_305_battle_attack,hero_305_battle_cast,hero_305_battle_hit
hero_209,hero_209_show,hero_209_battle_attack,hero_209_battle_cast,hero_209_battle_hit
hero_212,hero_212_show,hero_212_battle_attack,hero_212_battle_cast,hero_212_battle_hit
hero_102,hero_102_show,hero_102_battle_attack,hero_102_battle_cast,hero_102_battle_hit
hero_401,hero_401_show,hero_401_battle_attack,hero_401_battle_cast,hero_401_battle_hit
hero_403,hero_403_show,hero_403_battle_attack,hero_403_battle_cast,hero_403_battle_hit
hero_002,hero_002_show,hero_002_battle_attack,hero_002_battle_cast,hero_002_battle_hit
hero_301,hero_301_show,hero_301_battle_attack,hero_301_battle_cast,hero_301_battle_hit
hero_406,hero_406_show,hero_406_battle_hit,hero_406_battle_cast,hero_406_battle_attack
hero_402,hero_402_show,hero_402_battle_attack,hero_402_battle_cast,hero_402_battle_hit
hero_304,hero_304_show,hero_304_battle_attack,hero_304_battle_cast,hero_304_battle_hit
hero_103,hero_103_show,hero_103_battle_attack,hero_103_battle_cast,hero_103_battle_hit
hero_112,hero_112_show,hero_112_battle_attack,hero_112_battle_cast,hero_112_battle_hit
hero_404,hero_404_show,hero_404_battle_attack,hero_404_battle_cast,hero_404_battle_hit
hero_407,hero_407_show,hero_407_battle_hit,hero_407_battle_cast_1,hero_407_battle_attack
hero_501,,hero_401_battle_attack,,hero_401_battle_hit
hero_502,,hero_401_battle_attack,,hero_401_battle_hit
hero_503,,hero_401_battle_attack,,hero_401_battle_hit
hero_504,,hero_401_battle_attack,,hero_401_battle_hit
hero_505,,hero_401_battle_attack,,hero_401_battle_hit
hero_506,,hero_401_battle_attack,,hero_401_battle_hit
hero_507,,hero_401_battle_attack,,hero_401_battle_hit
hero_508,,hero_301_battle_attack,,hero_301_battle_hit
hero_509,,hero_301_battle_attack,,hero_301_battle_hit
hero_510,,hero_301_battle_attack,,hero_301_battle_hit
hero_511,,hero_301_battle_attack,,hero_301_battle_hit
hero_512,,hero_301_battle_attack,,hero_301_battle_hit
hero_513,,hero_301_battle_attack,,hero_301_battle_hit
hero_514,,hero_301_battle_attack,,hero_301_battle_hit
hero_515,,hero_301_battle_attack,,hero_301_battle_hit
hero_516,,hero_301_battle_attack,,hero_301_battle_hit
hero_517,,hero_301_battle_attack,,hero_301_battle_hit
hero_518,,hero_301_battle_attack,,hero_301_battle_hit
hero_519,,hero_301_battle_attack,,hero_301_battle_hit
hero_520,,hero_301_battle_attack,,hero_301_battle_hit
hero_521,,hero_301_battle_attack,,hero_301_battle_hit
hero_522,,hero_301_battle_attack,,hero_301_battle_hit
hero_523,,hero_301_battle_attack,,hero_301_battle_hit
hero_524,,hero_301_battle_attack,,hero_301_battle_hit
hero_525,,hero_301_battle_attack,,hero_301_battle_hit
hero_526,,hero_306_battle_attack,,hero_306_battle_hit
hero_527,,hero_301_battle_attack,,hero_301_battle_hit
hero_528,,hero_301_battle_attack,,hero_301_battle_hit
hero_529,,hero_306_battle_attack,,hero_306_battle_hit
hero_530,,hero_301_battle_attack,,hero_301_battle_hit
hero_531,,hero_301_battle_attack,,hero_301_battle_hit
hero_532,,hero_306_battle_attack,,hero_306_battle_hit
hero_533,,hero_301_battle_attack,,hero_301_battle_hit
hero_534,,hero_301_battle_attack,,hero_301_battle_hit
hero_535,,hero_306_battle_attack,,hero_306_battle_hit
hero_536,,hero_301_battle_attack,,hero_301_battle_hit
hero_537,,hero_301_battle_attack,,hero_301_battle_hit
hero_538,,hero_306_battle_attack,,hero_306_battle_hit
hero_539,,hero_301_battle_attack,,hero_301_battle_hit
hero_540,,hero_301_battle_attack,,hero_301_battle_hit
hero_541,,hero_306_battle_attack,,hero_306_battle_hit
hero_542,,hero_301_battle_attack,,hero_301_battle_hit
hero_543,,hero_301_battle_attack,,hero_301_battle_hit
hero_544,,hero_306_battle_attack,,hero_306_battle_hit
hero_545,,hero_301_battle_attack,,hero_301_battle_hit
hero_546,,hero_301_battle_attack,,hero_301_battle_hit
hero_547,,hero_306_battle_attack,,hero_306_battle_hit
hero_548,,hero_301_battle_attack,,hero_301_battle_hit
hero_549,,hero_301_battle_attack,,hero_301_battle_hit
hero_550,,hero_306_battle_attack,,hero_306_battle_hit
hero_551,,hero_301_battle_attack,,hero_301_battle_hit
hero_552,,hero_301_battle_attack,,hero_301_battle_hit
hero_553,,hero_306_battle_attack,,hero_306_battle_hit
hero_554,,hero_301_battle_attack,,hero_301_battle_hit
hero_555,,hero_301_battle_attack,,hero_301_battle_hit
hero_556,,hero_306_battle_attack,,hero_306_battle_hit
hero_557,,hero_301_battle_attack,,hero_301_battle_hit
hero_558,,hero_301_battle_attack,,hero_301_battle_hit
hero_559,,hero_306_battle_attack,,hero_306_battle_hit
hero_560,,hero_301_battle_attack,,hero_301_battle_hit
hero_561,,hero_301_battle_attack,,hero_301_battle_hit
hero_562,,hero_306_battle_attack,,hero_306_battle_hit
hero_563,,hero_301_battle_attack,,hero_301_battle_hit
hero_564,,hero_301_battle_attack,,hero_301_battle_hit
hero_565,,hero_306_battle_attack,,hero_306_battle_hit
hero_566,,hero_301_battle_attack,,hero_301_battle_hit
hero_567,,hero_301_battle_attack,,hero_301_battle_hit
hero_568,,hero_306_battle_attack,,hero_306_battle_hit
hero_569,,hero_301_battle_attack,,hero_301_battle_hit
hero_570,,hero_301_battle_attack,,hero_301_battle_hit
hero_571,,hero_306_battle_attack,,hero_306_battle_hit
hero_572,,hero_301_battle_attack,,hero_301_battle_hit
hero_573,,hero_301_battle_attack,,hero_301_battle_hit
hero_574,,hero_306_battle_attack,,hero_306_battle_hit
hero_575,,hero_301_battle_attack,,hero_301_battle_hit
hero_576,,hero_301_battle_attack,,hero_301_battle_hit
hero_577,,hero_306_battle_attack,,hero_306_battle_hit
hero_578,,hero_301_battle_attack,,hero_301_battle_hit
