rarity,level,level_up_percent,fragments,level_gold
1,1,0,1,15
1,2,0.25,2,20
1,3,0.5,2,25
1,4,0.75,2,30
1,5,1,4,35
1,6,1.4,4,40
1,7,1.8,4,45
1,8,2.2,4,50
1,9,2.6,4,55
1,10,3,10,60
1,11,3.8,10,80
1,12,4.6,10,100
1,13,5.4,10,120
1,14,6.2,10,140
1,15,7,20,160
1,16,8.6,20,180
1,17,10.2,20,200
1,18,11.8,20,220
1,19,13.4,20,240
1,20,15,50,300
1,21,18.2,50,350
1,22,21.4,50,400
1,23,24.6,50,450
1,24,27.8,50,500
1,25,31,100,600
1,26,37.4,100,800
1,27,43.8,100,1000
1,28,50.2,100,1200
1,29,56.6,100,1400
1,30,63,200,1600
1,31,70.2,200,1800
1,32,77.4,200,2000
1,33,84.6,200,2200
1,34,91.8,200,2400
1,35,99,400,2800
1,36,109,400,3200
1,37,119,400,3600
1,38,129,400,4000
1,39,139,400,4500
1,40,149,800,5000
1,41,167,800,5500
1,42,185,800,6000
1,43,203,800,6500
1,44,221,800,7000
1,45,239,1000,8000
1,46,259,1000,9000
1,47,279,1000,10000
1,48,299,1000,11000
1,49,319,1000,12000
1,50,339,2000,15000
1,51,363,2000,18000
1,52,387,2000,20000
1,53,411,2000,24000
1,54,435,2000,30000
1,55,459,5000,40000
1,56,487,5000,50000
1,57,515,5000,60000
1,58,543,5000,70000
1,59,571,5000,80000
1,60,599,20000,100000
1,61,639,40000,200000
1,62,679,60000,300000
1,63,719,80000,400000
1,64,759,100000,500000
1,65,799,120000,600000
1,66,839,140000,700000
1,67,879,160000,800000
1,68,919,180000,900000
1,69,959,200000,1000000
1,70,999,220000,1100000
1,71,1039,240000,1200000
1,72,1079,260000,1300000
1,73,1119,280000,1400000
1,74,1159,300000,1500000
1,75,1199,0,0
2,1,0,1,80
2,2,0.8,2,100
2,3,1.6,2,120
2,4,2.4,2,140
2,5,3.2,4,160
2,6,4.8,4,180
2,7,6.4,4,200
2,8,8,4,220
2,9,9.6,4,240
2,10,11.2,10,300
2,11,14.4,10,350
2,12,17.6,10,400
2,13,20.8,10,450
2,14,24,10,500
2,15,27.2,20,600
2,16,33.6,20,800
2,17,40,20,1000
2,18,46.4,20,1200
2,19,52.8,20,1400
2,20,59.2,50,1600
2,21,66.4,50,1800
2,22,73.6,50,2000
2,23,80.8,50,2200
2,24,88,50,2400
2,25,95.2,100,2800
2,26,105.2,100,3200
2,27,115.2,100,3600
2,28,125.2,100,4000
2,29,135.2,100,4500
2,30,145.2,200,5000
2,31,163.2,200,5500
2,32,181.2,200,6000
2,33,199.2,200,6500
2,34,217.2,200,7000
2,35,235.2,400,8000
2,36,255.2,400,9000
2,37,275.2,400,10000
2,38,295.2,400,11000
2,39,315.2,400,12000
2,40,335.2,800,15000
2,41,359.2,800,18000
2,42,383.2,800,20000
2,43,407.2,800,24000
2,44,431.2,800,30000
2,45,455.2,1000,40000
2,46,483.2,1000,50000
2,47,511.2,1000,60000
2,48,539.2,1000,70000
2,49,567.2,1000,80000
2,50,595.2,2000,100000
2,51,635.2,2000,200000
2,52,675.2,2000,300000
2,53,715.2,2000,400000
2,54,755.2,2000,500000
2,55,795.2,5000,600000
2,56,835.2,5000,700000
2,57,875.2,5000,800000
2,58,915.2,5000,900000
2,59,955.2,5000,1000000
2,60,995.2,20000,1100000
2,61,1035.2,40000,1200000
2,62,1075.2,60000,1300000
2,63,1115.2,80000,1400000
2,64,1155.2,100000,1500000
2,65,1195.2,0,0
3,1,0,1,180
3,2,1.6,2,200
3,3,3.2,2,220
3,4,4.8,2,240
3,5,6.4,4,300
3,6,9.6,4,350
3,7,12.8,4,400
3,8,16,4,450
3,9,19.2,4,500
3,10,22.4,10,600
3,11,28.8,10,800
3,12,35.2,10,1000
3,13,41.6,10,1200
3,14,48,10,1400
3,15,54.4,20,1600
3,16,61.6,20,1800
3,17,68.8,20,2000
3,18,76,20,2200
3,19,83.2,20,2400
3,20,90.4,50,2800
3,21,100.4,50,3200
3,22,110.4,50,3600
3,23,120.4,50,4000
3,24,130.4,50,4500
3,25,140.4,100,5000
3,26,158.4,100,5500
3,27,176.4,100,6000
3,28,194.4,100,6500
3,29,212.4,100,7000
3,30,230.4,200,8000
3,31,250.4,200,9000
3,32,270.4,200,10000
3,33,290.4,200,11000
3,34,310.4,200,12000
3,35,330.4,400,15000
3,36,354.4,400,18000
3,37,378.4,400,20000
3,38,402.4,400,24000
3,39,426.4,400,30000
3,40,450.4,800,40000
3,41,478.4,800,50000
3,42,506.4,800,60000
3,43,534.4,800,70000
3,44,562.4,800,80000
3,45,590.4,1000,100000
