KEY,EN,CN
LC_battle_effect_immune,{0} is immune to {1}. ,{0} 免疫了 {1}
LC_battle_effect_dispel,{0} has been dispelled. ,{0} 被驱散
LC_battle_effect_buffremove,{0} {1} has ended. ,{0} {1} 已结束
LC_battle_effect_damabsorb,{0} shield absorbed {1} Damage. ,{0} 护盾吸收了 {1} 点伤害
LC_battle_effect_reflect,{0} reflected damage,{0} 反伤
LC_battle_effect_silence,"{0} has been silenced,  cannot cast any spells. ","{0} 被沉默, 不能释放技能"
LC_battle_effect_disarm,"{0} has been disarmed,  no ordinary attacks possible","{0} 被缴械, 不能普通攻击"
LC_battle_effect_normalatk,{0} has attacked. ,{0} 进攻
LC_battle_effect_counteratk,{0} has counterattacked. ,{0} 反击
LC_battle_effect_injured,{0} took {1} Damage ({2} remaining). ,{0} 受到 {1} 点伤害 (还剩 {2})
LC_battle_effect_spellcasting,{0} {1} is recharging. ,{0} {1} is recharging
LC_battle_effect_cast,{0} {1} {2},{0} {1} {2}
LC_battle_effect_getbuff,{0} got {1},{0} 受到了 {1}
LC_battle_effect_effecttriggered,{0} has been triggered. ,{0} 触发
LC_battle_effect_getheal,{0} has healed {1} ({2} left). ,{0} 治愈 {1} 点生命 (还剩 {2})
LC_battle_effect_intervene,{0} has been assisted,{0} 被救援
LC_battle_effect_stun,{0} has been stunned,{0} 被昏迷
LC_battle_effect_default,<b>{0}</b> <color=#ffff00ff>{1}</color>. ,<b>{0}</b> <color=#ffff00ff>{1}</color>
LC_battle_effect_cause,{0} got {1} effect,{0} 获得了 {1} 效果
LC_battle_hero_dead,{0} has been defeated. ,{0} 战败
LC_battle_end,Battle over. ,战斗结束
LC_battle_round,Round {0},第 {0} 回合
LC_damage,Damage,伤害
LC_dot,"{0} sustained Damage,  {1} round(s)","持续伤害 {0} 点, 剩余 {1} 回合"
LC_heal,Heal,治疗
LC_hot,"{0} sustained Healing,  {1} round(s)","持续治疗 {0} 点, 剩余 {1} 回合"
LC_vampiric,Bloodsuck,吸血
LC_disarm,"Disarm,  {0} round(s)","缴械效果, 持续 {0} 回合"
LC_silence,"Silence,  {0} round(s)","沉默效果, 持续 {0} 回合"
LC_stun,"Stun,  {0} round(s) ","昏迷效果, 持续 {0} 回合"
LC_sleep,"Trance,  {0} round(s)","睡眠效果, 持续 {0} 回合"
LC_confuse,"Confuse,  {0} round(s) ","混乱效果, 持续 {0} 回合"
LC_seduction,"Seduce,  {0} round(s) ","魅惑效果, 持续 {0} 回合"
LC_taunt,"Taunt,  {0} round(s) ","嘲讽效果, 持续 {0} 回合"
LC_shield,"Shield {0},  {1} round(s) ","护盾 {0} 点, 持续 {1} 回合"
LC_damup,"Attack power increase {0},  {1} round(s) ","攻击力增加 {0} 点, 持续 {1} 回合"
LC_damdown,"Attack power decrease {0},  {1} round(s) ","攻击力降低 {0} 点, 持续 {1} 回合"
LC_defup,"Defense power increase {0},  {1} round(s) ","防御力增加 {0} 点, 持续 {1} 回合"
LC_defdown,"Defense power decrease {0},  {1} round(s) ","防御力降低 {0} 点, 持续 {1} 回合"
LC_reflect,"Reflected,  {0} round(s) ","反伤, 持续 {0} 回合"
LC_absorb,"Absorb damage once,  {0} round(s) ","吸收一次伤害, 持续 {0} 回合"
LC_phyimmu,"Physical-immune,  {0} round(s) ","物理免疫效果, 持续 {0} 回合"
LC_magimmu,"Magic-immune,  {0} round(s) ","魔法免疫效果, 持续 {0} 回合"
LC_dispel,Dispel,驱散
LC_stunimmu,"Stun-immune,  {0} round(s)","免疫昏迷效果, 持续 {0} 回合"
LC_disarmimmu,"Disarm-immune,  {0} round(s) ","免疫缴械效果, 持续 {0} 回合"
LC_silenceimmu,"Silence-immune,  {0} round(s) ","免疫沉默效果, 持续 {0} 回合"
LC_confuseimmu,"Confusion-immune,  {0} round(s)","免疫混乱效果, 持续 {0} 回合"
LC_seductionimmu,"Seduction-immune,  {0} round(s)","免疫魅惑效果, 持续 {0} 回合"
LC_speedup,"Haste {0},  {1} round(s)","加速效果 {0} 点, 持续 {1} 回合"
LC_speeddown,"Decelerate {0},  {1} round(s)","减速效果 {0} 点, 持续 {1} 回合"
LC_offensive,"Charge,  {0} round(s)","先手, 持续 {0} 回合"
LC_healup,"Heal buff {0},  {1} round(s)","治疗增益效果 {0} 点, 持续 {1} 回合"
LC_healdown,"Heal debuff {0},  {1} round(s)","治疗减益效果 {0} 点, 持续 {1} 回合"
LC_intervene,"Intervention target:  all,  {0} round(s)","援护目标为all, 持续 {0} 回合"
LC_focusfire,"is marked,  {1} round(s)","被标记为集中火力, 持续 {1} 回合"
LC_halo_damage,Damage,伤害
LC_halo_dot,{0} damage,{0} 点持续伤害
LC_halo_heal,Heal,治疗
LC_halo_hot,{0} Sustained Heal ,{0} 点持续治疗
LC_halo_vampiric,Bloodsuck,吸血
LC_halo_disarm,Disarm,缴械效果
LC_halo_silence,Silence,沉默效果
LC_halo_stun,Stun ,昏迷效果
LC_halo_sleep,Trance,睡眠效果
LC_halo_confuse,Confuse,混乱效果
LC_halo_seduction,Seduce,魅惑效果
LC_halo_taunt,Taunt,嘲讽效果
LC_halo_shield,Shield {0},护盾 {0} 点
LC_halo_damup,Attack power increase {0},攻击力增加 {0} 点
LC_halo_damdown,Attack power decrease {0},攻击力降低 {0} 点
LC_halo_defup,Defense power increase {0},防御力增加 {0} 点
LC_halo_defdown,Defense power decrease{0},防御力降低 {0} 点
LC_halo_reflect,Reflect ,反伤
LC_halo_absorb,Absorb Damage once ,吸收一次伤害
LC_halo_phyimmu,Physical-immune ,物理免疫效果
LC_halo_magimmu,Magic-immune ,魔法免疫
LC_halo_dispel,Dispel,驱散
LC_halo_stunimmu,Stun-immune,免疫昏迷效果
LC_halo_disarmimmu,Disarm-immune,免疫缴械效果
LC_halo_silenceimmu,Silence-immune,免疫沉默
LC_halo_confuseimmu,Confusion immune,免疫混乱
LC_halo_seductionimmu,Seduction-immune ,免疫魅惑
LC_halo_speedup,Haste {0},加速 {0} 点
LC_halo_speeddown,Decelerate {0},减速 {0} 点
LC_halo_offensive,Charge ,先手
LC_halo_healup,Heal increase {0},治疗增益效果 {0} 点
LC_halo_healdown,Heal decrease {0},治疗减益效果 {0} 点
LC_halo_intervene,Intervened:  all,援护目标为all
LC_halo_focusfire,is marked,被标记为集中火力
LC_lose_damage,Damage,伤害
LC_lose_dot,Sustained Damage,持续伤害
LC_lose_heal,Heal,治疗
LC_lose_hot,Sustained Healing,持续治疗
LC_lose_vampiric,Bloodsuck,吸血
LC_lose_disarm,Disarm,缴械效果
LC_lose_silence,Silence,沉默效果
LC_lose_stun,Stun,昏迷效果
LC_lose_sleep,Trance,睡眠效果
LC_lose_confuse,Confuse,混乱效果
LC_lose_seduction,Seduce,魅惑效果
LC_lose_taunt,Taunt,嘲讽效果
LC_lose_shield,Shield,护盾
LC_lose_damup,Attack power increase,攻击力增加
LC_lose_damdown,Attack power decrease  ,攻击力降低
LC_lose_defup,Defense power increase  ,防御力增加
LC_lose_defdown,Defense power decrease  ,防御力降低
LC_lose_reflect,Reflect,反伤
LC_lose_absorb,Absorb Damage,吸收伤害
LC_lose_phyimmu,Physical-immune ,物理免疫效果
LC_lose_magimmu,Magic-immune ,魔法免疫效果
LC_lose_dispel,Dispel,驱散
LC_lose_stunimmu,Stun-immune,免疫昏迷效果
LC_lose_disarmimmu,Disarm-immune,免疫缴械效果
LC_lose_silenceimmu,Silence-immune,免疫沉默效果
LC_lose_confuseimmu,Confuse-immune,免疫混乱效果
LC_lose_seductionimmu,Seduce-immune,免疫魅惑效果
LC_lose_speedup,Speed-increase,速度增加
LC_lose_speeddown,Speed-decrease,速度降低
LC_lose_offensive,Charge,先手
LC_lose_healup,Heal buff   ,治疗增益效果
LC_lose_healdown,Heal debuff  ,治疗减益效果
LC_lose_intervene,Intervene,援护效果
LC_lose_focusfire,Mark,标记效果
LC_battle_ready_round,Preparation Round,战前准备
LC_trigger_default,triggered,释放了
LC_trigger_ihit,attack and trigger,攻击时触发了
LC_trigger_dead,Trigger the death whisper,触发亡语
LC_trigger_halo,Carry aura,携带光环
LC_trigger_battlestart,Released,释放了
LC_trigger_hp,HP is too low and triggered,因生命下降触发了
LC_trigger_hitme,is attacked and trigger,受到攻击时触发了
LC_battle_effect_normalatk_dominant,<color=#4DAC42>({0}% Bonus of restraint)</color>,<color=#4DAC42>(克制加成{0}%)</color>
LC_skill_last_ends,,持续到本场战斗结束
