KEY,EN,CN
LC_button_jump,Go to,去这里
LC_button_receive,Collect,领取
LC_button_pay,Levy Resources,上缴资源
LC_button_create_alliance,Create,创建
LC_button_search_alliance,Search,查找
LC_button_tile_recruit,Heal,治疗
LC_button_mark,Mark,地图标记
LC_button_tile_giveup,Abandon Tile,放弃土地
LC_button_tile_markalliance,Mark,联盟标记
LC_button_tile_move,Move,移动部队
LC_button_building_upgrade,Upgrade,升级建筑
LC_button_lottery,Lottery,抽卡
LC_button_tile_return,Return,回城
LC_button_tile_retreat,Retreat,撤退
LC_button_tile_attack,Attack,攻击
LC_button_tile_format,Formation,调整阵容
LC_button_go,Go,出发
LC_button_explore,Train Units,训练部队
LC_button_hero_upgrade,Upgrade,升级
LC_button_alliance_search,Explore,搜索
LC_button_alliance_choose,Choose,选择
LC_button_alliance_leave,Quit,退出联盟
LC_button_alliance_setting,Settings,联盟设置
LC_button_alliance_message,Send Mail,联盟邮件 
LC_button_send,Send,发送 
LC_button_cancel,Cancel,取消
LC_button_tile_deletealliancemark,Remove Alliance Mark,删除联盟标记 
LC_button_delete_mark,Remove Map Mark,删除地图标记
LC_button_tile_upgrade,Upgrade,升级
LC_button_chest_free,Free,免费 
LC_button_full_level,Max level reached,已满级 
LC_resouce,Resources,资源
LC_rewards,Rewards,奖励
LC_task_title,Tasks,任务
LC_task_progress,Task Progress,任务进度
LC_task_short,Common Tasks,普通任务
LC_task_long,Development Targets,发展目标
LC_tribute_title,Get Tributes,获得贡品
LC_tribute_desc,"The higher your Power Points,  the better the Tributes you will get. ",你的实力值越高获得的贡品越好. 
LC_tribute_unfinished_desc,Tribute Rewards can be collected once every three hours. ,贡品奖励每3个小时可领取一次. 
LC_treasure_unfinished_desc,"Occupy and explore tiles,  accumulate 6 Treasure Maps to exchange for rewards. ","占领并探索地块, 累计6张藏宝图兑换奖励. "
LC_treasure_title,Get Treasure,获得宝藏
LC_player_title,Output Overview,产量总览
LC_player_influence,Power Points,实力值
LC_player_fields,Tile Count,领地数量
LC_player_troops,Units here,部队数量
LC_player_heroes,Hero Count,英雄数量
LC_player_normal_info,Power Stats,实力统计
LC_player_resource_info,Resource Output,资源产量
LC_player_desc,Custom Signature,个性签名
LC_rank_person,Player,世界排行
LC_rank_alliance,Alliance,联盟排行
LC_rank_no_rank,No ranking,未上榜
LC_rank_region,Region,所在国
LC_no_alliance_title,Join Alliance,加入联盟
LC_no_alliance_unlock_condition,Requires a Townhall of Lv.  3 or above,指挥所3级解锁联盟
