KEY,EN,CN
LC_hero_405_skill_1,,糖果炸弹
LC_hero_003_skill_1,,灵气火焰
LC_hero_004_skill_1,,无理取闹
LC_hero_008_skill_1,,钢铁意志
LC_hero_109_skill_1,,闪耀箭矢
LC_hero_211_skill_1,,万物生长
LC_hero_106_skill_1,,生命火焰
LC_hero_011_skill_1,,坚毅圣水
LC_hero_107_skill_1,,枪盾合一
LC_hero_105_skill_1,,Papi冲撞
LC_hero_203_skill_1,,静默印记
LC_hero_101_skill_1,,爆头
LC_hero_110_skill_1,,魔法风暴
LC_hero_104_skill_1,,妖野守护
LC_hero_111_skill_1,,淬毒吹箭
LC_hero_204_skill_1,,炽焰法球
LC_hero_009_skill_1,,浪客剑心
LC_hero_202_skill_1,,生命源泉
LC_hero_010_skill_1,,奉献护盾
LC_hero_007_skill_1,,誓约胜利之剑
LC_hero_012_skill_1,,乘胜追击
LC_hero_103_skill_1,,破釜沉舟
LC_hero_208_skill_1,,复苏之歌
LC_hero_112_skill_1,,暴风投掷
LC_hero_006_skill_1,,太极
LC_hero_206_skill_1,,睚眦必报
LC_hero_102_skill_1,,不屈之力
LC_hero_207_skill_1,,王子的骄傲
LC_hero_005_skill_1,,神魂颠倒
LC_hero_210_skill_1,,公主驾到
LC_hero_303_skill_1,,瘟疫之矛
LC_hero_301_skill_1,,黑暗咆哮
LC_hero_209_skill_1,,审判之语
LC_hero_001_skill_1,,毒瓶投掷
LC_hero_201_skill_1,,箭雨
LC_hero_302_skill_1,,深渊噬咬
LC_hero_108_skill_1,,战斗之心
LC_hero_212_skill_1,,梦境守护
LC_hero_205_skill_1,,弱点揭示
LC_hero_306_skill_1,,毁灭之锤
LC_hero_305_skill_1,,魔法驱散
LC_hero_307_skill_1,,自爆幽灵
LC_hero_403_skill_1,,小人得志
LC_hero_002_skill_1,,暴风中的航海家
LC_hero_406_skill_1,,战场净化
LC_hero_402_skill_1,,龙之守护
LC_hero_401_skill_1,,龙卫斥责
LC_hero_404_skill_1,,臭屁治愈
LC_hero_304_skill_1,,冷血突杀
LC_hero_501_skill_1,,华丽技能名50
LC_hero_502_skill_1,,华丽技能名51
LC_hero_503_skill_1,,华丽技能名52
LC_hero_504_skill_1,,华丽技能名53
LC_hero_505_skill_1,,华丽技能名54
LC_hero_506_skill_1,,华丽技能名55
LC_hero_507_skill_1,,华丽技能名56
LC_hero_508_skill_1,,混乱反击
LC_hero_509_skill_1,,恶魔之力
LC_hero_510_skill_1,,荆棘诅咒
LC_hero_511_skill_1,,蚀甲反击
LC_hero_512_skill_1,,自爆
LC_hero_513_skill_1,,防护遗言
LC_hero_514_skill_1,,混乱诅咒
LC_hero_515_skill_1,,深渊治愈
LC_hero_516_skill_1,,深渊之力
LC_hero_517_skill_1,,邪恶净化
LC_hero_518_skill_1,,复生
LC_hero_519_skill_1,,恶魔重生
LC_hero_520_skill_1,,斩杀
LC_hero_521_skill_1,,厄运凝视
LC_hero_522_skill_1,,生命吸取
LC_hero_523_skill_1,,濒死一击
LC_hero_524_skill_1,,伤害吸收
LC_hero_525_skill_1,,毁灭打击
LC_hero_526_skill_1,,魔王意志
LC_hero_526_skill_2,,暗影狂怒
LC_hero_526_skill_3,,魔王镣铐
LC_hero_526_skill_4,,魔王冲击
LC_hero_527_skill_1,,防御强化
LC_hero_528_skill_1,,防御强化
LC_hero_529_skill_1,,魔王意志
LC_hero_529_skill_2,,暗影狂怒
LC_hero_529_skill_3,,魔王镣铐
LC_hero_529_skill_4,,魔王冲击
LC_hero_530_skill_1,,防御强化
LC_hero_531_skill_1,,防御强化
LC_hero_532_skill_1,,魔王意志
LC_hero_532_skill_2,,暗影狂怒
LC_hero_532_skill_3,,魔王镣铐
LC_hero_532_skill_4,,魔王冲击
LC_hero_533_skill_1,,防御强化
LC_hero_534_skill_1,,防御强化
LC_hero_535_skill_1,,魔王意志
LC_hero_535_skill_2,,暗影狂怒
LC_hero_535_skill_3,,魔王咆哮
LC_hero_535_skill_4,,魔气侵蚀
LC_hero_536_skill_1,,防御强化
LC_hero_537_skill_1,,防御强化
LC_hero_538_skill_1,,魔王意志
LC_hero_538_skill_2,,暗影狂怒
LC_hero_538_skill_3,,魔王咆哮
LC_hero_538_skill_4,,魔气侵蚀
LC_hero_539_skill_1,,防御强化
LC_hero_540_skill_1,,防御强化
LC_hero_541_skill_1,,魔王意志
LC_hero_541_skill_2,,暗影狂怒
LC_hero_541_skill_3,,魔王咆哮
LC_hero_541_skill_4,,魔气侵蚀
LC_hero_542_skill_1,,防御强化
LC_hero_543_skill_1,,防御强化
LC_hero_544_skill_1,,魔王意志
LC_hero_544_skill_2,,暗影狂怒
LC_hero_544_skill_3,,残暴斩击
LC_hero_544_skill_4,,深渊魅惑
LC_hero_545_skill_1,,免疫魅惑
LC_hero_546_skill_1,,免疫魅惑
LC_hero_547_skill_1,,魔王意志
LC_hero_547_skill_2,,暗影狂怒
LC_hero_547_skill_3,,残暴斩击
LC_hero_547_skill_4,,深渊魅惑
LC_hero_548_skill_1,,免疫魅惑
LC_hero_549_skill_1,,免疫魅惑
LC_hero_550_skill_1,,魔王意志
LC_hero_550_skill_2,,暗影狂怒
LC_hero_550_skill_3,,残暴斩击
LC_hero_550_skill_4,,深渊魅惑
LC_hero_551_skill_1,,免疫魅惑
LC_hero_552_skill_1,,免疫魅惑
LC_hero_553_skill_1,,魔王意志
LC_hero_553_skill_2,,暗影狂怒
LC_hero_553_skill_3,,深渊打击
LC_hero_553_skill_4,,深渊再生
LC_hero_553_skill_5,,衰弱之触
LC_hero_554_skill_1,,免疫魅惑
LC_hero_555_skill_1,,免疫魅惑
LC_hero_556_skill_1,,魔王意志
LC_hero_556_skill_2,,暗影狂怒
LC_hero_556_skill_3,,深渊打击
LC_hero_556_skill_4,,深渊再生
LC_hero_556_skill_5,,衰弱之触
LC_hero_557_skill_1,,免疫魅惑
LC_hero_558_skill_1,,免疫魅惑
LC_hero_559_skill_1,,魔王意志
LC_hero_559_skill_2,,暗影狂怒
LC_hero_559_skill_3,,深渊打击
LC_hero_559_skill_4,,深渊再生
LC_hero_559_skill_5,,衰弱之触
LC_hero_560_skill_1,,免疫魅惑
LC_hero_561_skill_1,,免疫魅惑
LC_hero_562_skill_1,,魔王意志
LC_hero_562_skill_2,,暗影狂怒
LC_hero_562_skill_3,,深渊打击
LC_hero_562_skill_4,,恐怖之眼
LC_hero_562_skill_5,,衰弱之触
LC_hero_563_skill_1,,免疫魅惑
LC_hero_564_skill_1,,免疫魅惑
LC_hero_565_skill_1,,魔王意志
LC_hero_565_skill_2,,暗影狂怒
LC_hero_565_skill_3,,深渊打击
LC_hero_565_skill_4,,恐怖之眼
LC_hero_565_skill_5,,衰弱之触
LC_hero_566_skill_1,,免疫魅惑
LC_hero_567_skill_1,,免疫魅惑
LC_hero_568_skill_1,,魔王意志
LC_hero_568_skill_2,,暗影狂怒
LC_hero_568_skill_3,,深渊打击
LC_hero_568_skill_4,,恐怖之眼
LC_hero_568_skill_5,,衰弱之触
LC_hero_569_skill_1,,免疫魅惑
LC_hero_570_skill_1,,免疫魅惑
LC_hero_571_skill_1,,魔王意志
LC_hero_571_skill_2,,暗影狂怒
LC_hero_571_skill_3,,复仇反击
LC_hero_571_skill_4,,沉默之眼
LC_hero_571_skill_5,,衰弱之雾
LC_hero_572_skill_1,,免疫魅惑
LC_hero_573_skill_1,,免疫魅惑
LC_hero_574_skill_1,,魔王意志
LC_hero_574_skill_2,,暗影狂怒
LC_hero_574_skill_3,,复仇反击
LC_hero_574_skill_4,,沉默之眼
LC_hero_574_skill_5,,衰弱之雾
LC_hero_575_skill_1,,免疫魅惑
LC_hero_576_skill_1,,免疫魅惑
LC_hero_577_skill_1,,魔王意志
LC_hero_577_skill_2,,暗影狂怒
LC_hero_577_skill_3,,复仇反击
LC_hero_577_skill_4,,沉默之眼
LC_hero_577_skill_5,,衰弱之雾
LC_hero_578_skill_1,,免疫魅惑
LC_hero_579_skill_1,,免疫魅惑
LC_hero_580_skill_1,,魔王意志
LC_hero_580_skill_2,,暗影狂怒
LC_hero_580_skill_3,,混乱之雨
LC_hero_580_skill_4,,腐蚀护甲
LC_hero_580_skill_5,,暴躁反击
LC_hero_580_skill_6,,死亡镰刀
LC_hero_581_skill_1,,免疫魅惑
LC_hero_582_skill_1,,免疫魅惑
LC_hero_583_skill_1,,魔王意志
LC_hero_583_skill_2,,暗影狂怒
LC_hero_583_skill_3,,混乱之雨
LC_hero_583_skill_4,,腐蚀护甲
LC_hero_583_skill_5,,暴躁反击
LC_hero_583_skill_6,,死亡镰刀
LC_hero_584_skill_1,,免疫魅惑
