day,gem,gold,lumber,marble,steel,food,hero_fragments,special,view
1,5,0,0,0,0,0,,1,gem
2,5,0,0,0,0,0,"hero_108,5",1,hero_fragments
3,0,150,0,0,0,0,,0,gold
4,0,175,0,0,0,0,,0,gold
5,0,200,0,0,0,0,,0,gold
6,0,200,0,0,0,0,,0,gold
7,5,0,0,0,0,0,"hero_201,15",1,hero_fragments
8,0,200,0,0,0,0,,0,gold
9,0,200,0,0,0,0,,0,gold
10,5,0,0,0,8000,8000,,1,resource
11,0,300,0,0,0,0,,0,gold
12,0,300,0,0,0,0,,0,gold
13,0,300,0,0,0,0,,0,gold
14,10,0,0,0,0,0,,1,gem
15,0,400,0,0,0,0,,0,gold
16,0,400,0,0,0,0,,0,gold
17,5,0,10000,10000,0,0,,1,resource
18,0,500,0,0,0,0,,0,gold
19,0,500,0,0,0,0,,0,gold
20,0,500,0,0,0,0,,0,gold
21,10,0,0,0,0,0,,1,gem
22,0,500,0,0,0,0,,0,gold
23,0,500,0,0,0,0,,0,gold
24,5,0,10000,10000,10000,10000,,1,resource
25,0,600,0,0,0,0,,0,gold
26,0,600,0,0,0,0,,0,gold
27,0,600,0,0,0,0,,0,gold
28,10,0,0,0,0,0,,1,gem
29,0,600,0,0,0,0,,0,gold
30,5,0,15000,15000,15000,15000,,1,resource
