id,type,level,assets,production
0,1,1,plain,50
1,2,1,road,50
2,3,4,village_c,
3,4,4,village_o,
4,3,5,village_c,
5,4,5,village_o,
6,3,6,village_c,
7,4,6,village_o,
20,3,7,town_c,
21,4,7,town_o,
22,3,8,town_c,
23,4,8,town_o,
24,3,9,town_c,
25,4,9,town_o,
38,3,10,city_c,
39,4,10,city_o,
40,3,11,city_c,
41,4,11,city_o,
42,3,12,city_c,
43,4,12,city_o,
56,3,13,city_c,
57,4,13,city_o,
58,5,6,frontier_m,
60,5,9,frontier_m,
62,6,5,pier,
63,7,0,river,
64,8,0,moutain,
65,9,2,lumber,100
66,9,3,lumber,200
67,9,4,lumber,400
68,9,5,lumber,600
69,9,6,lumber,1600
70,9,7,lumber,2400
71,9,8,lumber,3600
72,9,9,lumber,5400
73,9,10,lumber,8100
74,9,11,lumber,12150
75,9,12,lumber,18225
76,10,2,marble,100
77,10,3,marble,200
78,10,4,marble,400
79,10,5,marble,600
80,10,6,marble,1600
81,10,7,marble,2400
82,10,8,marble,3600
83,10,9,marble,5400
84,10,10,marble,8100
85,10,11,marble,12150
86,10,12,marble,18225
87,11,2,steel,100
88,11,3,steel,200
89,11,4,steel,400
90,11,5,steel,600
91,11,6,steel,1600
92,11,7,steel,2400
93,11,8,steel,3600
94,11,9,steel,5400
95,11,10,steel,8100
96,11,11,steel,12150
97,11,12,steel,18225
98,12,2,food,150
99,12,3,food,300
100,12,4,food,600
101,12,5,food,900
102,12,6,food,2400
103,12,7,food,3600
104,12,8,food,5400
105,12,9,food,8100
106,12,10,food,12150
107,12,11,food,18225
108,12,12,food,27338
109,13,1,crystal,50
110,13,2,crystal,75
111,13,3,crystal,100
112,13,4,crystal,150
