id,x,y
"7,8,202,1",47,33
"7,8,201,1",20,86
"7,7,201,1",30,168
"7,1,200,1",45,229
"7,1,201,1",25,278
"8,8,201,1",24,323
"8,8,200,1",45,401
"8,8,203,1",22,467
"8,7,202,1",33,560
"8,7,200,1",48,609
"8,7,203,1",23,657
"8,6,200,1",37,725
"8,6,202,1",23,778
"1,8,204,1",30,825
"1,8,202,1",27,947
"7,8,200,1",97,55
"7,7,202,1",65,146
"7,1,202,1",73,268
"8,8,202,1",69,364
"8,8,204,1",71,448
"8,7,201,1",71,528
"8,7,204,1",69,674
"8,6,201,1",79,756
"1,8,203,1",65,858
"1,8,200,1",53,902
"1,8,201,1",71,977
"7,7,200,1",101,126
"7,7,203,1",138,145
"7,2,200,1",128,227
"7,2,201,1",147,281
"8,1,200,1",125,354
"8,2,201,1",148,424
"8,2,200,1",116,472
"8,4,200,1",122,558
"8,5,200,1",124,639
"8,5,202,1",142,681
"1,6,202,1",145,721
"1,6,201,1",130,771
"1,7,200,1",142,900
"7,8,204,1",182,27
"7,8,203,1",151,75
"7,7,204,1",172,171
"7,2,202,1",172,247
"8,1,201,1",170,324
"8,1,202,1",167,381
"8,2,202,1",171,470
"8,4,201,1",155,520
"8,4,202,1",159,582
"8,5,201,1",182,634
"1,6,200,1",170,759
"1,7,204,1",174,820
"1,7,203,1",153,854
"1,7,202,1",154,945
"1,7,201,1",169,984
"6,6,202,1",223,31
"7,6,201,1",230,117
"7,6,200,1",236,175
"7,3,200,1",228,223
"7,3,201,1",226,276
"7,4,200,1",243,323
"7,4,201,1",220,364
"8,3,200,1",220,454
"1,5,201,1",225,651
"1,3,202,1",250,727
"1,3,200,1",230,765
"1,2,202,1",245,824
"1,2,200,1",227,875
"1,1,200,1",228,954
"6,6,200,1",280,26
"6,6,201,1",251,79
"7,6,202,1",284,155
"7,3,202,1",267,253
"7,4,202,1",268,378
"8,3,201,1",269,421
"8,3,202,1",255,478
"9,3,200,1",262,542
"1,5,202,1",272,642
"1,5,200,1",255,679
"1,3,201,1",271,765
"1,2,201,1",270,856
"1,1,202,1",271,928
"1,1,201,1",271,977
"6,7,204,1",332,83
"6,5,202,1",318,144
"7,5,201,1",349,222
"7,5,200,1",314,251
"1,4,200,1",327,757
"2,1,201,1",324,833
"2,8,201,1",331,972
"6,7,203,1",354,39
"6,7,200,1",400,60
"6,5,200,1",366,129
"6,5,201,1",367,180
"7,5,202,1",355,277
"10,8,200,1",370,373
"9,1,200,1",371,447
"9,2,200,1",352,555
