id,type,x,y,level,state
"7,8,30,96",1,30,96,4,"0,7,0,7"
"0,0,36,300",0,36,300,6,"0,8,7,7"
"8,8,18,378",1,18,378,4,"0,8,0,8"
"0,0,35,800",0,35,800,6,"0,1,8,8"
"8,6,37,787",1,37,787,4,"0,8,0,8"
"7,8,86,49",1,86,49,4,"0,7,0,7"
"7,8,53,83",1,53,83,4,"0,7,0,7"
"7,8,65,59",1,65,59,4,"0,7,0,7"
"7,8,92,70",1,92,70,4,"0,7,0,7"
"8,8,96,349",1,96,349,4,"0,8,0,8"
"8,8,53,358",1,53,358,4,"0,8,0,8"
"8,6,73,727",1,73,727,4,"0,8,0,8"
"8,6,51,761",1,51,761,4,"8,0,8,0"
"0,0,100,775",0,100,775,6,"1,1,8,0"
"1,8,87,916",1,87,916,4,"1,0,1,0"
"7,8,124,67",1,124,67,4,"0,7,0,7"
"0,0,139,300",0,139,300,6,"0,8,7,7"
"8,1,130,336",1,130,336,4,"0,8,0,8"
"8,5,142,643",1,142,643,4,"8,0,8,0"
"8,5,103,695",1,103,695,4,"8,0,8,0"
"8,5,120,670",1,120,670,4,"8,0,8,0"
"1,7,136,885",1,136,885,4,"0,1,0,1"
"7,8,159,66",1,159,66,4,"0,7,0,7"
"7,8,190,68",1,190,68,4,"0,7,0,7"
"8,1,157,319",1,157,319,4,"0,8,0,8"
"8,1,188,316",1,188,316,4,"0,8,0,8"
"8,2,194,492",1,194,492,4,"8,0,8,0"
"8,4,187,521",1,187,521,4,"8,0,8,0"
"8,4,161,564",1,161,564,4,"0,8,0,8"
"8,4,175,582",1,175,582,4,"0,8,0,8"
"8,4,191,553",1,191,553,4,"0,8,0,8"
"8,5,161,614",1,161,614,4,"8,0,8,0"
"0,0,200,648",0,200,648,6,"1,8,8,8"
"0,0,154,700",0,154,700,6,"0,1,8,8"
"1,7,176,866",1,176,866,4,"0,1,0,1"
"0,0,201,35",0,201,35,6,"6,6,7,0"
"0,0,243,100",0,243,100,6,"0,7,6,6"
"7,3,212,295",1,212,295,4,"0,7,0,7"
"7,3,243,286",1,243,286,4,"0,7,0,7"
"0,0,201,348",0,201,348,6,"7,7,8,0"
"0,0,201,552",0,201,552,8,"9,9,8,0"
"0,0,249,600",0,249,600,8,"0,1,9,9"
"1,2,213,829",1,213,829,4,"0,1,0,1"
"7,3,283,243",1,283,243,4,"7,0,7,0"
"7,3,286,215",1,286,215,4,"7,0,7,0"
"7,3,270,273",1,270,273,4,"0,7,0,7"
"0,0,255,400",0,255,400,6,"0,8,7,7"
"0,0,300,861",0,300,861,6,"2,0,1,0"
"0,0,300,969",0,300,969,6,"2,0,1,0"
"0,0,301,148",0,301,148,6,"6,6,7,0"
"0,0,301,338",0,301,338,8,"10,10,7,0"
"0,0,301,457",0,301,457,8,"9,9,8,0"
"0,0,311,700",0,311,700,8,"0,1,0,9"
"0,0,347,800",0,347,800,6,"0,2,0,1"
"0,0,358,200",0,358,200,6,"0,7,6,6"
"6,5,392,189",1,392,189,4,"6,0,6,0"
"7,5,390,245",1,390,245,4,"7,0,7,0"
"7,5,393,220",1,393,220,4,"7,0,7,0"
"7,5,383,267",1,383,267,4,"7,0,7,0"
"7,5,390,291",1,390,291,4,"7,0,7,0"
"0,0,400,744",0,400,744,6,"2,1,1,0"
"6,4,437,138",1,437,138,4,"0,6,0,6"
"6,4,403,172",1,403,172,4,"0,6,0,6"
"6,4,424,159",1,424,159,4,"0,6,0,6"
"0,0,401,250",0,401,250,8,"10,0,7,0"
"10,7,428,294",1,428,294,4,"0,10,0,10"
"11,4,434,477",1,434,477,4,"0,11,0,11"
"11,4,440,456",1,440,456,4,"11,0,11,0"
"11,1,425,505",1,425,505,4,"11,0,11,0"
"11,1,433,534",1,433,534,4,"11,0,11,0"
"11,1,429,554",1,429,554,4,"11,0,11,0"
"11,1,436,578",1,436,578,4,"11,0,11,0"
"9,5,445,612",1,445,612,4,"0,9,0,9"
"2,2,441,819",1,441,819,4,"2,0,2,0"
"2,2,418,880",1,418,880,4,"2,0,2,0"
"2,2,435,851",1,435,851,4,"2,0,2,0"
"2,8,424,916",1,424,916,4,"2,0,2,0"
"6,7,464,94",1,464,94,4,"0,6,0,6"
"6,7,491,84",1,491,84,4,"0,6,0,6"
"6,4,453,119",1,453,119,4,"6,0,6,0"
"0,0,453,201",0,453,201,8,"0,10,10,6"
"10,7,464,284",1,464,284,4,"0,10,0,10"
"10,7,489,275",1,489,275,4,"0,10,0,10"
"10,7,497,295",1,497,295,4,"10,0,10,0"
"10,6,497,317",1,497,317,4,"10,0,10,0"
"10,6,499,342",1,499,342,4,"10,0,10,0"
"10,6,486,392",1,486,392,4,"0,10,0,10"
"10,6,500,360",1,500,360,4,"0,10,0,10"
"11,4,455,429",1,455,429,4,"0,11,0,11"
"11,4,472,410",1,472,410,4,"11,0,11,0"
"0,0,452,600",0,452,600,11,"0,9,11,11"
"9,5,479,625",1,479,625,4,"0,9,0,9"
"0,0,469,700",0,469,700,8,"0,2,0,9"
"2,3,458,784",1,458,784,4,"2,0,2,0"
"2,3,483,756",1,483,756,4,"0,2,0,2"
"2,8,461,957",1,461,957,4,"2,0,2,0"
"2,8,493,983",1,493,983,4,"2,0,2,0"
"6,8,523,75",1,523,75,4,"0,6,0,6"
"9,6,506,635",1,506,635,4,"0,9,0,9"
"9,6,530,684",1,530,684,4,"0,9,0,9"
"9,6,539,651",1,539,651,4,"9,0,9,0"
"9,7,518,717",1,518,717,4,"0,9,0,9"
"6,8,578,32",1,578,32,4,"0,6,0,6"
"6,8,555,54",1,555,54,4,"0,6,0,6"
"0,0,555,301",0,555,301,8,"0,10,10,6"
"0,0,555,401",0,555,401,11,"11,11,11,10"
"0,0,552,800",0,552,800,8,"0,2,9,9"
"0,0,600,751",0,600,751,8,"3,9,9,0"
"0,0,601,249",0,601,249,6,"5,5,6,0"
"0,0,643,301",0,643,301,8,"0,10,10,5"
"0,0,647,801",0,647,801,6,"0,2,2,3"
"0,0,654,201",0,654,201,6,"0,5,5,6"
"0,0,700,530",0,700,530,8,"4,10,10,0"
"0,0,700,664",0,700,664,8,"3,9,9,0"
"0,0,700,848",0,700,848,6,"3,2,2,0"
"0,0,701,34",0,701,34,6,"5,5,6,0"
"0,0,701,148",0,701,148,6,"5,5,6,0"
"0,0,748,401",0,748,401,8,"0,10,10,5"
"0,0,741,601",0,741,601,6,"0,3,3,4"
"0,0,800,455",0,800,455,8,"4,10,10,0"
"0,0,800,659",0,800,659,6,"4,3,3,0"
"3,6,773,841",1,773,841,4,"3,0,3,0"
"3,6,786,817",1,786,817,4,"0,3,0,3"
"0,0,759,901",0,759,901,6,"0,2,2,3"
"0,0,800,962",0,800,962,6,"3,2,2,0"
"5,7,841,118",1,841,118,4,"0,5,0,5"
"5,7,831,177",1,831,177,4,"5,0,5,0"
"5,7,836,151",1,836,151,4,"5,0,5,0"
"5,6,810,215",1,810,215,4,"5,0,5,0"
"5,6,829,205",1,829,205,4,"5,0,5,0"
"0,0,844,301",0,844,301,6,"0,4,4,5"
"0,0,801,357",0,801,357,6,"4,4,5,0"
"3,2,848,788",1,848,788,4,"0,3,0,3"
"3,7,814,802",1,814,802,4,"0,3,0,3"
"5,7,892,24",1,892,24,4,"5,0,5,0"
"5,7,855,94",1,855,94,4,"5,0,5,0"
"5,7,874,73",1,874,73,4,"5,0,5,0"
"5,7,885,51",1,885,51,4,"5,0,5,0"
"4,2,884,529",1,884,529,4,"4,0,4,0"
"4,2,892,505",1,892,505,4,"4,0,4,0"
"4,2,883,580",1,883,580,4,"4,0,4,0"
"4,2,885,557",1,885,557,4,"4,0,4,0"
"4,1,856,647",1,856,647,4,"4,0,4,0"
"4,1,871,624",1,871,624,4,"4,0,4,0"
"4,1,878,603",1,878,603,4,"4,0,4,0"
"4,1,857,670",1,857,670,4,"0,4,0,4"
"4,1,860,690",1,860,690,4,"4,0,4,0"
"0,0,857,701",0,857,701,6,"0,3,3,4"
"3,2,863,732",1,863,732,4,"3,0,3,0"
"3,2,869,708",1,869,708,4,"3,0,3,0"
"3,2,863,761",1,863,761,4,"3,0,3,0"
"0,0,901,244",0,901,244,6,"4,4,5,0"
"4,7,931,388",1,931,388,4,"0,4,0,4"
"4,7,947,364",1,947,364,4,"0,4,0,4"
"4,7,919,439",1,919,439,4,"4,0,4,0"
"4,7,924,413",1,924,413,4,"4,0,4,0"
"4,7,907,482",1,907,482,4,"4,0,4,0"
"4,7,914,461",1,914,461,4,"4,0,4,0"
"5,8,990,195",1,990,195,4,"5,0,5,0"
"0,0,965,201",0,965,201,6,"0,4,4,5"
"4,6,970,241",1,970,241,4,"4,0,4,0"
"4,6,983,215",1,983,215,4,"4,0,4,0"
"4,6,953,264",1,953,264,4,"4,0,4,0"
"4,6,958,287",1,958,287,4,"4,0,4,0"
"4,7,951,338",1,951,338,4,"4,0,4,0"
"4,7,961,311",1,961,311,4,"4,0,4,0"
"0,0,969,701",0,969,701,6,"0,3,3,4"
