level,is_center,hero_groups,group_amount
1,TRUE,group26,1
1,FALSE,group26,1
2,TRUE,group27,1
2,FALSE,group27,1
3,TRUE,group28,1
3,FALSE,group28,1
4,TRUE,group29,1
4,FALSE,group29,1
5,TRUE,group30,1
5,FALSE,group30,1
6,TRUE,group31,1
6,FALSE,group31,1
7,TRUE,group32,1
7,FALSE,group32,1
8,TRUE,group33,1
8,FALSE,group33,1
9,TRUE,group34,1
9,FALSE,group34,1
10,TRUE,group35,1
10,FALSE,group35,1
11,TRUE,group36,1
11,FALSE,group36,1
12,TRUE,group37,1
12,FALSE,group37,1
13,TRUE,group37,1
13,FALSE,group37,1
