level,is_center,hero_groups,group_amount
1,TRUE,group13,5
1,FALSE,group39,2
2,TRUE,group14,5
2,FALSE,group40,2
3,TRUE,group15,5
3,FALSE,group41,2
4,TRUE,group16,10
4,FALSE,group42,2
5,TRUE,group17,15
5,FALSE,group43,4
6,TRUE,group18,20
6,FALSE,group44,4
7,TRUE,group19,25
7,FALSE,group45,6
8,TRUE,group20,30
8,FALSE,group46,6
9,TRUE,group21,35
9,FALSE,group47,8
10,TRUE,group22,40
10,FALSE,group48,10
11,TRUE,group23,45
11,FALSE,group49,12
12,TRUE,group24,50
12,FALSE,group50,14
13,TRUE,group24,55
13,FALSE,group51,16
