level,type,hero_groups,group_amount
1,pass,group26,1
1,bridge,group26,1
2,pass,group27,1
2,bridge,group27,1
3,pass,group28,1
3,bridge,group28,1
4,pass,group29,1
4,bridge,group29,1
5,pass,group29,1
5,bridge,group29,1
6,pass,group29,1
6,bridge,group29,1
7,pass,group32,1
7,bridge,group32,1
8,pass,group33,1
8,bridge,group33,1
9,pass,group34,1
9,bridge,group34,1
10,pass,group35,1
10,bridge,group35,1
11,pass,group36,1
11,bridge,group36,1
12,pass,group37,1
12,bridge,group37,1
13,pass,group37,1
13,bridge,group37,1
