id,category,type,name,level,amount,tier,force,produce,times,gem,gold,food,lumber,marble,steel,crystal,hero_fragments,locale_title,locale_desc
1,normal,building_amount,,,6,,,,,,0,36500,0,27400,0,,,task_1_title,task_1_desc
2,normal,specify_building_level,armycamp_B,3,,,,,,,0,0,18300,27400,21900,,,task_2_title,task_2_desc
3,normal,get_tribute_times,,,,,,,1,,0,0,18300,0,21900,,,task_3_title,task_3_desc
4,normal,building_level,tavern,3,,,,,,,0,0,18300,0,21900,,,task_4_title,task_4_desc
5,normal,battle_win,,,,,,,5,,100,0,18300,27400,0,,,task_5_title,task_5_desc
6,special,hero_amount,,,7,,,,,,0,0,0,27400,21900,,,task_6_title,task_6_desc
7,normal,building_level,templeofthewoods,2,,,,,,,0,0,18300,0,21900,,,task_7_title,task_7_desc
8,normal,stronghold_amount,,,1,,,,,,100,0,0,0,0,,,task_8_title,task_8_desc
9,normal,resource_produce,steel,,,,,3675,,,100,0,0,0,0,,,task_9_title,task_9_desc
10,normal,battle_win,,,,,,,10,,100,0,18300,27400,0,,,task_10_title,task_10_desc
11,normal,stronghold_amount,,,2,,,,,,100,0,0,0,0,,,task_11_title,task_11_desc
12,normal,force,,,,,20,,,,0,36500,0,0,0,,,task_12_title,task_12_desc
13,special,resource_produce,lumber,,,,,5880,,,100,0,0,0,0,,,task_13_title,task_13_desc
14,special,gold_totalamount,,,1500,,,,,,0,36500,18300,0,0,,,task_14_title,task_14_desc
15,normal,specify_building_level,armycamp_C,1,,,,,,,0,0,15700,25600,17100,,,task_15_title,task_15_desc
16,special,specify_building_level,armycamp_C,4,,,,,,,0,0,15700,25600,17100,,,task_16_title,task_16_desc
17,normal,building_amount,,,7,,,,,,0,29200,0,25600,0,,,task_17_title,task_17_desc
18,normal,resource_level,,3,,,,,5,,193,0,0,0,0,,,task_18_title,task_18_desc
19,normal,recruit_amount,,,10000,,,,,,193,0,0,0,0,,,task_19_title,task_19_desc
20,normal,troop_add_hero,armycamp_C,,,,,,3,,0,29200,0,0,0,,,task_20_title,task_20_desc
21,normal,building_level,tavern,4,,,,,,,0,0,15700,0,17100,,,task_21_title,task_21_desc
22,special,battle_win,,,,,,,5,,193,0,15700,25600,0,,,task_22_title,task_22_desc
23,normal,get_tribute_times,,,,,,,1,,0,0,15700,0,17100,,,task_23_title,task_23_desc
24,normal,building_level,templeofthewoods,3,,,,,,,0,0,15700,0,17100,,,task_24_title,task_24_desc
25,normal,recruit,,,,,,,10,,0,0,15700,25600,17100,,,task_25_title,task_25_desc
26,normal,resource_amount,,,64,,,,,,0,29200,15700,0,0,,,task_26_title,task_26_desc
27,normal,building_level,hallofstone,2,,,,,,,0,0,15700,0,17100,,,task_27_title,task_27_desc
28,normal,hero_level,,16,,,,,,,0,29200,0,0,17100,,,task_28_title,task_28_desc
29,special,resource_level,,4,,,,,1,,193,0,0,0,0,,,task_29_title,task_29_desc
30,normal,hero_amount,,,10,,,,,,0,0,0,25600,17100,,,task_30_title,task_30_desc
31,normal,stronghold_amount,,,3,,,,,,193,0,0,0,0,,,task_31_title,task_31_desc
32,normal,recruit_amount,,,20000,,,,,,193,0,0,0,0,,,task_32_title,task_32_desc
33,normal,resource_level,,4,,,,,3,,193,0,0,0,0,,,task_33_title,task_33_desc
34,special,resource_produce,food,,,,,7538,,,193,0,0,0,0,,,task_34_title,task_34_desc
35,normal,building_level,storage,4,,,,,,,0,0,15700,0,17100,,,task_35_title,task_35_desc
36,normal,hero_amount,,,11,,,,,,0,0,0,25600,17100,,,task_36_title,task_36_desc
37,normal,attack_npccity,,,,,,,18,,193,0,0,0,0,,,task_37_title,task_37_desc
38,normal,gold_totalamount,,,6750,,,,,,0,29200,15700,0,0,,,task_38_title,task_38_desc
39,normal,stronghold_amount,,,4,,,,,,193,0,0,0,0,,,task_39_title,task_39_desc
40,normal,attack_pass,,,,,,,9,,193,29200,0,25600,0,,,task_40_title,task_40_desc
41,special,hero_amount,,,12,,,,,,0,0,0,25600,17100,,,task_41_title,task_41_desc
42,normal,pvp_times,,,,,,,3,,0,0,15700,25600,17100,,,task_42_title,task_42_desc
43,normal,get_tribute_times,,,,,,,3,,0,0,15700,0,17100,,,task_43_title,task_43_desc
44,normal,battle_win,,,,,,,10,,193,0,15700,25600,0,,,task_44_title,task_44_desc
45,normal,force,,,,,40,,,,0,29200,0,0,0,,,task_45_title,task_45_desc
46,normal,resource_produce,marble,,,,,12060,,,193,0,0,0,0,,,task_46_title,task_46_desc
47,normal,gold_totalamount,,,13500,,,,,,0,29200,15700,0,0,,,task_47_title,task_47_desc
48,normal,attack_npccity,,,,,,,20,,193,0,0,0,0,,,task_48_title,task_48_desc
49,normal,attack_pass,,,,,,,10,,193,29200,0,25600,0,,,task_49_title,task_49_desc
50,special,pvp_times,,,,,,,3,,0,0,15700,25600,17100,,,task_50_title,task_50_desc
51,normal,building_level,townhall,5,,,,,,,0,0,15700,0,17100,,,task_51_title,task_51_desc
52,special,building_level,armycamp,5,,,,,,,0,0,40500,0,44200,,,task_52_title,task_52_desc
53,normal,resource_level,,4,,,,,5,,686,0,0,0,0,,,task_53_title,task_53_desc
54,normal,building_level,tavern,5,,,,,,,0,0,40500,0,44200,,,task_54_title,task_54_desc
55,normal,battle_win,,,,,,,5,,686,0,40500,97200,0,,,task_55_title,task_55_desc
56,normal,get_tribute_times,,,,,,,1,,0,0,40500,0,44200,,,task_56_title,task_56_desc
57,normal,building_level,templeofthewoods,4,,,,,,,0,0,40500,0,44200,,,task_57_title,task_57_desc
58,normal,recruit,,,,,,,13,,0,0,40500,97200,44200,,,task_58_title,task_58_desc
59,normal,resource_amount,,,84,,,,,,0,97200,40500,0,0,,,task_59_title,task_59_desc
60,normal,building_level,hallofstone,3,,,,,,,0,0,40500,0,44200,,,task_60_title,task_60_desc
61,normal,hero_level,,21,,,,,,,0,97200,0,0,44200,,,task_61_title,task_61_desc
62,special,resource_level,,5,,,,,1,,686,0,0,0,0,,,task_62_title,task_62_desc
63,normal,recruit,,,,,,,14,,0,0,40500,97200,44200,,,task_63_title,task_63_desc
64,normal,hero_amount,,,13,,,,,,0,0,0,97200,44200,,,task_64_title,task_64_desc
65,normal,pvp_times,,,,,,,3,,0,0,40500,97200,44200,,,task_65_title,task_65_desc
66,normal,stronghold_amount,,,5,,,,,,686,0,0,0,0,,,task_66_title,task_66_desc
67,normal,recruit_amount,,,26500,,,,,,686,0,0,0,0,,,task_67_title,task_67_desc
