id,type,townhall_level,name,level,amount,force,produce,times,vitality,locale_desc
1,occupied_resource_times,3,,2,,,,2,5,task_daily_1_desc
2,occupied_resource_times,3,,3,,,,1,10,task_daily_2_desc
3,occupied_resource_times,3,,3,,,,2,15,task_daily_3_desc
4,occupied_resource_times,3,,3,,,,3,15,task_daily_4_desc
5,battle_win,3,,,,,,3,5,task_daily_5_desc
6,battle_win,3,,,,,,5,10,task_daily_6_desc
7,battle_win,3,,,,,,8,15,task_daily_7_desc
8,recruit,3,,,,,,2,5,task_daily_8_desc
9,recruit,3,,,,,,3,10,task_daily_9_desc
10,recruit_amount,3,,,4800,,,,5,task_daily_10_desc
11,hero_levelup_times,3,,,,,,5,5,task_daily_11_desc
12,hero_levelup_times,3,,,,,,6,10,task_daily_12_desc
13,hero_levelup_times,3,,,,,,8,15,task_daily_13_desc
14,building_levelup_times,3,,,,,,1,5,task_daily_14_desc
15,building_levelup_times,3,,,,,,3,10,task_daily_15_desc
16,building_levelup_times,3,,,,,,4,15,task_daily_16_desc
17,resource_produce,3,lumber,,,,400,,5,task_daily_17_desc
18,resource_produce,3,lumber,,,,800,,10,task_daily_18_desc
19,resource_produce,3,lumber,,,,1200,,15,task_daily_19_desc
20,force,3,,,,100,,,5,task_daily_20_desc
21,force,3,,,,120,,,10,task_daily_21_desc
22,force,3,,,,140,,,15,task_daily_22_desc
23,get_tribute_times,3,,,,,,1,5,task_daily_23_desc
24,get_tribute_times,3,,,,,,2,10,task_daily_24_desc
25,get_tribute_times,3,,,,,,4,15,task_daily_25_desc
26,gold_totalamount,3,,,400,,,,5,task_daily_26_desc
27,gold_totalamount,3,,,800,,,,10,task_daily_27_desc
28,gold_totalamount,3,,,1400,,,,15,task_daily_28_desc
29,resource_revoke,3,,,1,,,,5,task_daily_29_desc
30,resource_revoke,3,,,2,,,,10,task_daily_30_desc
31,resource_revoke,3,,,4,,,,15,task_daily_31_desc
32,occupied_resource_times,4,,3,,,,2,5,task_daily_32_desc
33,occupied_resource_times,4,,4,,,,1,10,task_daily_33_desc
34,occupied_resource_times,4,,4,,,,2,15,task_daily_34_desc
35,occupied_resource_times,4,,4,,,,3,15,task_daily_35_desc
36,battle_win,4,,,,,,3,5,task_daily_36_desc
37,battle_win,4,,,,,,5,10,task_daily_37_desc
38,battle_win,4,,,,,,8,15,task_daily_38_desc
39,recruit,4,,,,,,4,5,task_daily_39_desc
40,recruit,4,,,,,,5,10,task_daily_40_desc
41,recruit_amount,4,,,14400,,,,5,task_daily_41_desc
42,hero_levelup_times,4,,,,,,5,5,task_daily_42_desc
43,hero_levelup_times,4,,,,,,6,10,task_daily_43_desc
44,hero_levelup_times,4,,,,,,8,15,task_daily_44_desc
45,pvp_times,4,,,,,,1,5,task_daily_45_desc
46,pvp_times,4,,,,,,2,10,task_daily_46_desc
47,pvp_times,4,,,,,,3,15,task_daily_47_desc
48,building_levelup_times,4,,,,,,1,5,task_daily_48_desc
49,building_levelup_times,4,,,,,,3,10,task_daily_49_desc
50,building_levelup_times,4,,,,,,4,15,task_daily_50_desc
51,resource_produce,4,steel,,,,400,,5,task_daily_51_desc
52,resource_produce,4,steel,,,,800,,10,task_daily_52_desc
53,resource_produce,4,steel,,,,1200,,15,task_daily_53_desc
54,force,4,,,,140,,,5,task_daily_54_desc
55,force,4,,,,170,,,10,task_daily_55_desc
56,force,4,,,,190,,,15,task_daily_56_desc
57,get_tribute_times,4,,,,,,1,5,task_daily_57_desc
58,get_tribute_times,4,,,,,,2,10,task_daily_58_desc
59,get_tribute_times,4,,,,,,4,15,task_daily_59_desc
60,gold_totalamount,4,,,500,,,,5,task_daily_60_desc
61,gold_totalamount,4,,,1000,,,,10,task_daily_61_desc
62,gold_totalamount,4,,,1700,,,,15,task_daily_62_desc
63,resource_revoke,4,,,1,,,,5,task_daily_63_desc
64,resource_revoke,4,,,2,,,,10,task_daily_64_desc
65,resource_revoke,4,,,4,,,,15,task_daily_65_desc
66,attack_npccity,4,,,,,,1,5,task_daily_66_desc
67,attack_npccity,4,,,,,,2,10,task_daily_67_desc
68,attack_npccity,4,,,,,,3,15,task_daily_68_desc
69,occupied_resource_times,5,,4,,,,2,5,task_daily_69_desc
70,occupied_resource_times,5,,5,,,,1,10,task_daily_70_desc
71,occupied_resource_times,5,,5,,,,2,15,task_daily_71_desc
72,occupied_resource_times,5,,5,,,,3,15,task_daily_72_desc
73,battle_win,5,,,,,,3,5,task_daily_73_desc
74,battle_win,5,,,,,,5,10,task_daily_74_desc
75,battle_win,5,,,,,,8,15,task_daily_75_desc
76,recruit,5,,,,,,6,5,task_daily_76_desc
77,recruit,5,,,,,,7,10,task_daily_77_desc
78,recruit_amount,5,,,38400,,,,5,task_daily_78_desc
79,hero_levelup_times,5,,,,,,5,5,task_daily_79_desc
80,hero_levelup_times,5,,,,,,6,10,task_daily_80_desc
81,hero_levelup_times,5,,,,,,8,15,task_daily_81_desc
82,pvp_times,5,,,,,,1,5,task_daily_82_desc
83,pvp_times,5,,,,,,2,10,task_daily_83_desc
84,pvp_times,5,,,,,,3,15,task_daily_84_desc
85,building_levelup_times,5,,,,,,1,5,task_daily_85_desc
86,building_levelup_times,5,,,,,,3,10,task_daily_86_desc
87,building_levelup_times,5,,,,,,4,15,task_daily_87_desc
88,resource_produce,5,lumber,,,,400,,5,task_daily_88_desc
89,resource_produce,5,lumber,,,,800,,10,task_daily_89_desc
90,resource_produce,5,lumber,,,,1200,,15,task_daily_90_desc
91,force,5,,,,220,,,5,task_daily_91_desc
92,force,5,,,,260,,,10,task_daily_92_desc
93,force,5,,,,310,,,15,task_daily_93_desc
94,get_tribute_times,5,,,,,,1,5,task_daily_94_desc
95,get_tribute_times,5,,,,,,2,10,task_daily_95_desc
96,get_tribute_times,5,,,,,,4,15,task_daily_96_desc
97,gold_totalamount,5,,,700,,,,5,task_daily_97_desc
98,gold_totalamount,5,,,1400,,,,10,task_daily_98_desc
99,gold_totalamount,5,,,2300,,,,15,task_daily_99_desc
100,resource_revoke,5,,,1,,,,5,task_daily_100_desc
101,resource_revoke,5,,,2,,,,10,task_daily_101_desc
102,resource_revoke,5,,,4,,,,15,task_daily_102_desc
103,attack_npccity,5,,,,,,1,5,task_daily_103_desc
104,attack_npccity,5,,,,,,2,10,task_daily_104_desc
105,attack_npccity,5,,,,,,3,15,task_daily_105_desc
106,occupied_resource_times,6,,5,,,,1,5,task_daily_106_desc
107,occupied_resource_times,6,,5,,,,2,10,task_daily_107_desc
108,occupied_resource_times,6,,6,,,,1,10,task_daily_108_desc
109,occupied_resource_times,6,,6,,,,2,15,task_daily_109_desc
110,occupied_resource_times,6,,6,,,,3,15,task_daily_110_desc
111,battle_win,6,,,,,,3,5,task_daily_111_desc
112,battle_win,6,,,,,,5,10,task_daily_112_desc
113,battle_win,6,,,,,,8,15,task_daily_113_desc
114,recruit,6,,,,,,8,5,task_daily_114_desc
115,recruit,6,,,,,,9,10,task_daily_115_desc
116,recruit_amount,6,,,102400,,,,5,task_daily_116_desc
117,hero_levelup_times,6,,,,,,5,5,task_daily_117_desc
118,hero_levelup_times,6,,,,,,6,10,task_daily_118_desc
119,hero_levelup_times,6,,,,,,8,15,task_daily_119_desc
120,pvp_times,6,,,,,,1,5,task_daily_120_desc
121,pvp_times,6,,,,,,2,10,task_daily_121_desc
122,pvp_times,6,,,,,,3,15,task_daily_122_desc
123,building_levelup_times,6,,,,,,1,5,task_daily_123_desc
124,building_levelup_times,6,,,,,,2,10,task_daily_124_desc
125,building_levelup_times,6,,,,,,3,15,task_daily_125_desc
126,resource_produce,6,lumber,,,,400,,5,task_daily_126_desc
127,resource_produce,6,lumber,,,,800,,10,task_daily_127_desc
128,resource_produce,6,lumber,,,,1200,,15,task_daily_128_desc
129,force,6,,,,250,,,5,task_daily_129_desc
130,force,6,,,,300,,,10,task_daily_130_desc
131,force,6,,,,350,,,15,task_daily_131_desc
132,get_tribute_times,6,,,,,,1,5,task_daily_132_desc
133,get_tribute_times,6,,,,,,2,10,task_daily_133_desc
134,get_tribute_times,6,,,,,,4,15,task_daily_134_desc
135,gold_totalamount,6,,,1100,,,,5,task_daily_135_desc
136,gold_totalamount,6,,,2100,,,,10,task_daily_136_desc
137,gold_totalamount,6,,,3600,,,,15,task_daily_137_desc
138,resource_revoke,6,,,1,,,,5,task_daily_138_desc
139,resource_revoke,6,,,2,,,,10,task_daily_139_desc
140,resource_revoke,6,,,4,,,,15,task_daily_140_desc
141,attack_npccity,6,,,,,,1,5,task_daily_141_desc
142,attack_npccity,6,,,,,,2,10,task_daily_142_desc
143,attack_npccity,6,,,,,,3,15,task_daily_143_desc
144,attack_pass,6,,,,,,1,5,task_daily_144_desc
145,attack_pass,6,,,,,,2,10,task_daily_145_desc
146,attack_pass,6,,,,,,3,15,task_daily_146_desc
147,occupied_resource_times,7,,6,,,,1,5,task_daily_147_desc
148,occupied_resource_times,7,,6,,,,2,10,task_daily_148_desc
149,occupied_resource_times,7,,7,,,,1,10,task_daily_149_desc
150,occupied_resource_times,7,,7,,,,2,15,task_daily_150_desc
151,occupied_resource_times,7,,7,,,,3,15,task_daily_151_desc
152,battle_win,7,,,,,,3,5,task_daily_152_desc
153,battle_win,7,,,,,,5,10,task_daily_153_desc
154,battle_win,7,,,,,,8,15,task_daily_154_desc
155,recruit,7,,,,,,10,5,task_daily_155_desc
156,recruit,7,,,,,,11,10,task_daily_156_desc
157,recruit_amount,7,,,200000,,,,5,task_daily_157_desc
158,hero_levelup_times,7,,,,,,4,5,task_daily_158_desc
159,hero_levelup_times,7,,,,,,5,10,task_daily_159_desc
160,hero_levelup_times,7,,,,,,7,15,task_daily_160_desc
161,pvp_times,7,,,,,,1,5,task_daily_161_desc
162,pvp_times,7,,,,,,2,10,task_daily_162_desc
163,pvp_times,7,,,,,,3,15,task_daily_163_desc
164,building_levelup_times,7,,,,,,1,5,task_daily_164_desc
165,building_levelup_times,7,,,,,,2,10,task_daily_165_desc
166,building_levelup_times,7,,,,,,3,15,task_daily_166_desc
167,resource_produce,7,marble,,,,400,,5,task_daily_167_desc
168,resource_produce,7,marble,,,,800,,10,task_daily_168_desc
169,resource_produce,7,marble,,,,1200,,15,task_daily_169_desc
170,force,7,,,,300,,,5,task_daily_170_desc
171,force,7,,,,360,,,10,task_daily_171_desc
172,force,7,,,,420,,,15,task_daily_172_desc
173,get_tribute_times,7,,,,,,1,5,task_daily_173_desc
174,get_tribute_times,7,,,,,,2,10,task_daily_174_desc
175,get_tribute_times,7,,,,,,4,15,task_daily_175_desc
176,gold_totalamount,7,,,1200,,,,5,task_daily_176_desc
177,gold_totalamount,7,,,2400,,,,10,task_daily_177_desc
178,gold_totalamount,7,,,4000,,,,15,task_daily_178_desc
179,resource_revoke,7,,,1,,,,5,task_daily_179_desc
180,resource_revoke,7,,,2,,,,10,task_daily_180_desc
181,resource_revoke,7,,,4,,,,15,task_daily_181_desc
182,attack_npccity,7,,,,,,1,5,task_daily_182_desc
183,attack_npccity,7,,,,,,2,10,task_daily_183_desc
184,attack_npccity,7,,,,,,3,15,task_daily_184_desc
185,attack_pass,7,,,,,,1,5,task_daily_185_desc
186,attack_pass,7,,,,,,2,10,task_daily_186_desc
187,attack_pass,7,,,,,,3,15,task_daily_187_desc
188,occupied_resource_times,8,,7,,,,1,5,task_daily_188_desc
189,occupied_resource_times,8,,7,,,,2,10,task_daily_189_desc
190,occupied_resource_times,8,,8,,,,1,10,task_daily_190_desc
191,occupied_resource_times,8,,8,,,,2,15,task_daily_191_desc
192,occupied_resource_times,8,,8,,,,3,15,task_daily_192_desc
193,battle_win,8,,,,,,3,5,task_daily_193_desc
194,battle_win,8,,,,,,5,10,task_daily_194_desc
195,battle_win,8,,,,,,8,15,task_daily_195_desc
196,recruit,8,,,,,,12,5,task_daily_196_desc
197,recruit,8,,,,,,13,10,task_daily_197_desc
198,recruit_amount,8,,,375000,,,,5,task_daily_198_desc
199,hero_levelup_times,8,,,,,,4,5,task_daily_199_desc
200,hero_levelup_times,8,,,,,,5,10,task_daily_200_desc
201,hero_levelup_times,8,,,,,,7,15,task_daily_201_desc
202,pvp_times,8,,,,,,1,5,task_daily_202_desc
203,pvp_times,8,,,,,,2,10,task_daily_203_desc
204,pvp_times,8,,,,,,3,15,task_daily_204_desc
205,building_levelup_times,8,,,,,,1,5,task_daily_205_desc
206,building_levelup_times,8,,,,,,2,10,task_daily_206_desc
207,building_levelup_times,8,,,,,,3,15,task_daily_207_desc
208,resource_produce,8,steel,,,,400,,5,task_daily_208_desc
209,resource_produce,8,steel,,,,800,,10,task_daily_209_desc
210,resource_produce,8,steel,,,,1200,,15,task_daily_210_desc
211,force,8,,,,330,,,5,task_daily_211_desc
212,force,8,,,,390,,,10,task_daily_212_desc
213,force,8,,,,460,,,15,task_daily_213_desc
214,get_tribute_times,8,,,,,,1,5,task_daily_214_desc
215,get_tribute_times,8,,,,,,2,10,task_daily_215_desc
216,get_tribute_times,8,,,,,,4,15,task_daily_216_desc
217,gold_totalamount,8,,,1300,,,,5,task_daily_217_desc
218,gold_totalamount,8,,,2600,,,,10,task_daily_218_desc
219,gold_totalamount,8,,,4300,,,,15,task_daily_219_desc
220,resource_revoke,8,,,1,,,,5,task_daily_220_desc
221,resource_revoke,8,,,2,,,,10,task_daily_221_desc
222,resource_revoke,8,,,4,,,,15,task_daily_222_desc
223,attack_npccity,8,,,,,,1,5,task_daily_223_desc
224,attack_npccity,8,,,,,,2,10,task_daily_224_desc
225,attack_npccity,8,,,,,,3,15,task_daily_225_desc
226,attack_pass,8,,,,,,1,5,task_daily_226_desc
227,attack_pass,8,,,,,,2,10,task_daily_227_desc
228,attack_pass,8,,,,,,3,15,task_daily_228_desc
229,occupied_resource_times,9,,8,,,,1,5,task_daily_229_desc
230,occupied_resource_times,9,,8,,,,2,10,task_daily_230_desc
231,occupied_resource_times,9,,9,,,,1,10,task_daily_231_desc
232,occupied_resource_times,9,,9,,,,2,15,task_daily_232_desc
233,occupied_resource_times,9,,9,,,,3,15,task_daily_233_desc
234,battle_win,9,,,,,,3,5,task_daily_234_desc
