id,townhall_level,vitality,gold,food,lumber,marble,steel,chest
1,3,50,0,1000,2000,2000,2000,
2,3,60,0,3000,6000,6000,6000,
3,3,120,170,3000,6000,6000,6000,wooden_chest_3
4,3,210,200,3000,6000,6000,6000,silver_chest_3
5,3,240,300,5000,9000,9000,9000,gold_chest_3
6,4,50,0,2000,4000,4000,4000,
7,4,70,0,4000,8000,8000,8000,
8,4,150,180,4000,8000,8000,8000,wooden_chest_4
9,4,260,220,4000,8000,8000,8000,silver_chest_4
10,4,330,330,6000,11000,11000,11000,gold_chest_4
11,5,50,0,3000,7000,7000,7000,
12,5,70,0,7000,14000,14000,14000,
13,5,150,220,7000,14000,14000,14000,wooden_chest_5
14,5,260,260,7000,14000,14000,14000,silver_chest_5
15,5,330,390,10000,20000,20000,20000,gold_chest_5
16,6,60,0,6000,12000,12000,12000,
17,6,80,0,12000,25000,25000,25000,
18,6,160,260,12000,25000,25000,25000,wooden_chest_6
19,6,280,310,12000,25000,25000,25000,silver_chest_6
20,6,360,470,19000,37000,37000,37000,gold_chest_6
21,7,60,0,10000,20000,20000,20000,
22,7,80,0,20000,39000,39000,39000,
23,7,160,310,20000,39000,39000,39000,wooden_chest_7
24,7,280,370,20000,39000,39000,39000,silver_chest_7
25,7,360,560,29000,59000,59000,59000,gold_chest_7
26,8,60,0,14000,28000,28000,28000,
27,8,80,0,28000,56000,56000,56000,
28,8,160,370,28000,56000,56000,56000,wooden_chest_8
29,8,280,440,28000,56000,56000,56000,silver_chest_8
30,8,360,660,42000,85000,85000,85000,gold_chest_8
31,9,60,0,20000,40000,40000,40000,
32,9,80,0,40000,81000,81000,81000,
33,9,160,600,40000,81000,81000,81000,wooden_chest_9
34,9,280,720,40000,81000,81000,81000,silver_chest_9
35,9,360,1080,60000,121000,121000,121000,gold_chest_9
36,10,60,0,23000,47000,47000,47000,
37,10,80,0,47000,93000,93000,93000,
38,10,160,700,47000,93000,93000,93000,wooden_chest_10
39,10,270,840,47000,93000,93000,93000,silver_chest_10
40,10,350,1260,70000,140000,140000,140000,gold_chest_10
41,11,60,0,28000,57000,57000,57000,
42,11,80,0,57000,113000,113000,113000,
43,11,160,800,57000,113000,113000,113000,wooden_chest_11
44,11,270,950,57000,113000,113000,113000,silver_chest_11
45,11,350,1430,85000,170000,170000,170000,gold_chest_11
46,12,60,0,34000,67000,67000,67000,
47,12,80,0,67000,134000,134000,134000,
48,12,150,1340,67000,134000,134000,134000,wooden_chest_12
49,12,260,1610,67000,134000,134000,134000,silver_chest_12
50,12,340,2410,101000,201000,201000,201000,gold_chest_12
