name,level,gold
tribute_gold_A,1,5
tribute_gold_A,2,11
tribute_gold_A,3,15
tribute_gold_A,4,20
tribute_gold_A,5,25
tribute_gold_A,6,40
tribute_gold_A,7,50
tribute_gold_A,8,60
tribute_gold_A,9,80
tribute_gold_A,10,100
tribute_gold_A,11,150
tribute_gold_A,12,200
tribute_gold_B,1,5
tribute_gold_B,2,11
tribute_gold_B,3,15
tribute_gold_B,4,20
tribute_gold_B,5,25
tribute_gold_B,6,40
tribute_gold_B,7,50
tribute_gold_B,8,60
tribute_gold_B,9,80
tribute_gold_B,10,100
tribute_gold_B,11,150
tribute_gold_B,12,200
tribute_gold_C,1,5
tribute_gold_C,2,11
tribute_gold_C,3,15
tribute_gold_C,4,20
tribute_gold_C,5,25
tribute_gold_C,6,40
tribute_gold_C,7,50
tribute_gold_C,8,60
tribute_gold_C,9,80
tribute_gold_C,10,100
tribute_gold_C,11,150
tribute_gold_C,12,200
tribute_gold_D,1,5
tribute_gold_D,2,11
tribute_gold_D,3,15
tribute_gold_D,4,20
tribute_gold_D,5,25
tribute_gold_D,6,40
tribute_gold_D,7,50
tribute_gold_D,8,60
tribute_gold_D,9,80
tribute_gold_D,10,100
tribute_gold_D,11,150
tribute_gold_D,12,200
