level,rarity,type,gold,food,lumber,marble,steel,crystal,duration
67,1,rock,0,0.45,0.22,0.14,0.14,0,0.08
68,1,paper,0,0.45,0.14,0.14,0.22,0,0.08
68,1,scissors,0,0.45,0.14,0.22,0.14,0,0.08
68,1,rock,0,0.45,0.22,0.14,0.14,0,0.08
69,1,paper,0,0.45,0.14,0.14,0.22,0,0.08
69,1,scissors,0,0.45,0.14,0.22,0.14,0,0.08
69,1,rock,0,0.45,0.22,0.14,0.14,0,0.08
70,1,paper,0,0.45,0.14,0.14,0.22,0,0.08
70,1,scissors,0,0.45,0.14,0.22,0.14,0,0.08
70,1,rock,0,0.45,0.22,0.14,0.14,0,0.08
71,1,paper,0,0.45,0.14,0.14,0.22,0,0.08
71,1,scissors,0,0.45,0.14,0.22,0.14,0,0.08
71,1,rock,0,0.45,0.22,0.14,0.14,0,0.08
72,1,paper,0,0.45,0.14,0.14,0.22,0,0.08
72,1,scissors,0,0.45,0.14,0.22,0.14,0,0.08
72,1,rock,0,0.45,0.22,0.14,0.14,0,0.08
73,1,paper,0,0.45,0.14,0.14,0.22,0,0.08
73,1,scissors,0,0.45,0.14,0.22,0.14,0,0.08
73,1,rock,0,0.45,0.22,0.14,0.14,0,0.08
74,1,paper,0,0.45,0.14,0.14,0.22,0,0.08
74,1,scissors,0,0.45,0.14,0.22,0.14,0,0.08
74,1,rock,0,0.45,0.22,0.14,0.14,0,0.08
75,1,paper,0,0.45,0.14,0.14,0.22,0,0.08
75,1,scissors,0,0.45,0.14,0.22,0.14,0,0.08
75,1,rock,0,0.45,0.22,0.14,0.14,0,0.08
1,2,paper,0,2.25,0.72,0.72,1.08,0,0.08
1,2,scissors,0,2.25,0.72,1.08,0.72,0,0.08
1,2,rock,0,2.25,1.08,0.72,0.72,0,0.08
2,2,paper,0,2.25,0.72,0.72,1.08,0,0.08
2,2,scissors,0,2.25,0.72,1.08,0.72,0,0.08
2,2,rock,0,2.25,1.08,0.72,0.72,0,0.08
3,2,paper,0,2.25,0.72,0.72,1.08,0,0.08
3,2,scissors,0,2.25,0.72,1.08,0.72,0,0.08
3,2,rock,0,2.25,1.08,0.72,0.72,0,0.08
4,2,paper,0,2.25,0.72,0.72,1.08,0,0.08
4,2,scissors,0,2.25,0.72,1.08,0.72,0,0.08
4,2,rock,0,2.25,1.08,0.72,0.72,0,0.08
5,2,paper,0,2.25,0.72,0.72,1.08,0,0.08
5,2,scissors,0,2.25,0.72,1.08,0.72,0,0.08
5,2,rock,0,2.25,1.08,0.72,0.72,0,0.08
6,2,paper,0,2,0.64,0.64,0.96,0,0.08
6,2,scissors,0,2,0.64,0.96,0.64,0,0.08
6,2,rock,0,2,0.96,0.64,0.64,0,0.08
7,2,paper,0,2,0.64,0.64,0.96,0,0.08
7,2,scissors,0,2,0.64,0.96,0.64,0,0.08
7,2,rock,0,2,0.96,0.64,0.64,0,0.08
8,2,paper,0,2,0.64,0.64,0.96,0,0.08
8,2,scissors,0,2,0.64,0.96,0.64,0,0.08
8,2,rock,0,2,0.96,0.64,0.64,0,0.08
9,2,paper,0,2,0.64,0.64,0.96,0,0.08
9,2,scissors,0,2,0.64,0.96,0.64,0,0.08
9,2,rock,0,2,0.96,0.64,0.64,0,0.08
10,2,paper,0,2,0.64,0.64,0.96,0,0.08
10,2,scissors,0,2,0.64,0.96,0.64,0,0.08
10,2,rock,0,2,0.96,0.64,0.64,0,0.08
11,2,paper,0,1.5,0.48,0.48,0.72,0,0.08
11,2,scissors,0,1.5,0.48,0.72,0.48,0,0.08
11,2,rock,0,1.5,0.72,0.48,0.48,0,0.08
12,2,paper,0,1.5,0.48,0.48,0.72,0,0.08
12,2,scissors,0,1.5,0.48,0.72,0.48,0,0.08
12,2,rock,0,1.5,0.72,0.48,0.48,0,0.08
13,2,paper,0,1.5,0.48,0.48,0.72,0,0.08
13,2,scissors,0,1.5,0.48,0.72,0.48,0,0.08
13,2,rock,0,1.5,0.72,0.48,0.48,0,0.08
14,2,paper,0,1.5,0.48,0.48,0.72,0,0.08
14,2,scissors,0,1.5,0.48,0.72,0.48,0,0.08
14,2,rock,0,1.5,0.72,0.48,0.48,0,0.08
15,2,paper,0,1.5,0.48,0.48,0.72,0,0.08
15,2,scissors,0,1.5,0.48,0.72,0.48,0,0.08
15,2,rock,0,1.5,0.72,0.48,0.48,0,0.08
16,2,paper,0,1.25,0.4,0.4,0.6,0,0.08
16,2,scissors,0,1.25,0.4,0.6,0.4,0,0.08
16,2,rock,0,1.25,0.6,0.4,0.4,0,0.08
17,2,paper,0,1.25,0.4,0.4,0.6,0,0.08
17,2,scissors,0,1.25,0.4,0.6,0.4,0,0.08
17,2,rock,0,1.25,0.6,0.4,0.4,0,0.08
18,2,paper,0,1.25,0.4,0.4,0.6,0,0.08
18,2,scissors,0,1.25,0.4,0.6,0.4,0,0.08
18,2,rock,0,1.25,0.6,0.4,0.4,0,0.08
19,2,paper,0,1.25,0.4,0.4,0.6,0,0.08
19,2,scissors,0,1.25,0.4,0.6,0.4,0,0.08
19,2,rock,0,1.25,0.6,0.4,0.4,0,0.08
20,2,paper,0,1.25,0.4,0.4,0.6,0,0.08
20,2,scissors,0,1.25,0.4,0.6,0.4,0,0.08
20,2,rock,0,1.25,0.6,0.4,0.4,0,0.08
21,2,paper,0,1.1,0.35,0.35,0.53,0,0.08
21,2,scissors,0,1.1,0.35,0.53,0.35,0,0.08
21,2,rock,0,1.1,0.53,0.35,0.35,0,0.08
22,2,paper,0,1.1,0.35,0.35,0.53,0,0.08
22,2,scissors,0,1.1,0.35,0.53,0.35,0,0.08
22,2,rock,0,1.1,0.53,0.35,0.35,0,0.08
23,2,paper,0,1.1,0.35,0.35,0.53,0,0.08
23,2,scissors,0,1.1,0.35,0.53,0.35,0,0.08
23,2,rock,0,1.1,0.53,0.35,0.35,0,0.08
24,2,paper,0,1.1,0.35,0.35,0.53,0,0.08
24,2,scissors,0,1.1,0.35,0.53,0.35,0,0.08
24,2,rock,0,1.1,0.53,0.35,0.35,0,0.08
25,2,paper,0,1.1,0.35,0.35,0.53,0,0.08
25,2,scissors,0,1.1,0.35,0.53,0.35,0,0.08
25,2,rock,0,1.1,0.53,0.35,0.35,0,0.08
