name,path
def_1,Audio/default_1
def_2,Audio/default_2
def_interval,Audio/default_interval
bg_battle,Audio/bg_battle
bg_lottery,Audio/bg_lottery
bg_elf,Audio/bg_elf
bg_dwarf,Audio/bg_dwarf
bg_demon,Audio/bg_demon
bg_dragon,Audio/bg_dragon
env_enemy,Audio/
env_wave,Audio/env_wave
act_button,Audio/act_button
act_expand,Audio/act_expand
act_click_tile,Audio/act_click_tile
act_click_building,Audio/act_click_building
show_build,Audio/show_build
act_click_city,Audio/act_click_city
act_click_dragon,Audio/act_click_dragon
show_collect_lumber,Audio/show_collect_lumber
show_collect_gold,Audio/show_collect_gold
show_collect_marble,Audio/show_collect_marble
show_collect_steel,Audio/show_collect_steel
show_collect_food,Audio/show_collect_food
act_ui_hide,Audio/act_ui_hide
act_get_reward,Audio/act_get_reward
show_resource_change,Audio/show_resource_change
show_lottery_rarity_1,Audio/show_lottery_rarity_1
show_lottery_rarity_2,Audio/show_lottery_rarity_2
show_lottery_rarity_3,Audio/show_lottery_rarity_2
show_lottery_rarity_4,Audio/show_lottery_rarity_4
show_hero_amount_change,Audio/show_hero_amount_change
show_tip_normal,Audio/show_tip_normal
show_tip_warning,Audio/show_tip_warning
dragon_roar,Audio/dragon_roar
dragon_injure,Audio/dragon_injure
dragon_fly,Audio/dragon_fly
show_chest_single,Audio/show_chest_single
show_chest_plural,Audio/show_chest_plural
show_chest_start,Audio/show_chest_start
show_battle_start,Audio/show_battle_start
show_battle_win,Audio/show_battle_win,
show_battle_lose,Audio/show_battle_lose
thunder_cast,Audio/thunder_cast
thunder_hit,Audio/thunder_hit
dragon_hit,Audio/dragon_hit
wood_hit,Audio/wood_hit
fist_hit,Audio/fist_hit
chopped_hit,Audio/chopped_hit
demon_1_attack,Audio/demon_1_attack
demon_2_attack,Audio/demon_2_attack
