index,name,type
卡牌升级音效,show_hero_levelup,rarely_short
卡牌升级数值增长音效,show_hero_levelup_number,rarely
卡牌飞出,show_card_fly,rarely_short
部队出发,act_troop_send,frequently_short
部队到达,act_troop_arrive,frequently_short
界面滑动,act_scroll_roll,frequently_short
恶魔_破土而出,show_demon_appear,rarely_short
恶魔_示威,show_demon_roar,rarely_short
恶魔_移动,show_demon_move,rarely_short
章节切换1,show_chapter_change,rarely_medium
对话1,chat_1,rarely_short
对话2,chat_2,rarely_short
对话3,chat_3,rarely_short
对话4,chat_4,rarely_short
对话5,chat_5,rarely_short
对话6,chat_6,rarely_short
对话7,chat_7,rarely_short
对话8,chat_8,rarely_short
对话9,chat_9,rarely_short
loading界面loop,bg_loading,background
地图中高级宝箱掉落,show_silver_chest_drop,frequently_short
地图中普通宝箱掉落,show_wooden_chest_drop,frequently_short
地图中稀有宝箱掉落,show_golden_chest_drop,frequently_short
开宝箱时宝箱晃动loop,show_chest_shaking,frequently_medium
开宝箱整段,show_chest_open,frequently_medium
实力进阶动画,show_power_up,rarely_medium
新手引导中地块染色,show_fte_tile_occupy,rarely_medium
新手引导中地块染色皇冠收集5,show_fte_get_crown,rarely_medium
选国环境音效,bg_chose_state,background
选国界面云层进入,show_cloud_in,rarely_medium
选国界面云层散开,show_cloud_out,rarely_medium
云层盖住画面,show_cloud_stay,rarely_medium
英雄展示,show_new_hero,rarely_medium
选国界面bgm带海浪,show_new_hero,background
