name,path
tile_layer_above_steel12,Sprites/Terrain/ter_steel12
tile_layer_above_cloud1,Sprites/Terrain/map_cloud01
tile_layer_above_cloud2,Sprites/Terrain/map_cloud02
tile_layer_above_cloud3,Sprites/Terrain/map_cloud03
tile_layer_above_pass_we,Sprites/Terrain/bdin_pass_01
tile_layer_above_pass_ns,Sprites/Terrain/bdin_pass_02
tile_layer_above_bridge_we,Sprites/Terrain/bdin_bridge_01
tile_layer_above_bridge_ns,Sprites/Terrain/bdin_bridge_02
tile_layer_level_1,Sprites/Terrain/resbase01_02
tile_layer_level_2,Sprites/Terrain/resbase01_03
tile_layer_level_3,Sprites/Terrain/resbase01_04
tile_layer_level_4,Sprites/Terrain/resbase01_05
tile_layer_level_5,Sprites/Terrain/resbase01_06
tile_layer_level_6,Sprites/Terrain/resbase01_07
tile_layer_base_road_nesw,Sprites/Terrain/ter_road_sig_c01
tile_layer_base_road_esw,Sprites/Terrain/ter_road_sig_tsw01
tile_layer_base_road_nsw,Sprites/Terrain/ter_road_sig_tnw01
tile_layer_base_road_nes,Sprites/Terrain/ter_road_sig_tse01
tile_layer_base_road_new,Sprites/Terrain/ter_road_sig_tne01
tile_layer_base_road_ns_1,Sprites/Terrain/ter_road_sig_sw01
tile_layer_base_road_ns_2,Sprites/Terrain/ter_road_sig_sw02
tile_layer_base_road_ns_3,Sprites/Terrain/ter_road_sig_sw03
tile_layer_base_road_ew_1,Sprites/Terrain/ter_road_sig_ne01
tile_layer_base_road_ew_2,Sprites/Terrain/ter_road_sig_ne02
tile_layer_base_road_ew_3,Sprites/Terrain/ter_road_sig_ne03
tile_layer_base_road_es,Sprites/Terrain/ter_road_sig_n01
tile_layer_base_road_sw,Sprites/Terrain/ter_road_sig_e01
tile_layer_base_road_nw,Sprites/Terrain/ter_road_sig_s01
tile_layer_base_road_ne,Sprites/Terrain/ter_road_sig_w01
tile_layer_base_road_n,Sprites/Terrain/ter_road_sig_une01
tile_layer_base_road_e,Sprites/Terrain/ter_road_sig_use01
tile_layer_base_road_s,Sprites/Terrain/ter_road_sig_usw01
tile_layer_base_road_w,Sprites/Terrain/ter_road_sig_unw01
tile_layer_base_plain,Sprites/Terrain/ter_basic01_01
tile_layer_base_plain_highlight,Sprites/Terrain/resbase01_01
tile_layer_below_river_nnteetsstwwt,Sprites/Terrain/ter_river_mlt_c01
tile_layer_below_river_neetsstwwt,Sprites/Terrain/ter_river_mlt_w02
tile_layer_below_river_nntesstwwt,Sprites/Terrain/ter_river_mlt_n02
tile_layer_below_river_nnteetswwt,Sprites/Terrain/ter_river_mlt_e02
tile_layer_below_river_nnteetsstw,Sprites/Terrain/ter_river_mlt_s02
tile_layer_below_river_nnteswwt,Sprites/Terrain/ter_river_mlt_sw02
tile_layer_below_river_nnteetsw,Sprites/Terrain/ter_river_mlt_nw02
tile_layer_below_river_nesstwwt,Sprites/Terrain/ter_river_mlt_se02
tile_layer_below_river_neetsstw,Sprites/Terrain/ter_river_mlt_ne02
tile_layer_below_river_eetsstw,Sprites/Terrain/ter_river_mlt_ne01
tile_layer_below_river_nsstwwt,Sprites/Terrain/ter_river_mlt_se01
tile_layer_below_river_nntewwt,Sprites/Terrain/ter_river_mlt_sw01
tile_layer_below_river_nnteets,Sprites/Terrain/ter_river_mlt_nw01
tile_layer_below_river_nesw,Sprites/Terrain/ter_river_sig_c01
tile_layer_below_river_neets,Sprites/Terrain/ter_river_mlt_ne03
