hero,animation,function,time
hero_106,skill,ActionPlay,0.5
hero_106,victor,ActionPlay,0.2
hero_106,failed,ActionPlay,0.2
hero_106,failed,ActionEnd,0.2
hero_011,attack,ActionEnd,1.3
hero_011,attack,AudioPlay,0.4
hero_011,attack,ActionPlay,0.3
hero_011,skill,AudioPlay,0.4
hero_011,skill,ActionPlay,0.5
hero_011,victor,ActionPlay,0.2
hero_011,failed,ActionPlay,0.2
hero_011,failed,ActionEnd,0.2
hero_101,attack,ActionEnd,1.3
hero_101,attack,AudioPlay,0.4
hero_101,attack,ActionPlay,0.3
hero_101,skill,AudioPlay,0.4
hero_101,skill,ActionPlay,0.5
hero_101,victor,ActionPlay,0.2
hero_101,failed,ActionPlay,0.2
hero_101,failed,ActionEnd,0.2
hero_108,attack,ActionEnd,1.3
hero_108,attack,AudioPlay,0.4
hero_108,attack,ActionPlay,0.3
hero_108,skill,AudioPlay,0.4
hero_108,skill,ActionPlay,0.5
hero_108,victor,ActionPlay,0.2
hero_108,failed,ActionPlay,0.2
hero_108,failed,ActionEnd,0.2
hero_105,attack,ActionEnd,1.3
hero_105,attack,AudioPlay,0.4
hero_105,attack,ActionPlay,0.3
hero_105,skill,AudioPlay,0.4
hero_105,skill,ActionPlay,0.5
hero_105,victor,ActionPlay,0.2
hero_105,failed,ActionPlay,0.2
hero_105,failed,ActionEnd,0.2
hero_001,attack,ActionEnd,1.3
hero_001,attack,AudioPlay,0.4
hero_001,attack,ActionPlay,0.3
hero_001,skill,AudioPlay,0.4
hero_001,skill,ActionPlay,0.5
hero_001,victor,ActionPlay,0.2
hero_001,failed,ActionPlay,0.2
hero_001,failed,ActionEnd,0.2
hero_111,attack,ActionEnd,1.3
hero_111,attack,AudioPlay,0.4
hero_111,attack,ActionPlay,0.3
hero_111,skill,AudioPlay,0.4
hero_111,skill,ActionPlay,0.5
hero_111,victor,ActionPlay,0.2
