hero,index,step,end_delay,target
hero_626,attack_1_1,fly,0.2,head
hero_626,attack_1_1,hit,0.2,foot
hero_627,attack_1_1,fly,0.2,head
hero_627,attack_1_1,hit,0.2,foot
hero_628,attack_1_1,fly,0.2,head
hero_628,attack_1_1,hit,0.2,foot
hero_629,attack_1_1,fly,0.2,head
hero_629,attack_1_1,hit,0.2,foot
hero_630,attack_1_1,fly,0.2,head
hero_630,attack_1_1,hit,0.2,foot
hero_631,attack_1_1,fly,0.2,head
hero_631,attack_1_1,hit,0.2,foot
hero_632,attack_1_1,fly,0.2,head
hero_632,attack_1_1,hit,0.2,foot
hero_633,attack_1_1,fly,0.2,head
hero_633,attack_1_1,hit,0.2,foot
