hero,point,root,x,y,z
hero_624,skill_hit.foot,,0,0,0
hero_624,health,,0,0,0
hero_624,friend,,0,0,0
hero_624,enemy,,0,0,0
hero_624,cast,Hmale02,0,0,0
hero_624,fly,,0,0,0
hero_624,idle,,0,0,0
hero_624,lose,,0,0,0
hero_624,win,,0,0,0
hero_624,move,,0,0,0
hero_625,skill_last.head,,0,1.9,-0.2
hero_625,skill_last.body,,0,0.7,-0.2
hero_625,skill_last.foot,,0,0,-0.2
hero_625,skill_hit.head,,0,1.9,0
hero_625,skill_hit.body,,0,0.7,0
hero_625,skill_hit.foot,,0,0,0
hero_625,health,,0,0,0
hero_625,friend,,0,0,0
hero_625,enemy,,0,0,0
hero_625,cast,Hmale02,0,0,0
hero_625,fly,,0,0,0
hero_625,idle,,0,0,0
hero_625,lose,,0,0,0
hero_625,win,,0,0,0
hero_625,move,,0,0,0
hero_626,skill_last.head,,0,1.9,-0.2
hero_626,skill_last.body,,0,0.7,-0.2
hero_626,skill_last.foot,,0,0,-0.2
hero_626,skill_hit.head,,0,1.9,0
hero_626,skill_hit.body,,0,0.7,0
hero_626,skill_hit.foot,,0,0,0
hero_626,health,,0,0,0
hero_626,friend,,0,0,0
hero_626,enemy,,0,0,0
hero_626,cast,Hmale02,0,0,0
hero_626,fly,,0,0,0
hero_626,idle,,0,0,0
hero_626,lose,,0,0,0
hero_626,win,,0,0,0
hero_626,move,,0,0,0
hero_627,skill_last.head,,0,1.9,-0.2
hero_627,skill_last.body,,0,0.7,-0.2
hero_627,skill_last.foot,,0,0,-0.2
hero_627,skill_hit.head,,0,1.9,0
hero_627,skill_hit.body,,0,0.7,0
hero_627,skill_hit.foot,,0,0,0
hero_627,health,,0,0,0
hero_627,friend,,0,0,0
hero_627,enemy,,0,0,0
hero_627,cast,Hmale02,0,0,0
