hero,index,step,end_delay,target
hero_501,skill_1_1,cast,0.2,foot
hero_501,skill_1_1,fly,0.2,head
hero_501,skill_1_1,hit,0.2,foot
hero_502,skill_1_1,cast,0.2,foot
hero_502,skill_1_1,fly,0.2,head
hero_502,skill_1_1,hit,0.2,foot
hero_503,skill_1_1,cast,0.2,foot
hero_503,skill_1_1,fly,0.2,head
hero_503,skill_1_1,hit,0.2,foot
hero_504,skill_1_1,cast,0.2,foot
hero_504,skill_1_1,fly,0.2,head
hero_504,skill_1_1,hit,0.2,foot
hero_505,skill_1_1,cast,0.2,foot
hero_505,skill_1_1,fly,0.2,head
hero_505,skill_1_1,hit,0.2,foot
hero_506,skill_1_1,cast,0.2,foot
hero_506,skill_1_1,fly,0.2,head
hero_506,skill_1_1,hit,0.2,foot
hero_507,skill_1_1,cast,0.2,foot
hero_507,skill_1_1,fly,0.2,head
hero_507,skill_1_1,hit,0.2,foot
hero_508,skill_1_1,cast,0.2,foot
hero_508,skill_1_1,fly,0.2,head
hero_508,skill_1_1,hit,0.2,foot
hero_509,skill_1_1,cast,0.2,foot
hero_509,skill_1_1,fly,0.2,head
hero_509,skill_1_1,hit,0.2,foot
hero_510,skill_1_1,cast,0.2,foot
hero_510,skill_1_1,fly,0.2,head
hero_510,skill_1_1,hit,0.2,foot
hero_511,skill_1_1,cast,0.2,foot
hero_511,skill_1_1,fly,0.2,head
hero_511,skill_1_1,hit,0.2,foot
hero_512,skill_1_1,cast,0.2,foot
hero_512,skill_1_1,fly,0.2,head
hero_512,skill_1_1,hit,0.2,foot
hero_513,skill_1_1,cast,0.2,foot
hero_513,skill_1_1,fly,0.2,head
hero_513,skill_1_1,hit,0.2,foot
hero_514,skill_1_1,cast,0.2,foot
hero_514,skill_1_1,fly,0.2,head
hero_514,skill_1_1,hit,0.2,foot
hero_515,skill_1_1,cast,0.2,foot
hero_515,skill_1_1,fly,0.2,head
hero_515,skill_1_1,hit,0.2,foot
hero_516,skill_1_1,cast,0.2,foot
hero_516,skill_1_1,fly,0.2,head
hero_516,skill_1_1,hit,0.2,foot
hero_517,skill_1_1,cast,0.2,foot
hero_517,skill_1_1,fly,0.2,head
