name,type,level,fieldlevel,unlock_condition,duration,lumber,marble,steel,durability,force,unlock_show
produce_food_A,produce_food,6,1,"townhall,6",2400,150000,105000,75000,960,0,
produce_food_B,produce_food,6,1,"townhall,6",2400,150000,105000,75000,960,0,
produce_food_C,produce_food,6,1,"townhall,6",2400,150000,105000,75000,960,0,
produce_marble_A,produce_marble,6,1,"townhall,6",2400,75000,150000,105000,960,0,
produce_marble_B,produce_marble,6,1,"townhall,6",2400,105000,75000,150000,960,0,
produce_marble_C,produce_marble,6,1,"townhall,6",2400,150000,105000,75000,960,0,
storage_lumber,storage_lumber,6,1,"armycamp_B,6",19200,75000,150000,105000,3840,0,
storage_steel,storage_steel,6,1,"armycamp_A,6",19200,105000,75000,150000,3840,0,
storage_food,storage_food,6,1,"tribute_gold_A,6",19200,150000,105000,75000,3840,0,
storage_marble,storage_marble,6,1,"armycamp_C,6",19200,75000,150000,105000,3840,0,
tribute_gold_A,tribute_gold,6,1,"hero_attack_up_building,6",19200,131300,93800,187500,1200,0,
tribute_gold_B,tribute_gold,6,1,"hero_attack_up_building,6",19200,187500,131300,93800,1200,0,
townhall,townhall,7,1,"storage_lumber,6",96000,2900000,2030000,1450000,19200,0,
durability_up_building,durability_up,1,1,"hero_attack_up_building,7",750,145000,101500,72500,240,0,"townhall,6"
durability_up_building,durability_up,2,1,"hero_attack_up_building,7",2250,217500,152300,108800,480,0,
durability_up_building,durability_up,3,1,"hero_attack_up_building,7",4500,130500,261000,182700,720,0,
durability_up_building,durability_up,4,1,"hero_attack_up_building,7",9000,203000,145000,290000,1080,0,
durability_up_building,durability_up,5,1,"hero_attack_up_building,7",18000,870000,609000,435000,1440,0,
durability_up_building,durability_up,6,1,"hero_attack_up_building,7",36000,725000,1450000,1015000,1920,0,
durability_up_building,durability_up,7,1,"hero_attack_up_building,7",72000,1015000,725000,1450000,2400,0,
tribute_gold_C,tribute_gold,1,1,"townhall,7",1800,290000,203000,145000,150,0,"townhall,6"
tribute_gold_C,tribute_gold,2,1,"siege_up_building,7",3600,348000,243600,174000,300,0,
tribute_gold_C,tribute_gold,3,1,"siege_up_building,7",7200,232000,464000,324800,450,0,
tribute_gold_C,tribute_gold,4,1,"siege_up_building,7",8400,406000,290000,580000,675,0,
tribute_gold_C,tribute_gold,5,1,"siege_up_building,7",9600,638000,446600,319000,900,0,
tribute_gold_C,tribute_gold,6,1,"siege_up_building,7",19200,348000,696000,487200,1200,0,
tribute_gold_C,tribute_gold,7,1,"siege_up_building,7",28800,507500,362500,725000,1500,0,
armycamp_A,armycamp,7,1,"townhall,7",43200,1740000,1218000,870000,4800,0,
armycamp_B,armycamp,7,1,"townhall,7",43200,870000,1740000,1218000,4800,0,
armycamp_C,armycamp,7,1,"townhall,7",43200,1522500,1087500,2175000,4800,0,
armycamp_D,armycamp,7,1,"townhall,7",43200,2175000,1522500,1087500,4800,0,
hero_attack_up_building,hero_attack_up,7,1,"armycamp_A,7",60750,1450000,1015000,725000,2400,0,
hero_defence_up_building,hero_defence_up,7,1,"armycamp_C,7",60750,1450000,1015000,725000,2400,0,
siege_up_building,siege_up,7,1,"march_speed_up_building,7",48600,2175000,1522500,1087500,2400,0,
march_speed_up_building,march_speed_up,7,1,"produce_food_C,7",48600,2175000,1522500,1087500,2400,0,
produce_lumber_A,produce_lumber,7,1,"townhall,7",9600,580000,406000,290000,1200,0,
produce_lumber_B,produce_lumber,7,1,"townhall,7",9600,290000,580000,406000,1200,0,
produce_lumber_C,produce_lumber,7,1,"townhall,7",9600,406000,290000,580000,1200,0,
produce_steel_A,produce_steel,7,1,"townhall,7",9600,580000,406000,290000,1200,0,
produce_steel_B,produce_steel,7,1,"townhall,7",9600,290000,580000,406000,1200,0,
produce_steel_C,produce_steel,7,1,"townhall,7",9600,406000,290000,580000,1200,0,
produce_food_A,produce_food,7,1,"townhall,7",9600,580000,406000,290000,1200,0,
produce_food_B,produce_food,7,1,"townhall,7",9600,580000,406000,290000,1200,0,
produce_food_C,produce_food,7,1,"townhall,7",9600,580000,406000,290000,1200,0,
produce_marble_A,produce_marble,7,1,"townhall,7",9600,580000,406000,290000,1200,0,
produce_marble_B,produce_marble,7,1,"townhall,7",9600,290000,580000,406000,1200,0,
produce_marble_C,produce_marble,7,1,"townhall,7",9600,406000,290000,580000,1200,0,
storage_lumber,storage_lumber,7,1,"armycamp_C,7",28800,725000,507500,362500,4800,0,
storage_steel,storage_steel,7,1,"armycamp_B,7",28800,362500,725000,507500,4800,0,
storage_food,storage_food,7,1,"tribute_gold_C,7",28800,507500,362500,725000,4800,0,
