name,path
hero_534_skill_1_1_hit,hero_508_skill_2_1_hit
hero_534_skill_1_1_last,hero_508_skill_2_1_last
hero_535_attack_1_1_cast,hero_526_attack_1_1_cast
hero_535_attack_1_1_hit,hero_526_attack_1_1_hit
hero_535_skill_1_1_cast,hero_526_skill_1_1_cast
hero_535_skill_1_1_end,hero_526_skill_1_1_end
hero_535_skill_1_1_hit,hero_526_skill_1_1_hit
hero_535_skill_1_1_last,hero_526_skill_1_1_last
hero_535_skill_1_2_last,hero_526_skill_1_2_last
hero_535_skill_2_1_cast,hero_526_skill_2_1_cast
hero_535_skill_2_1_end,hero_526_skill_2_1_end
hero_535_skill_2_1_hit,hero_526_skill_2_1_hit
hero_535_skill_2_1_last,hero_526_skill_2_1_last
hero_535_skill_3_1_cast,hero_526_skill_3_1_cast
hero_535_skill_3_1_end,hero_526_skill_3_1_end
hero_535_skill_3_1_hit,hero_526_skill_3_1_hit
hero_535_skill_3_1_last,hero_526_skill_4_3_last
hero_535_skill_4_1_cast,hero_526_skill_4_1_cast
hero_535_skill_4_1_end,hero_526_skill_4_1_end
hero_535_skill_4_1_hit,hero_526_skill_4_1_hit
hero_535_skill_4_1_last,hero_526_skill_4_6_last
hero_536_attack_1_1_cast,hero_002_attack_1_1_cast
hero_536_attack_1_1_hit,hero_004_attack_1_1_hit
hero_536_skill_1_1_cast,hero_508_skill_1_2_cast
hero_536_skill_1_1_end,hero_508_skill_2_1_end
hero_536_skill_1_1_hit,hero_508_skill_2_1_hit
hero_536_skill_1_1_last,hero_508_skill_2_1_last
hero_537_attack_1_1_cast,hero_002_attack_1_1_cast
hero_537_attack_1_1_hit,hero_004_attack_1_1_hit
hero_537_skill_1_1_cast,hero_508_skill_1_2_cast
hero_537_skill_1_1_end,hero_508_skill_2_1_end
hero_537_skill_1_1_hit,hero_508_skill_2_1_hit
hero_537_skill_1_1_last,hero_508_skill_2_1_last
hero_538_attack_1_1_cast,hero_526_attack_1_1_cast
hero_538_attack_1_1_hit,hero_526_attack_1_1_hit
hero_538_skill_1_1_cast,hero_526_skill_1_1_cast
hero_538_skill_1_1_end,hero_526_skill_1_1_end
hero_538_skill_1_1_hit,hero_526_skill_1_1_hit
hero_538_skill_1_1_last,hero_526_skill_1_1_last
hero_538_skill_1_2_last,hero_526_skill_1_2_last
hero_538_skill_2_1_cast,hero_526_skill_2_1_cast
hero_538_skill_2_1_end,hero_526_skill_2_1_end
hero_538_skill_2_1_hit,hero_526_skill_2_1_hit
hero_538_skill_2_1_last,hero_526_skill_2_1_last
hero_538_skill_3_1_cast,hero_526_skill_3_1_cast
hero_538_skill_3_1_end,hero_526_skill_3_1_end
hero_538_skill_3_1_hit,hero_526_skill_3_1_hit
hero_538_skill_3_1_last,hero_526_skill_4_3_last
hero_538_skill_4_1_cast,hero_526_skill_4_1_cast
hero_538_skill_4_1_end,hero_526_skill_4_1_end
