chapter,townhall_level,field_level,gem,gold,food,lumber,marble,steel,crystal,hero_fragments,locale_title,locale_desc
1,0,0,0,100,1000,2000,0,0,0,,chapter_1_title,chapter_1_desc
2,0,0,0,200,4000,8000,0,8000,0,,chapter_2_title,chapter_2_desc
3,0,0,0,300,15000,30000,30000,30000,0,,chapter_3_title,chapter_3_desc
4,0,0,0,800,25000,50000,50000,50000,0,,chapter_4_title,chapter_4_desc
5,0,0,0,1080,85000,170000,170000,170000,0,,chapter_5_title,chapter_5_desc
6,0,0,0,3600,250000,500000,500000,500000,0,,chapter_6_title,chapter_6_desc
7,0,0,0,8000,800000,1600000,1600000,1600000,0,,chapter_7_title,chapter_7_desc
8,0,8,0,18100,1300000,2600000,2600000,2600000,0,,chapter_8_title,chapter_8_desc
9,0,9,0,36000,3800000,7600000,7600000,7600000,0,,chapter_9_title,chapter_9_desc
10,0,10,0,63000,6550000,13100000,13100000,13100000,0,,chapter_10_title,chapter_10_desc
11,0,11,0,112350,12550000,25100000,25100000,25100000,0,,chapter_11_title,chapter_11_desc
12,0,12,0,288000,22600000,45200000,45200000,45200000,0,,chapter_12_title,chapter_12_desc
