id,chapter,type,name,level,amount,rarity,force,produce,times,gem,gold,food,lumber,marble,steel,crystal,hero_fragments,points_limit,locale_desc,unlock_id,switch_daily
151,9,specify_building_level,tribute_gold_D,9,,,,,,,1800,539700,1079400,1079400,1079400,,,1,chapter_task_151_desc,0,
152,9,building_level,townhall,10,,,,,,,1800,539700,1079400,1079400,1079400,,,1,chapter_task_152_desc,0,
153,10,specify_building_level,armycamp_A,10,,,,,,,3150,937500,1875000,1875000,1875000,,,1,chapter_task_153_desc,0,
154,10,hero_level,,46,,,,,,,3150,937500,1875000,1875000,1875000,,,1,chapter_task_154_desc,0,
155,10,specify_building_level,produce_lumber_B,10,,,,,,,3150,937500,1875000,1875000,1875000,,,1,chapter_task_155_desc,0,
156,10,specify_building_level,produce_steel_B,10,,,,,,,3150,937500,1875000,1875000,1875000,,,1,chapter_task_156_desc,0,
157,10,specify_building_level,produce_food_B,10,,,,,,,3150,937500,1875000,1875000,1875000,,,1,chapter_task_157_desc,0,
158,10,specify_building_level,produce_marble_B,10,,,,,,,3150,937500,1875000,1875000,1875000,,,1,chapter_task_158_desc,0,
159,10,specify_building_level,march_speed_up_building,10,,,,,,,3150,937500,1875000,1875000,1875000,,,1,chapter_task_159_desc,0,
160,10,specify_building_level,siege_up_building,10,,,,,,,3150,937500,1875000,1875000,1875000,,,1,chapter_task_160_desc,0,
161,10,specify_building_level,scissors_dominant_up_building,10,,,,,,,3150,937500,1875000,1875000,1875000,,,1,chapter_task_161_desc,0,
162,10,specify_building_level,hero_attack_up_building,10,,,,,,,3150,937500,1875000,1875000,1875000,,,1,chapter_task_162_desc,0,
163,10,specify_building_level,hero_defence_up_building,10,,,,,,,3150,937500,1875000,1875000,1875000,,,1,chapter_task_163_desc,0,
164,10,specify_building_level,durability_up_building,10,,,,,,,0,937500,1875000,1875000,1875000,,,1,chapter_task_164_desc,0,
165,10,pvp_times,,,,,,,5,,3150,937500,1875000,1875000,1875000,,,1,chapter_task_165_desc,0,
166,10,building_level,storage_lumber,10,,,,,,,3150,937500,1875000,1875000,1875000,,,1,chapter_task_166_desc,0,
167,10,building_level,storage_food,10,,,,,,,3150,937500,1875000,1875000,1875000,,,1,chapter_task_167_desc,0,
168,10,building_level,storage_steel,10,,,,,,,3150,937500,1875000,1875000,1875000,,,1,chapter_task_168_desc,0,
169,10,building_level,storage_marble,10,,,,,,,3150,937500,1875000,1875000,1875000,,,1,chapter_task_169_desc,0,
170,10,stronghold_amount,stronghold,,11,,,,,,3150,937500,1875000,1875000,1875000,,,1,chapter_task_170_desc,0,
171,10,attack_npccity,,,,,,,10,,3150,937500,1875000,1875000,1875000,,,1,chapter_task_171_desc,0,
172,10,specify_building_level,tribute_gold_B,10,,,,,,,3150,937500,1875000,1875000,1875000,,,1,chapter_task_172_desc,0,
173,10,building_level,townhall,11,,,,,,,3150,937500,1875000,1875000,1875000,,,1,chapter_task_173_desc,0,
174,11,specify_building_level,armycamp_A,11,,,,,,,5618,1795650,3591300,3591300,3591300,,,1,chapter_task_174_desc,0,
175,11,hero_level,,51,,,,,,,5618,1795650,3591300,3591300,3591300,,,1,chapter_task_175_desc,0,
176,11,specify_building_level,produce_lumber_C,11,,,,,,,5618,1795650,3591300,3591300,3591300,,,1,chapter_task_176_desc,0,
177,11,specify_building_level,produce_steel_C,11,,,,,,,5618,1795650,3591300,3591300,3591300,,,1,chapter_task_177_desc,0,
178,11,specify_building_level,produce_food_C,11,,,,,,,5618,1795650,3591300,3591300,3591300,,,1,chapter_task_178_desc,0,
179,11,specify_building_level,produce_marble_C,11,,,,,,,5618,1795650,3591300,3591300,3591300,,,1,chapter_task_179_desc,0,
180,11,specify_building_level,march_speed_up_building,11,,,,,,,5618,1795650,3591300,3591300,3591300,,,1,chapter_task_180_desc,0,
181,11,specify_building_level,siege_up_building,11,,,,,,,5618,1795650,3591300,3591300,3591300,,,1,chapter_task_181_desc,0,
182,11,specify_building_level,hero_attack_up_building,11,,,,,,,5618,1795650,3591300,3591300,3591300,,,1,chapter_task_182_desc,0,
183,11,specify_building_level,hero_defence_up_building,11,,,,,,,5618,1795650,3591300,3591300,3591300,,,1,chapter_task_183_desc,0,
184,11,specify_building_level,durability_up_building,11,,,,,,,0,1795650,3591300,3591300,3591300,,,1,chapter_task_184_desc,0,
185,11,specify_building_level,rock_dominant_up_building,11,,,,,,,5618,1795650,3591300,3591300,3591300,,,1,chapter_task_185_desc,0,
186,11,pvp_times,,,,,,,5,,5618,1795650,3591300,3591300,3591300,,,1,chapter_task_186_desc,0,
187,11,building_level,storage_lumber,11,,,,,,,5618,1795650,3591300,3591300,3591300,,,1,chapter_task_187_desc,0,
188,11,building_level,storage_food,11,,,,,,,5618,1795650,3591300,3591300,3591300,,,1,chapter_task_188_desc,0,
189,11,building_level,storage_steel,11,,,,,,,5618,1795650,3591300,3591300,3591300,,,1,chapter_task_189_desc,0,
190,11,building_level,storage_marble,11,,,,,,,5618,1795650,3591300,3591300,3591300,,,1,chapter_task_190_desc,0,
191,11,stronghold_amount,stronghold,,13,,,,,,5618,1795650,3591300,3591300,3591300,,,1,chapter_task_191_desc,0,
192,11,attack_npccity,,,,,,,10,,5618,1795650,3591300,3591300,3591300,,,1,chapter_task_192_desc,0,
193,11,specify_building_level,tribute_gold_B,11,,,,,,,5618,1795650,3591300,3591300,3591300,,,1,chapter_task_193_desc,0,
194,11,building_level,townhall,12,,,,,,,5618,1795650,3591300,3591300,3591300,,,1,chapter_task_194_desc,0,
195,12,specify_building_level,armycamp_A,12,,,,,,,15158,3392850,6785700,6785700,6785700,,,1,chapter_task_195_desc,0,
196,12,hero_level,,56,,,,,,,15158,3392850,6785700,6785700,6785700,,,1,chapter_task_196_desc,0,
197,12,specify_building_level,produce_lumber_A,12,,,,,,,15158,3392850,6785700,6785700,6785700,,,1,chapter_task_197_desc,0,
198,12,specify_building_level,produce_steel_A,12,,,,,,,15158,3392850,6785700,6785700,6785700,,,1,chapter_task_198_desc,0,
199,12,specify_building_level,produce_food_A,12,,,,,,,15158,3392850,6785700,6785700,6785700,,,1,chapter_task_199_desc,0,
