file,amount
terrain_resource_production,1
terrain_basic_type,1
resource_basic_type,1
army_type,1
hero_attribute,4
hero_levels,6
default_hero_skill_value,7
gacha_group,2
hero_attribute_basic,1
terrain_resource_troop,1
art_prefab,6
art_alliance_emblem,1
art_lottery,2
art_hero_avatar,15
art_animation_hero,4
art_tile_layer,13
art_audio,3
art_audio_import,2
campaign_hero_effect,26
hero_audio,4
skill_audio,10
art_skill,1
art_npc_city,1
building,13
enemy_heroes_level_show,1
terrain_resource_reward,1
hero_rarity,1
skill,7
skill_effect,8
mini_map_city,5
mini_map_pass,4
pass,1
stronghold_recruit,1
fd_field_reward,1
points_limit,1
npc_city,10
tribute,19
treasure_map_reward,1
army_camp,1
warehouse_attribute,1
resource_produce_building,3
dominant_up_building,1
siege_up_building,1
march_speed_up_building,1
tribute_gold_building,1
task,7
task_daily,8
task_daily_vitality,1
force_reward,1
occupy_points,1
capture_points,1
explorercamp_exp,1
alliance_level,2
fte_step,1
chapter,1
chapter_task,5
daily_reward_limit,1
demon_troop,1
shop_product,1
product_gem,1
product_gold,1
daily_gift,1
month_card,1
player_hero_avatar,1
hero_attack_up_building,1
hero_defence_up_building,1
durability_up_building,1
alliance_language,1
first_time_pay,1
battle_hero_position,55
battle_hero_attack,8
battle_hero_skill,11
battle_curve,1
battle_hero_animation,30
login_reward,1
