default_skill,{0},{1},{2},{3},{4},{5},{6},{7}
default_hero_538_skill_2,100,0,44,100,12,0,0,0
default_hero_538_skill_3,100,0,88,0,24,0,2,0
default_hero_538_skill_4,100,50,0,2,0,0,0,0
default_hero_539_skill_1,100,0,1,100,9.75,0,0,0
default_hero_540_skill_1,100,0,1,100,9.75,0,0,0
default_hero_541_skill_1,100,0,0,0,0,0,0,0
default_hero_541_skill_2,100,0,5,100,0.9,0,0,0
default_hero_541_skill_3,100,0,90,0,19.5,0,2,0
default_hero_541_skill_4,100,50,0,2,0,0,0,0
default_hero_542_skill_1,100,0,1,100,11.4,0,0,0
default_hero_543_skill_1,100,0,1,100,11.4,0,0,0
default_hero_544_skill_1,100,0,0,0,0,0,0,0
default_hero_544_skill_2,100,0,47,100,15,0,0,0
default_hero_544_skill_3,100,0,462,0,150,0,0,0
default_hero_544_skill_4,100,50,0,2,0,0,0,0
default_hero_545_skill_1,100,0,0,0,0,0,0,0
default_hero_546_skill_1,100,0,0,0,0,0,0,0
default_hero_547_skill_1,100,0,0,0,0,0,0,0
default_hero_547_skill_2,100,0,44,100,12,0,0,0
default_hero_547_skill_3,100,0,422,0,115.5,0,0,0
default_hero_547_skill_4,100,50,0,2,0,0,0,0
default_hero_548_skill_1,100,0,0,0,0,0,0,0
default_hero_549_skill_1,100,0,0,0,0,0,0,0
default_hero_550_skill_1,100,0,0,0,0,0,0,0
default_hero_550_skill_2,100,0,42,100,9,0,0,0
default_hero_550_skill_3,100,0,415,0,90,0,0,0
default_hero_550_skill_4,100,50,0,2,0,0,0,0
default_hero_551_skill_1,100,0,0,0,0,0,0,0
default_hero_552_skill_1,100,0,0,0,0,0,0,0
default_hero_553_skill_1,100,0,0,0,0,0,0,0
default_hero_553_skill_2,100,0,342,100,15,0,0,0
default_hero_553_skill_3,100,0,1094,0,48,0,0,0
default_hero_553_skill_4,100,70,4272,0,30,0,0,0
default_hero_553_skill_5,100,40,684,2,30,0,0,0
default_hero_554_skill_1,100,0,0,0,0,0,0,0
default_hero_555_skill_1,100,0,0,0,0,0,0,0
default_hero_556_skill_1,100,0,0,0,0,0,0,0
default_hero_556_skill_2,100,0,325,100,12,0,0,0
default_hero_556_skill_3,100,0,1015,0,37.5,0,0,0
default_hero_556_skill_4,100,70,3845,0,27,0,0,0
default_hero_556_skill_5,100,40,650,2,24,0,0,0
default_hero_557_skill_1,100,0,0,0,0,0,0,0
default_hero_558_skill_1,100,0,0,0,0,0,0,0
default_hero_559_skill_1,100,0,0,0,0,0,0,0
default_hero_559_skill_2,100,0,339,100,9.9,0,0,0
default_hero_559_skill_3,100,0,1128,0,33,0,0,0
default_hero_559_skill_4,100,70,3845,0,27,0,0,0
default_hero_559_skill_5,100,40,616,2,18,0,0,0
default_hero_560_skill_1,100,0,0,0,0,0,0,0
default_hero_561_skill_1,100,0,0,0,0,0,0,0
