level,force,gem,gold,lumber,marble,steel,food,chest,local_name,unlock_townhall_level
1,25,40,200,0,0,0,0,golden_chest_1,force_state_1,2
2,125,50,400,0,0,0,0,golden_chest_2,force_state_2,3
3,445,60,800,0,0,0,0,golden_chest_3,force_state_3,4
4,1375,70,1600,0,0,0,0,golden_chest_4,force_state_4,5
5,3575,80,3200,0,0,0,0,golden_chest_5,force_state_5,6
6,8985,90,7200,0,0,0,0,golden_chest_6,force_state_6,7
7,19325,100,10000,0,0,0,0,golden_chest_7,force_state_7,8
8,40415,110,24000,0,0,0,0,golden_chest_8,force_state_8,9
9,95495,120,42000,0,0,0,0,golden_chest_9,force_state_9,10
10,220455,130,80000,0,0,0,0,golden_chest_10,force_state_10,11
11,500195,140,100000,0,0,0,0,golden_chest_11,force_state_11,12
12,1159395,160,200000,0,0,0,0,golden_chest_12,force_state_12,0
13,1623153,200,300000,0,0,0,0,golden_chest_13,force_state_13,0
