hero_id,rarity,rarity_percent,attack,defense,speed,troop_amount,siege,marching_time,race,role,row,skills
hero_551,1,0,36,8,14,80000,97,30,demon,rock,1,hero_551_skill_1
hero_552,1,0,36,8,14,80000,97,30,demon,rock,1,hero_552_skill_1
hero_553,4,70.2,32,16,88,480000,12,10,demon,rock,1,"hero_553_skill_1,hero_553_skill_2,hero_553_skill_3,hero_553_skill_4,hero_553_skill_5"
hero_554,1,0,40,3,18,240000,92,30,demon,paper,1,hero_554_skill_1
hero_555,1,0,40,3,18,240000,92,30,demon,paper,1,hero_555_skill_1
hero_556,4,70.2,38,15,85,480000,5,10,demon,scissors,1,"hero_556_skill_1,hero_556_skill_2,hero_556_skill_3,hero_556_skill_4,hero_556_skill_5"
hero_557,1,0,35,9,2,240000,103,30,demon,scissors,1,hero_557_skill_1
hero_558,1,0,35,9,2,240000,103,30,demon,scissors,1,hero_558_skill_1
hero_559,4,70.2,48,1,90,480000,20,10,demon,paper,1,"hero_559_skill_1,hero_559_skill_2,hero_559_skill_3,hero_559_skill_4,hero_559_skill_5"
hero_560,1,0,36,8,14,240000,97,30,demon,rock,1,hero_560_skill_1
hero_561,1,0,36,8,14,240000,97,30,demon,rock,1,hero_561_skill_1
hero_562,4,70.2,32,16,88,480000,12,10,demon,rock,1,"hero_562_skill_1,hero_562_skill_2,hero_562_skill_3,hero_562_skill_4,hero_562_skill_5"
hero_563,1,0,40,3,18,240000,92,30,demon,paper,1,hero_563_skill_1
hero_564,1,0,40,3,18,240000,92,30,demon,paper,1,hero_564_skill_1
hero_565,4,70.2,38,15,85,480000,5,10,demon,scissors,1,"hero_565_skill_1,hero_565_skill_2,hero_565_skill_3,hero_565_skill_4,hero_565_skill_5"
hero_566,1,0,35,9,2,240000,103,30,demon,scissors,1,hero_566_skill_1
hero_567,1,0,35,9,2,240000,103,30,demon,scissors,1,hero_567_skill_1
hero_568,4,70.2,48,1,90,480000,20,10,demon,paper,1,"hero_568_skill_1,hero_568_skill_2,hero_568_skill_3,hero_568_skill_4,hero_568_skill_5"
hero_569,1,0,36,8,14,240000,97,30,demon,rock,1,hero_569_skill_1
hero_570,1,0,36,8,14,240000,97,30,demon,rock,1,hero_570_skill_1
hero_571,4,70.2,32,16,88,480000,12,10,demon,rock,1,"hero_571_skill_1,hero_571_skill_2,hero_571_skill_3,hero_571_skill_4,hero_571_skill_5"
hero_572,1,0,40,3,18,240000,92,30,demon,paper,1,hero_572_skill_1
hero_573,1,0,40,3,18,240000,92,30,demon,paper,1,hero_573_skill_1
hero_574,4,70.2,38,15,85,480000,5,10,demon,scissors,1,"hero_574_skill_1,hero_574_skill_2,hero_574_skill_3,hero_574_skill_4,hero_574_skill_5"
hero_575,1,0,35,9,2,240000,103,30,demon,scissors,1,hero_575_skill_1
hero_576,1,0,35,9,2,240000,103,30,demon,scissors,1,hero_576_skill_1
hero_577,4,70.2,48,1,90,480000,20,10,demon,paper,1,"hero_577_skill_1,hero_577_skill_2,hero_577_skill_3,hero_577_skill_4,hero_577_skill_5"
hero_578,1,0,36,8,14,240000,97,30,demon,rock,1,hero_578_skill_1
hero_579,1,0,36,8,14,240000,97,30,demon,rock,1,hero_579_skill_1
hero_580,4,70.2,32,16,88,960000,12,10,demon,rock,1,"hero_580_skill_1,hero_580_skill_2,hero_580_skill_3,hero_580_skill_4,hero_580_skill_5,hero_580_skill_6"
hero_581,1,0,40,3,18,480000,92,30,demon,paper,1,hero_581_skill_1
hero_582,1,0,40,3,18,480000,92,30,demon,paper,1,hero_582_skill_1
hero_583,4,70.2,38,15,85,960000,5,10,demon,scissors,1,"hero_583_skill_1,hero_583_skill_2,hero_583_skill_3,hero_583_skill_4,hero_583_skill_5,hero_583_skill_6"
hero_584,1,0,35,9,2,480000,103,30,demon,scissors,1,hero_584_skill_1
hero_585,1,0,35,9,2,480000,103,30,demon,scissors,1,hero_585_skill_1
hero_586,4,70.2,48,1,90,960000,20,10,demon,paper,1,"hero_586_skill_1,hero_586_skill_2,hero_586_skill_3,hero_586_skill_4,hero_586_skill_5,hero_586_skill_6"
hero_587,1,0,36,8,14,480000,97,30,demon,rock,1,hero_587_skill_1
hero_588,1,0,36,8,14,480000,97,30,demon,rock,1,hero_588_skill_1
hero_589,4,70.2,32,16,88,960000,12,10,demon,rock,1,"hero_589_skill_1,hero_589_skill_2,hero_589_skill_3,hero_589_skill_4,hero_589_skill_5,hero_589_skill_6"
hero_590,1,0,40,3,18,480000,92,30,demon,paper,1,hero_590_skill_1
hero_591,1,0,40,3,18,480000,92,30,demon,paper,1,hero_591_skill_1
hero_592,4,70.2,38,15,85,960000,5,10,demon,scissors,1,"hero_592_skill_1,hero_592_skill_2,hero_592_skill_3,hero_592_skill_4,hero_592_skill_5,hero_592_skill_6"
hero_593,1,0,35,9,2,480000,103,30,demon,scissors,1,hero_593_skill_1
hero_594,1,0,35,9,2,480000,103,30,demon,scissors,1,hero_594_skill_1
hero_595,4,70.2,48,1,90,960000,20,10,demon,paper,1,"hero_595_skill_1,hero_595_skill_2,hero_595_skill_3,hero_595_skill_4,hero_595_skill_5,hero_595_skill_6"
hero_596,1,0,36,8,14,480000,97,30,demon,rock,1,hero_596_skill_1
hero_597,1,0,36,8,14,480000,97,30,demon,rock,1,hero_597_skill_1
hero_598,4,70.2,32,16,88,960000,12,10,demon,rock,1,"hero_598_skill_1,hero_598_skill_2,hero_598_skill_3,hero_598_skill_4,hero_598_skill_5,hero_598_skill_6"
hero_599,1,0,40,3,18,480000,92,30,demon,paper,1,hero_599_skill_1
hero_600,1,0,40,3,18,480000,92,30,demon,paper,1,hero_600_skill_1
