hero_id,rarity,rarity_percent,attack,defense,speed,troop_amount,siege,marching_time,race,role,row,skills
hero_405,1,0,40,14,60,200,55,20,dragon,scissors,1,hero_405_skill_1
hero_008,1,0,36,8,14,200,97,30,raider,rock,1,hero_008_skill_1
hero_109,1,0,40,3,18,200,92,30,dwarf,paper,1,hero_109_skill_1
hero_211,1,0,50,1,1,200,44,30,elf,paper,1,hero_211_skill_1
hero_111,2,3.8,52,2,24,200,19,30,dwarf,paper,1,hero_111_skill_1
hero_110,1,0,49,4,83,200,80,10,dwarf,paper,1,hero_110_skill_1
hero_105,1,0,40,5,84,200,4,10,dwarf,paper,1,hero_105_skill_1
hero_011,2,3.8,32,22,15,200,26,30,raider,rock,1,hero_011_skill_1
hero_010,2,3.8,31,20,49,200,43,20,raider,rock,1,hero_010_skill_1
hero_202,1,0,53,12,11,200,2,30,elf,scissors,1,hero_202_skill_1
hero_104,2,3.8,36,23,41,200,108,20,dwarf,rock,1,hero_104_skill_1
hero_004,1,0,36,8,85,200,1,10,raider,scissors,1,hero_004_skill_1
hero_012,1,0,48,1,90,200,20,10,raider,paper,1,hero_012_skill_1
hero_005,2,3.8,32,10,95,200,22,10,raider,scissors,1,hero_005_skill_1
hero_208,1,0,38,15,85,200,5,10,elf,scissors,1,hero_208_skill_1
hero_307,2,3.8,45,0,8,200,102,30,demon,paper,1,hero_307_skill_1
hero_006,3,8.6,55,1,40,200,105,20,raider,paper,1,hero_006_skill_1
hero_003,1,0,35,9,2,200,103,30,raider,scissors,1,hero_003_skill_1
hero_302,2,3.8,33,9,91,200,24,10,demon,rock,1,hero_302_skill_1
hero_001,2,3.8,40,5,53,200,51,20,raider,paper,1,hero_001_skill_1
hero_209,1,0,53,1,65,200,54,20,elf,paper,1,hero_209_skill_1
hero_102,1,0,40,22,15,200,15,30,dwarf,rock,1,hero_102_skill_1
hero_401,2,3.8,32,13,27,200,96,30,dragon,rock,1,hero_401_skill_1
hero_301,1,0,60,0,4,200,11,30,demon,paper,1,hero_301_skill_1
hero_406,1,0,34,21,81,200,105,10,dragon,rock,1,hero_406_skill_1
hero_402,2,3.8,38,8,26,200,91,30,dragon,scissors,1,hero_402_skill_1
hero_304,3,8.6,40,7,97,200,6,10,demon,paper,1,hero_304_skill_1
