rarity,level,level_up_percent,fragments,level_gold
1,51,363,2000,18000
1,52,387,2000,20000
1,53,411,2000,24000
1,54,435,2000,30000
1,55,459,5000,40000
1,56,487,5000,50000
1,57,515,5000,60000
1,58,543,5000,70000
1,59,571,5000,80000
1,60,599,20000,100000
1,61,639,40000,200000
1,62,679,60000,300000
1,63,719,80000,400000
1,64,759,100000,500000
1,65,799,120000,600000
1,66,839,140000,700000
1,67,879,160000,800000
1,68,919,180000,900000
1,69,959,200000,1000000
1,70,999,220000,1100000
1,71,1039,240000,1200000
1,72,1079,260000,1300000
1,73,1119,280000,1400000
1,74,1159,300000,1500000
1,75,1199,0,0
2,1,0,1,80
2,2,0.8,2,100
2,3,1.6,2,120
2,4,2.4,2,140
2,5,3.2,4,160
2,6,4.8,4,180
2,7,6.4,4,200
2,8,8,4,220
2,9,9.6,4,240
2,10,11.2,10,300
2,11,14.4,10,350
2,12,17.6,10,400
2,13,20.8,10,450
2,14,24,10,500
2,15,27.2,20,600
2,16,33.6,20,800
2,17,40,20,1000
2,18,46.4,20,1200
2,19,52.8,20,1400
2,20,59.2,50,1600
2,21,66.4,50,1800
2,22,73.6,50,2000
2,23,80.8,50,2200
2,24,88,50,2400
2,25,95.2,100,2800
