id,type,x,y,level,state
"3,2,863,761",1,863,761,4,"3,0,3,0"
"0,0,901,244",0,901,244,6,"4,4,5,0"
"4,7,931,388",1,931,388,4,"0,4,0,4"
"4,7,947,364",1,947,364,4,"0,4,0,4"
"4,7,919,439",1,919,439,4,"4,0,4,0"
"4,7,924,413",1,924,413,4,"4,0,4,0"
"4,7,907,482",1,907,482,4,"4,0,4,0"
"4,7,914,461",1,914,461,4,"4,0,4,0"
"5,8,990,195",1,990,195,4,"5,0,5,0"
"0,0,965,201",0,965,201,6,"0,4,4,5"
"4,6,970,241",1,970,241,4,"4,0,4,0"
"4,6,983,215",1,983,215,4,"4,0,4,0"
"4,6,953,264",1,953,264,4,"4,0,4,0"
"4,6,958,287",1,958,287,4,"4,0,4,0"
"4,7,951,338",1,951,338,4,"4,0,4,0"
"4,7,961,311",1,961,311,4,"4,0,4,0"
"0,0,969,701",0,969,701,6,"0,3,3,4"
