name,level,food,lumber,marble,steel
produce_food_B,3,1080,0,0,0
produce_food_B,4,1440,0,0,0
produce_food_B,5,1800,0,0,0
produce_food_B,6,2160,0,0,0
produce_food_B,7,2700,0,0,0
produce_food_B,8,3150,0,0,0
produce_food_B,9,6300,0,0,0
produce_food_B,10,7020,0,0,0
produce_food_B,11,7740,0,0,0
produce_food_B,12,9000,0,0,0
produce_lumber_B,1,0,360,0,0
produce_lumber_B,2,0,720,0,0
produce_lumber_B,3,0,1080,0,0
produce_lumber_B,4,0,1440,0,0
produce_lumber_B,5,0,1800,0,0
produce_lumber_B,6,0,2160,0,0
produce_lumber_B,7,0,2700,0,0
produce_lumber_B,8,0,3150,0,0
produce_lumber_B,9,0,6300,0,0
produce_lumber_B,10,0,7020,0,0
produce_lumber_B,11,0,7740,0,0
produce_lumber_B,12,0,9000,0,0
produce_marble_B,1,0,0,360,0
produce_marble_B,2,0,0,720,0
produce_marble_B,3,0,0,1080,0
produce_marble_B,4,0,0,1440,0
produce_marble_B,5,0,0,1800,0
produce_marble_B,6,0,0,2160,0
produce_marble_B,7,0,0,2700,0
produce_marble_B,8,0,0,3150,0
produce_marble_B,9,0,0,6300,0
produce_marble_B,10,0,0,7020,0
produce_marble_B,11,0,0,7740,0
produce_marble_B,12,0,0,9000,0
produce_steel_B,1,0,0,0,360
produce_steel_B,2,0,0,0,720
produce_steel_B,3,0,0,0,1080
produce_steel_B,4,0,0,0,1440
produce_steel_B,5,0,0,0,1800
produce_steel_B,6,0,0,0,2160
produce_steel_B,7,0,0,0,2700
produce_steel_B,8,0,0,0,3150
produce_steel_B,9,0,0,0,6300
produce_steel_B,10,0,0,0,7020
produce_steel_B,11,0,0,0,7740
produce_steel_B,12,0,0,0,9000
produce_food_C,1,360,0,0,0
produce_food_C,2,720,0,0,0
produce_food_C,3,1080,0,0,0
produce_food_C,4,1440,0,0,0
