name,trigger,percent,hp_percent,trigger_interval,max_trigger_times,effect,description,cast_effect
hero_538_skill_2,default,1,0,2,20,hero_538_skill_2_1,skilldes_hero_538_skill_2,
hero_538_skill_3,default,1,0,3,20,"hero_538_skill_3_1,hero_538_skill_3_2",skilldes_hero_538_skill_3,
hero_538_skill_4,hp,1,0.5,3,20,hero_538_skill_4_1,skilldes_hero_538_skill_4,
hero_539_skill_1,default,1,0,0,20,hero_539_skill_1_1,skilldes_hero_539_skill_1,
hero_540_skill_1,default,1,0,0,20,hero_540_skill_1_1,skilldes_hero_540_skill_1,
hero_541_skill_1,halo,1,0,0,20,"hero_541_skill_1_1,hero_541_skill_1_2",skilldes_hero_541_skill_1,
hero_541_skill_2,default,1,0,2,20,hero_541_skill_2_1,skilldes_hero_541_skill_2,
hero_541_skill_3,default,1,0,3,20,"hero_541_skill_3_1,hero_541_skill_3_2",skilldes_hero_541_skill_3,
hero_541_skill_4,hp,1,0.5,3,20,hero_541_skill_4_1,skilldes_hero_541_skill_4,
hero_542_skill_1,default,1,0,0,20,hero_542_skill_1_1,skilldes_hero_542_skill_1,
hero_543_skill_1,default,1,0,0,20,hero_543_skill_1_1,skilldes_hero_543_skill_1,
hero_544_skill_1,halo,1,0,0,20,"hero_544_skill_1_1,hero_544_skill_1_2",skilldes_hero_544_skill_1,
hero_544_skill_2,default,1,0,2,20,hero_544_skill_2_1,skilldes_hero_544_skill_2,
hero_544_skill_3,default,1,0,2,20,hero_544_skill_3_1,skilldes_hero_544_skill_3,
hero_544_skill_4,hp,1,0.5,3,20,hero_544_skill_4_1,skilldes_hero_544_skill_4,
hero_545_skill_1,halo,1,0,0,20,hero_545_skill_1_1,skilldes_hero_545_skill_1,
hero_546_skill_1,halo,1,0,0,20,hero_546_skill_1_1,skilldes_hero_546_skill_1,
hero_547_skill_1,halo,1,0,0,20,"hero_547_skill_1_1,hero_547_skill_1_2",skilldes_hero_547_skill_1,
hero_547_skill_2,default,1,0,2,20,hero_547_skill_2_1,skilldes_hero_547_skill_2,
hero_547_skill_3,default,1,0,2,20,hero_547_skill_3_1,skilldes_hero_547_skill_3,
hero_547_skill_4,hp,1,0.5,3,20,hero_547_skill_4_1,skilldes_hero_547_skill_4,
hero_548_skill_1,halo,1,0,0,20,hero_548_skill_1_1,skilldes_hero_548_skill_1,
hero_549_skill_1,halo,1,0,0,20,hero_549_skill_1_1,skilldes_hero_549_skill_1,
hero_550_skill_1,halo,1,0,0,20,"hero_550_skill_1_1,hero_550_skill_1_2",skilldes_hero_550_skill_1,
hero_550_skill_2,default,1,0,2,20,hero_550_skill_2_1,skilldes_hero_550_skill_2,
hero_550_skill_3,default,1,0,2,20,hero_550_skill_3_1,skilldes_hero_550_skill_3,
hero_550_skill_4,hp,1,0.5,3,20,hero_550_skill_4_1,skilldes_hero_550_skill_4,
hero_551_skill_1,halo,1,0,0,20,hero_551_skill_1_1,skilldes_hero_551_skill_1,
hero_552_skill_1,halo,1,0,0,20,hero_552_skill_1_1,skilldes_hero_552_skill_1,
hero_553_skill_1,halo,1,0,0,20,"hero_553_skill_1_1,hero_553_skill_1_2",skilldes_hero_553_skill_1,
hero_553_skill_2,default,1,0,2,20,hero_553_skill_2_1,skilldes_hero_553_skill_2,
hero_553_skill_3,default,1,0,2,20,hero_553_skill_3_1,skilldes_hero_553_skill_3,
hero_553_skill_4,hp,1,0.7,3,20,hero_553_skill_4_1,skilldes_hero_553_skill_4,
hero_553_skill_5,hp,1,0.4,3,20,hero_553_skill_5_1,skilldes_hero_553_skill_5,
hero_554_skill_1,halo,1,0,0,20,hero_554_skill_1_1,skilldes_hero_554_skill_1,
hero_555_skill_1,halo,1,0,0,20,hero_555_skill_1_1,skilldes_hero_555_skill_1,
hero_556_skill_1,halo,1,0,0,20,"hero_556_skill_1_1,hero_556_skill_1_2",skilldes_hero_556_skill_1,
hero_556_skill_2,default,1,0,2,20,hero_556_skill_2_1,skilldes_hero_556_skill_2,
hero_556_skill_3,default,1,0,2,20,hero_556_skill_3_1,skilldes_hero_556_skill_3,
hero_556_skill_4,hp,1,0.7,3,20,hero_556_skill_4_1,skilldes_hero_556_skill_4,
hero_556_skill_5,hp,1,0.4,3,20,hero_556_skill_5_1,skilldes_hero_556_skill_5,
hero_557_skill_1,halo,1,0,0,20,hero_557_skill_1_1,skilldes_hero_557_skill_1,
hero_558_skill_1,halo,1,0,0,20,hero_558_skill_1_1,skilldes_hero_558_skill_1,
hero_559_skill_1,halo,1,0,0,20,"hero_559_skill_1_1,hero_559_skill_1_2",skilldes_hero_559_skill_1,
hero_559_skill_2,default,1,0,2,20,hero_559_skill_2_1,skilldes_hero_559_skill_2,
hero_559_skill_3,default,1,0,2,20,hero_559_skill_3_1,skilldes_hero_559_skill_3,
hero_559_skill_4,hp,1,0.7,3,20,hero_559_skill_4_1,skilldes_hero_559_skill_4,
hero_559_skill_5,hp,1,0.4,3,20,hero_559_skill_5_1,skilldes_hero_559_skill_5,
hero_560_skill_1,halo,1,0,0,20,hero_560_skill_1_1,skilldes_hero_560_skill_1,
hero_561_skill_1,halo,1,0,0,20,hero_561_skill_1_1,skilldes_hero_561_skill_1,
