skill_id,audio_skill_cast,audio_skill_hit,audio_skill_move
hero_501_attack_1,hero_401_attack_cast,hero_401_attack_hit,hero_common2_move
hero_502_attack_1,hero_401_attack_cast,hero_401_attack_hit,hero_common2_move
hero_503_attack_1,hero_401_attack_cast,hero_401_attack_hit,hero_common2_move
hero_504_attack_1,hero_401_attack_cast,hero_401_attack_hit,hero_common2_move
hero_505_attack_1,hero_401_attack_cast,hero_401_attack_hit,hero_common2_move
hero_506_attack_1,hero_401_attack_cast,hero_401_attack_hit,hero_common2_move
hero_507_attack_1,hero_401_attack_cast,hero_401_attack_hit,hero_common2_move
hero_508_attack_1,hero_301_attack_cast,hero_301_attack_hit2,hero_common2_move
hero_509_attack_1,hero_301_attack_cast,hero_301_attack_hit2,hero_common2_move
hero_510_attack_1,hero_301_attack_cast,hero_301_attack_hit2,hero_common2_move
hero_511_attack_1,hero_301_attack_cast,hero_301_attack_hit2,hero_common2_move
hero_512_attack_1,hero_301_attack_cast,hero_301_attack_hit2,hero_common2_move
hero_513_attack_1,hero_301_attack_cast,hero_301_attack_hit2,hero_common2_move
hero_514_attack_1,hero_301_attack_cast,hero_301_attack_hit2,hero_common2_move
hero_515_attack_1,hero_301_attack_cast,hero_301_attack_hit2,hero_common2_move
hero_516_attack_1,hero_301_attack_cast,hero_301_attack_hit2,hero_common2_move
hero_517_attack_1,hero_301_attack_cast,hero_301_attack_hit2,hero_common2_move
hero_518_attack_1,hero_301_attack_cast,hero_301_attack_hit2,hero_common2_move
hero_519_attack_1,hero_301_attack_cast,hero_301_attack_hit2,hero_common2_move
hero_520_attack_1,hero_301_attack_cast,hero_301_attack_hit2,hero_common2_move
hero_521_attack_1,hero_301_attack_cast,hero_301_attack_hit2,hero_common2_move
hero_522_attack_1,hero_301_attack_cast,hero_301_attack_hit2,hero_common2_move
hero_523_attack_1,hero_301_attack_cast,hero_301_attack_hit2,hero_common2_move
hero_524_attack_1,hero_301_attack_cast,hero_301_attack_hit2,hero_common2_move
hero_525_attack_1,hero_301_attack_cast,hero_301_attack_hit2,hero_common2_move
hero_526_attack_1,hero_306_attack_cast,hero_306_attack_hit,hero_common2_move
hero_527_attack_1,hero_301_attack_cast,hero_301_attack_hit2,hero_common2_move
hero_528_attack_1,hero_301_attack_cast,hero_301_attack_hit2,hero_common2_move
hero_529_attack_1,hero_306_attack_cast,hero_306_attack_hit,hero_common2_move
hero_530_attack_1,hero_301_attack_cast,hero_301_attack_hit2,hero_common2_move
hero_531_attack_1,hero_301_attack_cast,hero_301_attack_hit2,hero_common2_move
hero_532_attack_1,hero_306_attack_cast,hero_306_attack_hit,hero_common2_move
hero_533_attack_1,hero_301_attack_cast,hero_301_attack_hit2,hero_common2_move
hero_534_attack_1,hero_301_attack_cast,hero_301_attack_hit2,hero_common2_move
hero_535_attack_1,hero_306_attack_cast,hero_306_attack_hit,hero_common2_move
hero_536_attack_1,hero_301_attack_cast,hero_301_attack_hit2,hero_common2_move
hero_537_attack_1,hero_301_attack_cast,hero_301_attack_hit2,hero_common2_move
hero_538_attack_1,hero_306_attack_cast,hero_306_attack_hit,hero_common2_move
hero_539_attack_1,hero_301_attack_cast,hero_301_attack_hit2,hero_common2_move
hero_540_attack_1,hero_301_attack_cast,hero_301_attack_hit2,hero_common2_move
hero_541_attack_1,hero_306_attack_cast,hero_306_attack_hit,hero_common2_move
hero_542_attack_1,hero_301_attack_cast,hero_301_attack_hit2,hero_common2_move
hero_543_attack_1,hero_301_attack_cast,hero_301_attack_hit2,hero_common2_move
hero_544_attack_1,hero_306_attack_cast,hero_306_attack_hit,hero_common2_move
hero_545_attack_1,hero_301_attack_cast,hero_301_attack_hit2,hero_common2_move
hero_546_attack_1,hero_301_attack_cast,hero_301_attack_hit2,hero_common2_move
hero_547_attack_1,hero_306_attack_cast,hero_306_attack_hit,hero_common2_move
hero_548_attack_1,hero_301_attack_cast,hero_301_attack_hit2,hero_common2_move
hero_549_attack_1,hero_301_attack_cast,hero_301_attack_hit2,hero_common2_move
hero_550_attack_1,hero_306_attack_cast,hero_306_attack_hit,hero_common2_move
