name,tiers,target,type,percent,damage,defence,health,shield,speed,round,can_be_dispel,drop_effect,hit_effect
hero_501_skill_1_1,1,selector_all,damage,4.8,,,,,,,,,
hero_502_skill_1_1,1,selector_hitme,damage,1.5,,,,,,,,,
hero_503_skill_1_1,1,selector_self,heal,1.05,,,,,,,,,
hero_504_skill_1_1,1,selector_self,heal,1.05,,,,,,,,,
hero_505_skill_1_1,1,selector_default,damage,3,,,,,,,,,
hero_506_skill_1_1,1,selector_default,damage,3,,,,,,,,,
hero_507_skill_1_1,1,selector_default,damage,3,,,,,,,,,
hero_508_skill_1_1,1,selector_hitme,reflect,3,,,,,,,,,
hero_509_skill_1_1,1,selector_self_row2_all,damup,0.375,,,,,,3,TRUE,,
hero_510_skill_1_1,1,selector_hitme,dot,0.6,,,,,,3,TRUE,,
hero_511_skill_1_1,1,selector_hitme,reflect,1.5,,,,,,,,,
hero_512_skill_1_1,1,selector_default,damage,1.2,,,,,,,,,
hero_513_skill_1_1,1,selector_self_all,shield,0.015,,,,,,3,TRUE,,
hero_514_skill_1_1,1,selector_col,dot,0.345,,,,,,3,TRUE,,
hero_515_skill_1_1,1,selector_self_col,hot,0.075,,,,,,3,TRUE,,
hero_516_skill_1_1,1,selector_self_col,healup,0.015,,,,,,,,,
hero_517_skill_1_1,1,selector_row1_all,damage,0.375,,,,,,,,,
hero_518_skill_1_1,1,selector_self,heal,0.195,,,,,,,,,
hero_519_skill_1_1,1,selector_self,heal,0.24,,,,,,,,,
hero_520_skill_1_1,1,selector_lowesthp,damage,1.8,,,,,,,,,
hero_521_skill_1_1,1,selector_default,focusfire,,,,,,,2,TRUE,,
hero_522_skill_1_1,1,selector_default,vampiric,1.2,,,,,,,,,
hero_523_skill_1_1,1,selector_hitme,damage,1.2,,,,,,,,,
hero_524_skill_1_1,1,selector_self,absorb,,,,,,,3,TRUE,,
hero_525_skill_1_1,1,selector_all,damage,0.12,,,,,,,,,
hero_526_skill_1_1,1,selector_self,silenceimmu,,,,,,,,FALSE,,
hero_526_skill_2_1,1,selector_self,damup,0.15,,,,,,100,TRUE,,
hero_526_skill_3_1,1,selector_all,damage,0.3,,,,,,,,,
hero_526_skill_4_1,1,selector_col,stun,,,,,,,2,TRUE,,
hero_527_skill_1_1,1,selector_self_row1_all,defup,0.3,,,,,,100,TRUE,,
hero_528_skill_1_1,1,selector_self_row1_all,defup,0.3,,,,,,100,TRUE,,
hero_529_skill_1_1,1,selector_self,silenceimmu,,,,,,,,FALSE,,
hero_529_skill_2_1,1,selector_self,damup,0.12,,,,,,100,TRUE,,
hero_529_skill_3_1,1,selector_all,damage,0.24,,,,,,,,,
hero_529_skill_4_1,1,selector_col,stun,,,,,,,2,TRUE,,
hero_530_skill_1_1,1,selector_self_row1_all,defup,0.099,,,,,,100,TRUE,,
hero_531_skill_1_1,1,selector_self_row1_all,defup,0.099,,,,,,100,TRUE,,
hero_532_skill_1_1,1,selector_self,silenceimmu,,,,,,,,FALSE,,
hero_532_skill_2_1,1,selector_self,damup,0.009,,,,,,100,TRUE,,
hero_532_skill_3_1,1,selector_all,damage,0.195,,,,,,,,,
hero_532_skill_4_1,1,selector_col,stun,,,,,,,2,TRUE,,
hero_533_skill_1_1,1,selector_self_row1_all,defup,0.1125,,,,,,100,TRUE,,
hero_534_skill_1_1,1,selector_self_row1_all,defup,0.1125,,,,,,100,TRUE,,
hero_535_skill_1_1,1,selector_self,silenceimmu,,,,,,,,FALSE,,
hero_535_skill_2_1,1,selector_self,damup,0.135,,,,,,100,TRUE,,
hero_535_skill_3_1,1,selector_all,damage,0.3,,,,,,,,,
hero_535_skill_4_1,1,selector_random,confuse,,,,,,,2,TRUE,,
hero_536_skill_1_1,1,selector_self_row1_all,defup,0.3,,,,,,100,TRUE,,
hero_537_skill_1_1,1,selector_self_row1_all,defup,0.3,,,,,,100,TRUE,,
hero_538_skill_1_1,1,selector_self,silenceimmu,,,,,,,,FALSE,,
