id,type,townhall_level,name,level,amount,force,produce,times,vitality,locale_desc
301,resource_revoke,10,,,1,,,,5,task_daily_301_desc
302,resource_revoke,10,,,2,,,,10,task_daily_302_desc
303,resource_revoke,10,,,4,,,,15,task_daily_303_desc
304,attack_npccity,10,,,,,,1,5,task_daily_304_desc
305,attack_npccity,10,,,,,,2,10,task_daily_305_desc
306,attack_npccity,10,,,,,,3,15,task_daily_306_desc
307,attack_pass,10,,,,,,1,5,task_daily_307_desc
308,attack_pass,10,,,,,,2,10,task_daily_308_desc
309,attack_pass,10,,,,,,3,15,task_daily_309_desc
310,occupied_resource_times,11,,10,,,,1,5,task_daily_310_desc
311,occupied_resource_times,11,,10,,,,2,10,task_daily_311_desc
312,occupied_resource_times,11,,11,,,,1,10,task_daily_312_desc
313,occupied_resource_times,11,,11,,,,2,15,task_daily_313_desc
314,battle_win,11,,,,,,3,5,task_daily_314_desc
315,battle_win,11,,,,,,5,10,task_daily_315_desc
316,battle_win,11,,,,,,8,15,task_daily_316_desc
317,recruit,11,,,,,,18,5,task_daily_317_desc
318,recruit,11,,,,,,19,10,task_daily_318_desc
319,recruit_amount,11,,,1932000,,,,5,task_daily_319_desc
320,hero_levelup_times,11,,,,,,3,5,task_daily_320_desc
321,hero_levelup_times,11,,,,,,4,10,task_daily_321_desc
322,hero_levelup_times,11,,,,,,5,15,task_daily_322_desc
323,pvp_times,11,,,,,,1,5,task_daily_323_desc
324,pvp_times,11,,,,,,2,10,task_daily_324_desc
325,pvp_times,11,,,,,,3,15,task_daily_325_desc
326,building_levelup_times,11,,,,,,1,5,task_daily_326_desc
327,building_levelup_times,11,,,,,,2,10,task_daily_327_desc
328,building_levelup_times,11,,,,,,3,15,task_daily_328_desc
329,resource_produce,11,steel,,,,400,,5,task_daily_329_desc
330,resource_produce,11,steel,,,,800,,10,task_daily_330_desc
331,resource_produce,11,steel,,,,1200,,15,task_daily_331_desc
332,force,11,,,,460,,,5,task_daily_332_desc
333,force,11,,,,560,,,10,task_daily_333_desc
334,force,11,,,,650,,,15,task_daily_334_desc
335,get_tribute_times,11,,,,,,1,5,task_daily_335_desc
336,get_tribute_times,11,,,,,,2,10,task_daily_336_desc
337,get_tribute_times,11,,,,,,4,15,task_daily_337_desc
338,gold_totalamount,11,,,2500,,,,5,task_daily_338_desc
339,gold_totalamount,11,,,4900,,,,10,task_daily_339_desc
340,gold_totalamount,11,,,8200,,,,15,task_daily_340_desc
341,resource_revoke,11,,,1,,,,5,task_daily_341_desc
342,resource_revoke,11,,,2,,,,10,task_daily_342_desc
343,resource_revoke,11,,,4,,,,15,task_daily_343_desc
344,attack_npccity,11,,,,,,1,5,task_daily_344_desc
345,attack_npccity,11,,,,,,2,10,task_daily_345_desc
346,attack_npccity,11,,,,,,3,15,task_daily_346_desc
347,attack_pass,11,,,,,,1,5,task_daily_347_desc
348,attack_pass,11,,,,,,2,10,task_daily_348_desc
349,attack_pass,11,,,,,,3,15,task_daily_349_desc
350,occupied_resource_times,12,,11,,,,1,5,task_daily_350_desc
