type,category,flag
mountain,,1
river,,2
road,resource,3
plain,resource,4
food,resource,5
lumber,resource,6
marble,resource,7
steel,resource,8
crystal,resource,9
pass,pass,10
camp,camp,11
npc_city,npc_city,12
townhall,building,80
armycamp,building,81
produce_lumber,building,82
produce_steel,building,83
produce_food,building,84
produce_marble,building,85
storage_lumber,building,86
storage_steel,building,87
storage_food,building,88
storage_marble,building,89
tribute_gold,building,90
siege_up,building,91
march_speed_up,building,92
paper_dominant_up,building,93
scissors_dominant_up,building,94
rock_dominant_up,building,95
stronghold,building,96
hero_attack_up,building,97
hero_defence_up,building,98
durability_up,building,99
