name,force,interval,gem,gold,lumber,marble,steel,food,crystal
tribute_501,275585,3,0,39,225000,45000,45000,45000,0
tribute_502,275585,3,0,39,45000,225000,45000,45000,0
tribute_503,275585,3,0,39,45000,45000,225000,45000,0
tribute_504,275585,3,0,39,45000,45000,45000,90000,0
tribute_505,275585,3,0,39,225000,45000,45000,45000,0
tribute_506,275585,3,0,39,45000,225000,45000,45000,0
tribute_507,275585,3,0,39,45000,45000,225000,45000,0
tribute_508,275585,3,0,39,45000,45000,45000,90000,0
tribute_509,275585,3,0,39,225000,45000,45000,45000,0
tribute_510,275585,3,0,39,45000,225000,45000,45000,0
tribute_511,275585,3,0,39,45000,45000,225000,45000,0
tribute_512,275585,3,0,39,45000,45000,45000,90000,0
tribute_513,275585,3,0,39,225000,45000,45000,45000,0
tribute_514,275585,3,0,39,45000,225000,45000,45000,0
tribute_515,275585,3,0,39,45000,45000,225000,45000,0
tribute_516,275585,3,0,39,45000,45000,45000,90000,0
tribute_517,275585,3,0,39,225000,45000,45000,45000,0
tribute_518,275585,3,0,39,45000,225000,45000,45000,0
tribute_519,275585,3,0,39,45000,45000,225000,45000,0
tribute_520,275585,3,0,39,45000,45000,45000,90000,0
tribute_521,275585,3,0,39,225000,45000,45000,45000,0
tribute_522,275585,3,0,39,45000,225000,45000,45000,0
tribute_523,275585,3,0,39,45000,45000,225000,45000,0
tribute_524,275585,3,0,39,45000,45000,45000,90000,0
tribute_525,275585,3,0,39,225000,45000,45000,45000,0
tribute_526,275585,3,0,39,45000,225000,45000,45000,0
tribute_527,275585,3,0,39,45000,45000,225000,45000,0
tribute_528,275585,3,0,39,45000,45000,45000,90000,0
tribute_529,275585,3,0,39,225000,45000,45000,45000,0
tribute_530,275585,3,0,39,45000,225000,45000,45000,0
tribute_531,275585,3,0,39,45000,45000,225000,45000,0
tribute_532,275585,3,0,39,45000,45000,45000,90000,0
tribute_533,275585,3,0,39,225000,45000,45000,45000,0
tribute_534,275585,3,0,39,45000,225000,45000,45000,0
tribute_535,275585,3,0,39,45000,45000,225000,45000,0
tribute_536,275585,3,0,39,45000,45000,45000,90000,0
tribute_537,275585,3,0,39,225000,45000,45000,45000,0
tribute_538,275585,3,0,39,45000,225000,45000,45000,0
tribute_539,275585,3,0,39,45000,45000,225000,45000,0
tribute_540,275585,3,0,39,45000,45000,45000,90000,0
tribute_541,275585,3,0,39,225000,45000,45000,45000,0
tribute_542,275585,3,0,39,45000,225000,45000,45000,0
tribute_543,275585,3,0,39,45000,45000,225000,45000,0
tribute_544,275585,3,0,39,45000,45000,45000,90000,0
tribute_545,275585,3,0,39,225000,45000,45000,45000,0
tribute_546,275585,3,0,39,45000,225000,45000,45000,0
tribute_547,275585,3,0,39,45000,45000,225000,45000,0
tribute_548,275585,3,0,39,45000,45000,45000,90000,0
tribute_549,275585,3,0,39,225000,45000,45000,45000,0
tribute_550,275585,3,0,39,45000,225000,45000,45000,0
