level,rarity,type,gold,food,lumber,marble,steel,crystal,duration
1,1,paper,0,2.5,0.8,0.8,1.2,0,0.08
1,1,scissors,0,2.5,0.8,1.2,0.8,0,0.08
1,1,rock,0,2.5,1.2,0.8,0.8,0,0.08
2,1,paper,0,2.5,0.8,0.8,1.2,0,0.08
2,1,scissors,0,2.5,0.8,1.2,0.8,0,0.08
2,1,rock,0,2.5,1.2,0.8,0.8,0,0.08
3,1,paper,0,2.5,0.8,0.8,1.2,0,0.08
3,1,scissors,0,2.5,0.8,1.2,0.8,0,0.08
3,1,rock,0,2.5,1.2,0.8,0.8,0,0.08
4,1,paper,0,2.5,0.8,0.8,1.2,0,0.08
4,1,scissors,0,2.5,0.8,1.2,0.8,0,0.08
4,1,rock,0,2.5,1.2,0.8,0.8,0,0.08
5,1,paper,0,2.5,0.8,0.8,1.2,0,0.08
5,1,scissors,0,2.5,0.8,1.2,0.8,0,0.08
5,1,rock,0,2.5,1.2,0.8,0.8,0,0.08
6,1,paper,0,2.5,0.8,0.8,1.2,0,0.08
6,1,scissors,0,2.5,0.8,1.2,0.8,0,0.08
6,1,rock,0,2.5,1.2,0.8,0.8,0,0.08
7,1,paper,0,2.5,0.8,0.8,1.2,0,0.08
7,1,scissors,0,2.5,0.8,1.2,0.8,0,0.08
7,1,rock,0,2.5,1.2,0.8,0.8,0,0.08
8,1,paper,0,2.5,0.8,0.8,1.2,0,0.08
8,1,scissors,0,2.5,0.8,1.2,0.8,0,0.08
8,1,rock,0,2.5,1.2,0.8,0.8,0,0.08
9,1,paper,0,2.5,0.8,0.8,1.2,0,0.08
9,1,scissors,0,2.5,0.8,1.2,0.8,0,0.08
9,1,rock,0,2.5,1.2,0.8,0.8,0,0.08
10,1,paper,0,2.5,0.8,0.8,1.2,0,0.08
10,1,scissors,0,2.5,0.8,1.2,0.8,0,0.08
10,1,rock,0,2.5,1.2,0.8,0.8,0,0.08
11,1,paper,0,2.25,0.72,0.72,1.08,0,0.08
11,1,scissors,0,2.25,0.72,1.08,0.72,0,0.08
11,1,rock,0,2.25,1.08,0.72,0.72,0,0.08
12,1,paper,0,2.25,0.72,0.72,1.08,0,0.08
12,1,scissors,0,2.25,0.72,1.08,0.72,0,0.08
12,1,rock,0,2.25,1.08,0.72,0.72,0,0.08
13,1,paper,0,2.25,0.72,0.72,1.08,0,0.08
13,1,scissors,0,2.25,0.72,1.08,0.72,0,0.08
13,1,rock,0,2.25,1.08,0.72,0.72,0,0.08
14,1,paper,0,2.25,0.72,0.72,1.08,0,0.08
14,1,scissors,0,2.25,0.72,1.08,0.72,0,0.08
14,1,rock,0,2.25,1.08,0.72,0.72,0,0.08
15,1,paper,0,2.25,0.72,0.72,1.08,0,0.08
15,1,scissors,0,2.25,0.72,1.08,0.72,0,0.08
15,1,rock,0,2.25,1.08,0.72,0.72,0,0.08
16,1,paper,0,2,0.64,0.64,0.96,0,0.08
16,1,scissors,0,2,0.64,0.96,0.64,0,0.08
16,1,rock,0,2,0.96,0.64,0.64,0,0.08
17,1,paper,0,2,0.64,0.64,0.96,0,0.08
17,1,scissors,0,2,0.64,0.96,0.64,0,0.08
17,1,rock,0,2,0.96,0.64,0.64,0,0.08
18,1,paper,0,2,0.64,0.64,0.96,0,0.08
18,1,scissors,0,2,0.64,0.96,0.64,0,0.08
18,1,rock,0,2,0.96,0.64,0.64,0,0.08
19,1,paper,0,2,0.64,0.64,0.96,0,0.08
19,1,scissors,0,2,0.64,0.96,0.64,0,0.08
19,1,rock,0,2,0.96,0.64,0.64,0,0.08
20,1,paper,0,2,0.64,0.64,0.96,0,0.08
20,1,scissors,0,2,0.64,0.96,0.64,0,0.08
20,1,rock,0,2,0.96,0.64,0.64,0,0.08
21,1,paper,0,1.5,0.48,0.48,0.72,0,0.08
21,1,scissors,0,1.5,0.48,0.72,0.48,0,0.08
21,1,rock,0,1.5,0.72,0.48,0.48,0,0.08
22,1,paper,0,1.5,0.48,0.48,0.72,0,0.08
22,1,scissors,0,1.5,0.48,0.72,0.48,0,0.08
22,1,rock,0,1.5,0.72,0.48,0.48,0,0.08
23,1,paper,0,1.5,0.48,0.48,0.72,0,0.08
