"name	",path,type
hero_405,hero_405,0
hero_008,hero_008,0
hero_109,hero_109,0
hero_106,hero_106,0
hero_108,hero_108,0
hero_107,hero_107,0
hero_211,hero_211,0
hero_111,hero_111,0
hero_110,hero_110,0
hero_105,hero_105,0
hero_201,hero_201,0
hero_101,hero_101,0
hero_009,hero_009,0
hero_011,hero_011,0
hero_010,hero_010,0
hero_204,hero_204,0
hero_202,hero_202,0
hero_203,hero_203,0
hero_104,hero_104,0
hero_007,hero_007,0
hero_004,hero_004,0
hero_012,hero_012,0
hero_207,hero_207,0
hero_005,hero_005,0
hero_210,hero_210,0
hero_208,hero_208,0
hero_206,hero_206,0
hero_307,hero_307,0
hero_306,hero_306,0
hero_006,hero_006,0
hero_003,hero_003,0
hero_303,hero_303,0
hero_302,hero_302,0
hero_205,hero_205,0
hero_001,hero_001,0
hero_305,hero_305,0
hero_209,hero_209,0
hero_212,hero_212,0
hero_102,hero_102,0
hero_401,hero_401,0
hero_403,hero_403,0
hero_002,hero_002,0
hero_301,hero_301,0
hero_406,hero_406,0
hero_402,hero_402,0
hero_304,hero_304,0
hero_103,hero_103,0
hero_112,hero_112,0
hero_404,hero_404,0
hero_407,hero_407,0
hero_501,hero_401,1
hero_502,hero_301,1
hero_503,hero_301,1
hero_504,hero_301,1
hero_505,hero_301,1
hero_506,hero_301,1
hero_507,hero_301,1
hero_508,hero_301,1
hero_509,hero_301,1
hero_510,hero_301,1
hero_511,hero_301,1
hero_512,hero_301,1
hero_513,hero_301,1
hero_514,hero_301,1
hero_515,hero_301,1
hero_516,hero_301,1
hero_517,hero_301,1
hero_518,hero_301,1
hero_519,hero_301,1
hero_520,hero_301,1
hero_521,hero_301,1
hero_522,hero_301,1
hero_523,hero_301,1
hero_524,hero_301,1
hero_525,hero_301,1
hero_526,hero_306,1
hero_527,hero_301,1
hero_528,hero_301,1
hero_529,hero_306,1
hero_530,hero_301,1
hero_531,hero_301,1
hero_532,hero_306,1
hero_533,hero_301,1
hero_534,hero_301,1
hero_535,hero_306,1
hero_536,hero_301,1
hero_537,hero_301,1
hero_538,hero_306,1
hero_539,hero_301,1
hero_540,hero_301,1
hero_541,hero_306,1
hero_542,hero_301,1
hero_543,hero_301,1
hero_544,hero_306,1
hero_545,hero_301,1
hero_546,hero_301,1
hero_547,hero_306,1
hero_548,hero_301,1
hero_549,hero_301,1
hero_550,hero_306,1
hero_551,hero_301,1
hero_552,hero_301,1
hero_553,hero_306,1
hero_554,hero_301,1
hero_555,hero_301,1
hero_556,hero_306,1
hero_557,hero_301,1
hero_558,hero_301,1
hero_559,hero_306,1
hero_560,hero_301,1
hero_561,hero_301,1
hero_562,hero_306,1
hero_563,hero_301,1
hero_564,hero_301,1
hero_565,hero_306,1
hero_566,hero_301,1
hero_567,hero_301,1
hero_568,hero_306,1
hero_569,hero_301,1
hero_570,hero_301,1
hero_571,hero_306,1
hero_572,hero_301,1
hero_573,hero_301,1
hero_574,hero_306,1
hero_575,hero_301,1
hero_576,hero_301,1
hero_577,hero_306,1
hero_578,hero_301,1
hero_579,hero_301,1
hero_580,hero_306,1
hero_581,hero_301,1
hero_582,hero_301,1
hero_583,hero_306,1
hero_584,hero_301,1
hero_585,hero_301,1
hero_586,hero_306,1
hero_587,hero_301,1
hero_588,hero_301,1
hero_589,hero_306,1
hero_590,hero_301,1
hero_591,hero_301,1
hero_592,hero_306,1
hero_593,hero_301,1
hero_594,hero_301,1
hero_595,hero_306,1
hero_596,hero_301,1
hero_597,hero_301,1
hero_598,hero_306,1
hero_599,hero_301,1
hero_600,hero_301,1
hero_601,hero_306,1
hero_602,hero_301,1
hero_603,hero_301,1
hero_604,hero_306,1
hero_605,hero_301,1
hero_606,hero_301,1
hero_607,hero_306,1
hero_608,hero_301,1
hero_609,hero_301,1
hero_610,hero_306,1
hero_611,hero_301,1
hero_612,hero_301,1
hero_613,hero_306,1
hero_614,hero_301,1
hero_615,hero_301,1
hero_616,hero_407,1
hero_617,hero_407,1
hero_618,hero_407,1
hero_619,hero_407,1
hero_620,hero_407,1
hero_621,hero_407,1
hero_622,hero_407,1
hero_623,hero_407,1
hero_624,hero_407,1
hero_625,hero_407,1
hero_626,hero_407,1
hero_627,hero_407,1
hero_628,hero_407,1
hero_629,hero_407,1
hero_630,hero_407,1
hero_631,hero_407,1
hero_632,hero_407,1
hero_633,hero_407,1
