hero,point,root,x,y,z
hero_405,skill_last.head,,0,1.9,-0.2
hero_405,skill_last.body,,0,0.7,-0.2
hero_405,skill_last.foot,,0,0,-0.2
hero_405,skill_hit.head,,0,1.9,0
hero_405,skill_hit.body,,0,0.7,0
hero_405,skill_hit.foot,,0,0,0
hero_405,health,,0,0,0
hero_405,friend,,0,0,0
hero_405,enemy,,0,0,0
hero_405,cast,Hmale02,0,0,0
hero_405,fly,,0,0,0
hero_405,idle,,0,0,0
hero_405,lose,,0,0,0
hero_405,win,,0,0,0
hero_405,move,,0,0,0
hero_003,skill_last.head,,0,1.9,-0.2
hero_003,skill_last.body,,0,0.7,-0.2
hero_003,skill_last.foot,,0,0,-0.2
hero_003,skill_hit.head,,0,1.9,0
hero_003,skill_hit.body,,0,0.7,0
hero_003,skill_hit.foot,,0,0,0
hero_003,health,,0,0,0
hero_003,friend,,0,0,0
hero_003,enemy,,0,0,0
hero_003,cast,Hmale02,0,0,0
hero_003,fly,,0,0,0
hero_003,idle,,0,0,0
hero_003,lose,,0,0,0
hero_003,win,,0,0,0
hero_003,move,,0,0,0
hero_009,skill_last.head,,0,1.9,-0.2
hero_009,skill_last.body,,0,0.7,-0.2
hero_009,skill_last.foot,,0,0,-0.2
hero_009,skill_hit.head,,0,1.9,0
hero_009,skill_hit.body,,0,0.7,0
hero_009,skill_hit.foot,,0,0,0
hero_009,health,,0,0,0
hero_009,friend,,0,0,0
hero_009,enemy,,0,0,0
hero_009,cast,Hmale02,0,0,0
hero_009,fly,,0,0,0
hero_009,idle,,0,0,0
hero_009,lose,,0,0,0
hero_009,win,,0,0,0
hero_009,move,,0,0,0
hero_004,skill_last.head,,0,1.9,-0.2
hero_004,skill_last.body,,0,0.7,-0.2
hero_004,skill_last.foot,,0,0,-0.2
hero_004,skill_hit.head,,0,1.9,0
hero_004,skill_hit.body,,0,0.7,0
hero_004,skill_hit.foot,,0,0,0
hero_004,health,,0,0,0
hero_004,friend,,0,0,0
hero_004,enemy,,0,0,0
hero_004,cast,Hmale02,0,0,0
hero_004,fly,,0,0,0
hero_004,idle,,0,0,0
hero_004,lose,,0,0,0
hero_004,win,,0,0,0
hero_004,move,,0,0,0
hero_008,skill_last.head,,0,1.9,-0.2
hero_008,skill_last.body,,0,0.7,-0.2
hero_008,skill_last.foot,,0,0,-0.2
hero_008,skill_hit.head,,0,1.9,0
hero_008,skill_hit.body,,0,0.7,0
hero_008,skill_hit.foot,,0,0,0
hero_008,health,,0,0,0
hero_008,friend,,0,0,0
hero_008,enemy,,0,0,0
hero_008,cast,Hmale02,0,0,0
hero_008,fly,,0,0,0
hero_008,idle,,0,0,0
hero_008,lose,,0,0,0
hero_008,win,,0,0,0
hero_008,move,,0,0,0
hero_206,skill_last.head,,0,1.9,-0.2
hero_206,skill_last.body,,0,0.7,-0.2
hero_206,skill_last.foot,,0,0,-0.2
hero_206,skill_hit.head,,0,1.9,0
