hero,index,step,end_delay,target
hero_002,skill_1_1,cast,0.2,foot
hero_002,skill_1_1,fly,0.2,head
hero_002,skill_1_1,hit,0.2,foot
hero_003,skill_1_1,cast,0.2,foot
hero_003,skill_1_1,fly,0.2,head
hero_003,skill_1_1,hit,0.2,foot
hero_009,skill_1_1,cast,0.2,foot
hero_009,skill_1_1,fly,0.2,head
hero_009,skill_1_1,hit,0.2,foot
hero_004,skill_1_1,cast,0.2,foot
hero_004,skill_1_1,fly,0.2,head
hero_004,skill_1_1,hit,0.2,foot
hero_008,skill_1_1,cast,0.2,foot
hero_008,skill_1_1,fly,0.2,head
hero_008,skill_1_1,hit,0.2,foot
hero_206,skill_1_1,cast,0.2,foot
hero_206,skill_1_1,fly,0.2,head
hero_206,skill_1_1,hit,0.2,foot
hero_211,skill_1_1,cast,0.2,foot
hero_211,skill_1_1,fly,0.2,head
hero_211,skill_1_1,hit,0.2,foot
hero_209,skill_1_1,cast,0.2,foot
hero_209,skill_1_1,fly,0.2,head
hero_209,skill_1_1,hit,0.2,foot
hero_201,skill_1_1,cast,0.2,foot
hero_201,skill_1_1,fly,0.2,head
hero_201,skill_1_1,hit,0.2,foot
hero_205,skill_1_1,cast,0.2,foot
hero_205,skill_1_1,fly,0.2,head
hero_205,skill_1_1,hit,0.2,foot
hero_212,skill_1_1,cast,0.2,foot
hero_212,skill_1_1,fly,0.2,head
hero_212,skill_1_1,hit,0.2,foot
hero_103,skill_1_1,cast,0.2,foot
hero_103,skill_1_1,fly,0.2,head
hero_103,skill_1_1,hit,0.2,foot
hero_106,skill_1_1,cast,0.2,foot
hero_106,skill_1_1,fly,0.2,head
hero_106,skill_1_1,hit,0.2,foot
hero_011,skill_1_1,cast,0.2,foot
hero_011,skill_1_1,fly,0.2,head
hero_011,skill_1_1,hit,0.2,foot
hero_101,skill_1_1,cast,0.2,foot
hero_101,skill_1_1,fly,0.2,head
hero_101,skill_1_1,hit,0.2,foot
hero_108,skill_1_1,cast,0.2,foot
hero_108,skill_1_1,fly,0.2,head
hero_108,skill_1_1,hit,0.2,foot
hero_105,skill_1_1,cast,0.2,foot
hero_105,skill_1_1,fly,0.2,head
hero_105,skill_1_1,hit,0.2,foot
hero_001,skill_1_1,cast,0.2,foot
hero_001,skill_1_1,fly,0.2,head
hero_001,skill_1_1,hit,0.2,foot
hero_111,skill_1_1,cast,0.2,foot
