key,model,color_type
hero_508,hero_306,1
hero_509,hero_306,1
hero_510,hero_306,1
hero_511,hero_306,1
hero_512,hero_306,1
hero_513,hero_306,1
hero_514,hero_306,2
hero_515,hero_306,2
hero_516,hero_306,2
hero_517,hero_306,2
hero_518,hero_306,2
hero_519,hero_306,2
hero_520,hero_306,3
hero_521,hero_306,3
hero_522,hero_306,3
hero_523,hero_306,3
hero_524,hero_306,3
hero_525,hero_306,3
hero_526,hero_306,1
hero_527,hero_301,1
hero_528,hero_301,1
hero_529,hero_306,2
hero_530,hero_301,2
hero_531,hero_301,2
hero_532,hero_306,3
hero_533,hero_301,3
hero_534,hero_301,3
hero_535,hero_306,1
hero_536,hero_301,1
hero_537,hero_301,1
hero_538,hero_306,2
hero_539,hero_301,2
hero_540,hero_301,2
hero_541,hero_306,3
hero_542,hero_301,3
hero_543,hero_301,3
hero_544,hero_306,1
hero_545,hero_301,1
hero_546,hero_301,1
hero_547,hero_306,2
hero_548,hero_301,2
hero_549,hero_301,2
hero_550,hero_306,3
hero_551,hero_301,3
hero_552,hero_301,3
hero_553,hero_306,1
hero_554,hero_301,1
hero_555,hero_301,1
hero_556,hero_306,2
hero_557,hero_301,2
hero_558,hero_301,2
hero_559,hero_306,3
hero_560,hero_301,3
hero_561,hero_301,3
hero_562,hero_306,1
hero_563,hero_301,1
hero_564,hero_301,1
hero_565,hero_306,2
hero_566,hero_301,2
hero_567,hero_301,2
hero_568,hero_306,3
hero_569,hero_301,3
hero_570,hero_301,3
hero_571,hero_306,1
hero_572,hero_301,1
hero_573,hero_301,1
hero_574,hero_306,2
hero_575,hero_301,2
hero_576,hero_301,2
hero_577,hero_306,3
hero_578,hero_301,3
hero_579,hero_301,3
hero_580,hero_306,1
hero_581,hero_301,1
hero_582,hero_301,1
hero_583,hero_306,2
hero_584,hero_301,2
hero_585,hero_301,2
hero_586,hero_306,3
hero_587,hero_301,3
hero_588,hero_301,3
hero_589,hero_306,1
hero_590,hero_301,1
hero_591,hero_301,1
hero_592,hero_306,2
hero_593,hero_301,2
hero_594,hero_301,2
hero_595,hero_306,3
hero_596,hero_301,3
hero_597,hero_301,3
hero_598,hero_306,1
hero_599,hero_301,1
hero_600,hero_301,1
hero_601,hero_306,2
hero_602,hero_301,2
hero_603,hero_301,2
hero_604,hero_306,3
hero_605,hero_301,3
hero_606,hero_301,3
hero_607,hero_306,1
hero_608,hero_301,1
hero_609,hero_301,1
hero_610,hero_306,2
hero_611,hero_301,2
hero_612,hero_301,2
hero_613,hero_306,3
hero_614,hero_301,3
hero_615,hero_301,3
hero_616,hero_407,1
hero_617,hero_407,1
hero_618,hero_407,1
hero_619,hero_407,1
hero_620,hero_407,1
hero_621,hero_407,1
hero_622,hero_407,2
hero_623,hero_407,2
hero_624,hero_407,2
hero_625,hero_407,2
hero_626,hero_407,2
hero_627,hero_407,2
hero_628,hero_407,3
hero_629,hero_407,3
hero_630,hero_407,3
hero_631,hero_407,3
hero_632,hero_407,3
hero_633,hero_407,3
