id,chapter,type,name,level,amount,rarity,force,produce,times,gem,gold,food,lumber,marble,steel,crystal,hero_fragments,points_limit,locale_desc,unlock_id,switch_daily
1,1,resource_level,,1,,,,,1,,200,0,0,0,0,,,3,chapter_task_1_desc,0,
2,1,hero_level,,2,,,,,1,,5,500,500,0,0,,,1,chapter_task_2_desc,1,
3,1,specify_building_level,produce_food_A,1,,,,,,,5,500,500,0,0,,,1,chapter_task_3_desc,2,
4,1,occupied_resource_times,,1,,,,,3,,5,50,100,0,0,,,1,chapter_task_4_desc,3,
5,1,specify_building_level,storage_food,1,,,,,,,5,50,100,0,0,,,1,chapter_task_5_desc,4,
6,1,specify_building_level,produce_lumber_A,1,,,,,,,5,50,100,0,0,,,1,chapter_task_6_desc,5,
7,1,specify_building_level,storage_lumber,1,,,,,,,5,50,100,0,0,,,1,chapter_task_7_desc,6,
8,1,troop_add_hero,armycamp_A,,,,,,1,,5,1250,2500,0,0,,,0,chapter_task_8_desc,7,
9,1,building_level,townhall,2,,,,,,,5,1250,2500,0,0,,,1,chapter_task_9_desc,8,
10,2,specify_building_level,armycamp_B,1,,,,,,,15,1250,2500,0,0,,,1,chapter_task_10_desc,9,
11,2,troop_add_hero,armycamp_B,,,,,,1,,15,1250,2500,0,0,,,0,chapter_task_11_desc,10,
12,2,occupied_resource_times,,1,,,,,4,,15,1250,2500,0,0,,,1,chapter_task_12_desc,11,
13,2,specify_building_level,storage_food,2,,,,,,,15,1250,2500,0,0,,,1,chapter_task_13_desc,11,
14,2,specify_building_level,storage_lumber,2,,,,,,,15,1250,2500,0,0,,,1,chapter_task_14_desc,11,
15,2,building_level,armycamp,2,,,,,,,15,1250,2500,0,0,,"hero_106,1",0,chapter_task_15_desc,11,
16,2,specify_building_level,produce_steel_A,1,,,,,,,15,1250,2500,0,6200,,,1,chapter_task_16_desc,11,
17,2,resource_level,,2,,,,,1,,15,1250,2500,0,6200,,,1,chapter_task_17_desc,11,
18,2,recruit,,,,,,,2,,15,1250,2500,0,6200,,,0,chapter_task_18_desc,11,
19,2,building_level,townhall,3,,,,,,,15,1250,2500,0,6200,,"hero_405,10",0,chapter_task_19_desc,11,
20,3,specify_building_level,armycamp_A,3,,,,,,,20,2700,5100,0,4800,,"hero_107,1",0,chapter_task_20_desc,0,
21,3,troop_add_hero,armycamp_A,,,,,,1,,20,2700,5100,0,4800,,,1,chapter_task_21_desc,0,
22,3,specify_building_level,produce_marble_A,1,,,,,,,0,2700,5100,9000,4800,,,1,chapter_task_22_desc,0,
23,3,specify_building_level,storage_marble,1,,,,,,,20,2700,5100,9000,4800,,"hero_405,16",0,chapter_task_23_desc,0,
24,3,hero_level,,11,,,,,,,20,2700,0,0,4800,,,1,chapter_task_24_desc,0,
25,3,specify_building_level,produce_lumber_A,3,,,,,,,0,0,5100,9000,4800,,"hero_008,4",0,chapter_task_25_desc,0,
26,3,specify_building_level,produce_steel_A,3,,,,,,,0,0,5100,9000,4800,,,1,chapter_task_26_desc,0,
27,3,recruit,,,,,,,5,,20,2700,5100,9000,4800,,,1,chapter_task_27_desc,0,
28,3,specify_building_level,produce_food_A,3,,,,,,,0,2700,5100,9000,4800,,,1,chapter_task_28_desc,0,
29,3,specify_building_level,produce_marble_A,3,,,,,,,20,0,5100,9000,4800,,"hero_109,2",0,chapter_task_29_desc,0,
30,3,building_level,storage_lumber,3,,,,,,,0,2700,5100,0,4800,,,1,chapter_task_30_desc,0,
31,3,specify_building_level,tribute_gold_A,1,,,,,,,20,2700,5100,9000,4800,,,1,chapter_task_31_desc,0,
32,3,building_level,storage_food,3,,,,,,,20,2700,5100,0,4800,,"hero_107,1",0,chapter_task_32_desc,0,
33,3,building_level,storage_steel,3,,,,,,,0,2700,5100,0,4800,,,1,chapter_task_33_desc,0,
34,3,building_level,storage_marble,3,,,,,,,0,2700,5100,0,4800,,,1,chapter_task_34_desc,0,
35,3,join_alliance,,,,,,,,,0,2700,0,0,0,,,1,chapter_task_35_desc,0,
36,3,alliance_chat,,,1,,,,,,0,2700,5100,9000,4800,,,1,chapter_task_36_desc,0,
37,3,building_level,townhall,4,,,,,,,20,2700,5100,0,4800,,"hero_107,1",0,chapter_task_37_desc,0,
38,4,specify_building_level,armycamp_C,1,,,,,,,0,4450,10200,0,10200,,,1,chapter_task_38_desc,0,
39,4,specify_building_level,armycamp_A,4,,,,,,,68,4450,0,14300,10200,,"hero_111,1",0,chapter_task_39_desc,0,
40,4,hero_level,,16,,,,,,,0,4450,10200,14300,10200,,,1,chapter_task_40_desc,0,
41,4,specify_building_level,hero_attack_up_building,1,,,,,,,68,4450,10200,14300,0,,,1,chapter_task_41_desc,0,
42,4,specify_building_level,hero_defence_up_building,1,,,,,,,68,4450,10200,14300,0,,,1,chapter_task_42_desc,0,
43,4,specify_building_level,produce_lumber_A,4,,,,,,,0,4450,0,0,10200,,"hero_211,2",0,chapter_task_43_desc,0,
44,4,specify_building_level,produce_steel_A,4,,,,,,,68,4450,10200,14300,0,,,1,chapter_task_44_desc,0,
45,4,specify_building_level,produce_food_A,4,,,,,,,0,0,10200,14300,10200,,,1,chapter_task_45_desc,0,
46,4,specify_building_level,produce_marble_A,4,,,,,,,68,4450,0,0,0,,"hero_111,2",0,chapter_task_46_desc,0,
47,4,pvp_times,,,,,,,1,,0,4450,10200,14300,10200,,,1,chapter_task_47_desc,0,
48,4,building_level,storage_lumber,4,,,,,,,0,4450,10200,14300,10200,,,1,chapter_task_48_desc,0,
