level,type,chest,version
1,resource,"silver_chest_1,1,3;golden_chest_1,2,1",0
2,resource,"silver_chest_2,1,4;golden_chest_2,2,1",0
3,resource,"silver_chest_3,1,5;golden_chest_3,2,1",0
4,resource,"silver_chest_4,1,10;golden_chest_4,2,3",0
5,resource,"silver_chest_5,1,40;golden_chest_5,2,20;magic_chest_5,3,1",0
6,resource,"silver_chest_6,1,50;golden_chest_6,2,25;magic_chest_6,3,1",0
7,resource,"silver_chest_7,1,60;golden_chest_7,2,30;magic_chest_7,3,2",0
8,resource,"silver_chest_8,1,70;golden_chest_8,2,35;magic_chest_8,3,2",0
9,resource,"silver_chest_9,1,80;golden_chest_9,2,40;magic_chest_9,3,2",0
10,resource,"silver_chest_10,1,90;golden_chest_10,2,45;magic_chest_10,3,3",0
11,resource,"silver_chest_11,1,100;golden_chest_11,2,50;magic_chest_11,3,3",0
12,resource,"silver_chest_12,1,110;golden_chest_12,2,55;magic_chest_12,3,3",0
13,resource,"silver_chest_13,1,120;golden_chest_13,2,60;magic_chest_13,3,3",0
1,npc_city,"silver_chest_1,1,3;golden_chest_1,2,1",0
2,npc_city,"silver_chest_2,1,4;golden_chest_2,2,1",0
3,npc_city,"silver_chest_3,1,5;golden_chest_3,2,1",0
4,npc_city,"silver_chest_4,1,10;golden_chest_4,2,3",0
5,npc_city,"silver_chest_5,1,40;golden_chest_5,2,20;magic_chest_5,3,1",0
6,npc_city,"silver_chest_6,1,50;golden_chest_6,2,25;magic_chest_6,3,1",0
7,npc_city,"silver_chest_7,1,60;golden_chest_7,2,30;magic_chest_7,3,2",0
8,npc_city,"silver_chest_8,1,70;golden_chest_8,2,35;magic_chest_8,3,2",0
9,npc_city,"silver_chest_9,1,80;golden_chest_9,2,40;magic_chest_9,3,2",0
10,npc_city,"silver_chest_10,1,90;golden_chest_10,2,45;magic_chest_10,3,3",0
11,npc_city,"silver_chest_11,1,100;golden_chest_11,2,50;magic_chest_11,3,3",0
12,npc_city,"silver_chest_12,1,110;golden_chest_12,2,55;magic_chest_12,3,3",0
13,npc_city,"silver_chest_13,1,120;golden_chest_13,2,60;magic_chest_13,3,3",0
1,bridge,"silver_chest_1,1,3;golden_chest_1,2,1",0
2,bridge,"silver_chest_2,1,4;golden_chest_2,2,1",0
3,bridge,"silver_chest_3,1,5;golden_chest_3,2,1",0
4,bridge,"silver_chest_4,1,10;golden_chest_4,2,3",0
5,bridge,"silver_chest_5,1,40;golden_chest_5,2,20;magic_chest_5,3,1",0
6,bridge,"silver_chest_6,1,50;golden_chest_6,2,25;magic_chest_6,3,1",0
7,bridge,"silver_chest_7,1,60;golden_chest_7,2,30;magic_chest_7,3,2",0
8,bridge,"silver_chest_8,1,70;golden_chest_8,2,35;magic_chest_8,3,2",0
9,bridge,"silver_chest_9,1,80;golden_chest_9,2,40;magic_chest_9,3,2",0
10,bridge,"silver_chest_10,1,90;golden_chest_10,2,45;magic_chest_10,3,3",0
11,bridge,"silver_chest_11,1,100;golden_chest_11,2,50;magic_chest_11,3,3",0
12,bridge,"silver_chest_12,1,110;golden_chest_12,2,55;magic_chest_12,3,3",0
13,bridge,"silver_chest_13,1,120;golden_chest_13,2,60;magic_chest_13,3,3",0
