default_skill,{0},{1},{2},{3},{4},{5},{6},{7}
default_hero_405_skill_1,25,0,72,0,180,0,0,0
default_hero_008_skill_1,25,0,0,2,0,0,0,0
default_hero_109_skill_1,25,0,66,0,165,7,5,16
default_hero_106_skill_1,33,0,54,0,30,147,0,82.5
default_hero_108_skill_1,100,0,2,100,4.5,0,0,0
default_hero_107_skill_1,100,0,29,100,1.5,0,0,0
default_hero_211_skill_1,25,0,12,3,6,0,3,0
default_hero_111_skill_1,33,0,128,3,51,0,0,0
default_hero_110_skill_1,33,0,12,3,22.5,0,0,0
default_hero_105_skill_1,33,0,24,0,60,0,2,0
default_hero_201_skill_1,30,0,104,0,45,0,0,0
default_hero_101_skill_1,100,0,648,0,150,0,0,0
default_hero_009_skill_1,100,0,4,0,30,3,0,1.5
default_hero_011_skill_1,40,0,48,3,45,0,0,0
default_hero_010_skill_1,33,0,72,3,7.5,0,0,0
default_hero_204_skill_1,40,0,127,0,30,64,3,15
default_hero_202_skill_1,25,0,60,0,30,0,0,0
default_hero_203_skill_1,50,0,0,2,0,0,2,0
default_hero_104_skill_1,100,0,29,0,3,20,0,0
default_hero_007_skill_1,33,0,962,0,270,0,0,0
default_hero_004_skill_1,30,0,0,2,0,0,0,0
default_hero_012_skill_1,33,0,44,0,90,0,0,0
default_hero_207_skill_1,100,0,0,0,0,16,0,6
default_hero_005_skill_1,33,0,0,2,0,0,0,0
default_hero_210_skill_1,50,0,63,2,10.5,0,0,0
default_hero_208_skill_1,25,0,36,0,18,5,3,12
default_hero_206_skill_1,25,0,8,0,22.5,0,0,0
default_hero_307_skill_1,100,0,108,0,50,0,0,0
default_hero_306_skill_1,32,0,0,1,0,0,0,0
default_hero_006_skill_1,60,0,119,3,22.5,0,0,0
default_hero_003_skill_1,25,0,28,0,80,0,0,0
default_hero_303_skill_1,33,0,24,3,150,0,0,0
default_hero_302_skill_1,80,0,48,0,30,0,0,0
default_hero_205_skill_1,75,0,0,3,0,0,0,0
default_hero_001_skill_1,38,0,41,3,21,0,0,0
default_hero_305_skill_1,40,0,0,0,0,0,0,0
default_hero_209_skill_1,25,0,10,3,18,30,3,0
default_hero_212_skill_1,25,0,6,100,35,0,0,0
default_hero_102_skill_1,33,0,6,2,3,0,0,0
default_hero_401_skill_1,40,0,70,0,45,0,3,0
default_hero_403_skill_1,100,0,15,100,7.5,0,0,0
default_hero_002_skill_1,50,0,0,2,0,0,0,0
default_hero_301_skill_1,40,0,0,2,0,0,0,0
default_hero_406_skill_1,25,0,0,0,0,0,0,0
default_hero_402_skill_1,40,0,0,2,0,0,0,0
default_hero_304_skill_1,40,0,375,0,97.5,0,2,0
default_hero_103_skill_1,100,0,30,0,15,0,0,0
default_hero_112_skill_1,100,0,22,100,75,15,100,1.5
default_hero_404_skill_1,40,0,144,0,7.5,185,0,60
default_hero_407_skill_1,100,0,29,5,12,25,5,0
default_hero_501_skill_1,100,0,1431,0,480,576,0,30
default_hero_502_skill_1,100,0,576,0,150,0,3,0
default_hero_503_skill_1,100,0,210,0,105,0,0,0
default_hero_504_skill_1,100,0,210,0,105,0,0,0
default_hero_505_skill_1,100,0,93,0,300,0,0,0
default_hero_506_skill_1,100,0,93,0,300,0,0,0
default_hero_507_skill_1,100,0,93,0,300,0,0,0
default_hero_508_skill_1,25,0,447,0,300,0,3,0
default_hero_509_skill_1,33,50,56,3,37.5,30,3,0
default_hero_510_skill_1,25,0,90,3,60,0,0,0
default_hero_511_skill_1,45,0,224,0,150,42,4,37.5
default_hero_512_skill_1,70,0,179,0,120,0,0,0
default_hero_513_skill_1,90,0,15,3,1.5,10,3,9
default_hero_514_skill_1,25,0,67,3,34.5,0,3,0
default_hero_515_skill_1,33,0,72,3,7.5,0,3,0
default_hero_516_skill_1,100,0,15,0,1.5,30,0,0
default_hero_517_skill_1,75,0,72,0,37.5,0,0,0
default_hero_518_skill_1,70,0,188,0,19.5,0,0,0
default_hero_519_skill_1,80,0,231,0,24,0,3,0
default_hero_520_skill_1,33,0,459,0,180,0,0,0
default_hero_521_skill_1,50,0,0,2,0,0,0,0
default_hero_522_skill_1,25,0,306,0,120,0,0,0
default_hero_523_skill_1,90,0,306,0,120,0,3,0
default_hero_524_skill_1,25,0,0,3,0,0,0,0
default_hero_525_skill_1,100,0,31,0,12,4,2,1.5
default_hero_526_skill_1,100,0,0,0,0,0,0,0
default_hero_526_skill_2,100,0,47,100,15,0,0,0
default_hero_526_skill_3,100,0,93,0,30,0,2,0
default_hero_526_skill_4,100,50,0,2,0,0,0,0
default_hero_527_skill_1,100,0,1,100,30,0,0,0
default_hero_528_skill_1,100,0,1,100,30,0,0,0
default_hero_529_skill_1,100,0,0,0,0,0,0,0
default_hero_529_skill_2,100,0,44,100,12,0,0,0
default_hero_529_skill_3,100,0,88,0,24,0,2,0
default_hero_529_skill_4,100,50,0,2,0,0,0,0
default_hero_530_skill_1,100,0,1,100,9.9,0,0,0
default_hero_531_skill_1,100,0,1,100,9.9,0,0,0
default_hero_532_skill_1,100,0,0,0,0,0,0,0
default_hero_532_skill_2,100,0,5,100,0.9,0,0,0
default_hero_532_skill_3,100,0,90,0,19.5,0,2,0
default_hero_532_skill_4,100,50,0,2,0,0,0,0
default_hero_533_skill_1,100,0,1,100,11.25,0,0,0
default_hero_534_skill_1,100,0,1,100,11.25,0,0,0
default_hero_535_skill_1,100,0,0,0,0,0,0,0
default_hero_535_skill_2,100,0,42,100,13.5,0,0,0
default_hero_535_skill_3,100,0,93,0,30,0,2,0
default_hero_535_skill_4,100,50,0,2,0,0,0,0
default_hero_536_skill_1,100,0,1,100,30,0,0,0
default_hero_537_skill_1,100,0,1,100,30,0,0,0
default_hero_538_skill_1,100,0,0,0,0,0,0,0
default_hero_538_skill_2,100,0,44,100,12,0,0,0
default_hero_538_skill_3,100,0,88,0,24,0,2,0
default_hero_538_skill_4,100,50,0,2,0,0,0,0
default_hero_539_skill_1,100,0,1,100,9.75,0,0,0
default_hero_540_skill_1,100,0,1,100,9.75,0,0,0
default_hero_541_skill_1,100,0,0,0,0,0,0,0
default_hero_541_skill_2,100,0,5,100,0.9,0,0,0
default_hero_541_skill_3,100,0,90,0,19.5,0,2,0
default_hero_541_skill_4,100,50,0,2,0,0,0,0
