name,pos_1_names,pos_1_level,pos_1_troop_amount,pos_2_names,pos_2_level,pos_2_troop_amount,pos_3_names,pos_3_level,pos_3_troop_amount,pos_4_names,pos_4_level,pos_4_troop_amount,pos_5_names,pos_5_level,pos_5_troop_amount,pos_6_names,pos_6_level,pos_6_troop_amount
demon_attack_group_1,"hero_508,hero_509,hero_510,hero_511,hero_512,hero_513",5,0.7,,,,,,,,,,,,,,,
demon_attack_group_2,"hero_508,hero_509,hero_510,hero_511,hero_512,hero_513",5,0.9,"hero_508,hero_509,hero_510,hero_511,hero_512,hero_513",5,0.9,,,,,,,,,,,,
demon_attack_group_2,"hero_520,hero_521,hero_522,hero_523,hero_524,hero_525",5,0.9,"hero_520,hero_521,hero_522,hero_523,hero_524,hero_525",5,0.9,,,,,,,,,,,,
demon_attack_group_3,"hero_508,hero_509,hero_510,hero_511,hero_512,hero_513",5,1,"hero_508,hero_509,hero_510,hero_511,hero_512,hero_513",5,1,"hero_508,hero_509,hero_510,hero_511,hero_512,hero_513",5,1,,,,,,,,,
demon_attack_group_3,"hero_520,hero_521,hero_522,hero_523,hero_524,hero_525",5,1,"hero_520,hero_521,hero_522,hero_523,hero_524,hero_525",5,1,"hero_520,hero_521,hero_522,hero_523,hero_524,hero_525",5,1,,,,,,,,,
demon_attack_group_3,"hero_514,hero_515,hero_516,hero_517,hero_518,hero_519",5,1,"hero_514,hero_515,hero_516,hero_517,hero_518,hero_519",5,1,"hero_514,hero_515,hero_516,hero_517,hero_518,hero_519",5,1,,,,,,,,,
demon_attack_group_4,"hero_508,hero_509,hero_510,hero_511,hero_512,hero_513",10,1.2,"hero_508,hero_509,hero_510,hero_511,hero_512,hero_513",10,1.2,"hero_508,hero_509,hero_510,hero_511,hero_512,hero_513",10,1.2,,,,,,,,,
demon_attack_group_4,"hero_520,hero_521,hero_522,hero_523,hero_524,hero_525",10,1.2,"hero_520,hero_521,hero_522,hero_523,hero_524,hero_525",10,1.2,"hero_520,hero_521,hero_522,hero_523,hero_524,hero_525",10,1.2,,,,,,,,,
demon_attack_group_4,"hero_514,hero_515,hero_516,hero_517,hero_518,hero_519",10,1.2,"hero_514,hero_515,hero_516,hero_517,hero_518,hero_519",10,1.2,"hero_514,hero_515,hero_516,hero_517,hero_518,hero_519",10,1.2,,,,,,,,,
demon_attack_group_4,"hero_508,hero_509,hero_510,hero_511,hero_512,hero_513",10,1.2,"hero_508,hero_509,hero_510,hero_511,hero_512,hero_513",10,1.2,"hero_520,hero_521,hero_522,hero_523,hero_524,hero_525",10,1.2,,,,,,,,,
demon_attack_group_4,"hero_508,hero_509,hero_510,hero_511,hero_512,hero_513",10,1.2,"hero_508,hero_509,hero_510,hero_511,hero_512,hero_513",10,1.2,"hero_514,hero_515,hero_516,hero_517,hero_518,hero_519",10,1.2,,,,,,,,,
demon_attack_group_4,"hero_520,hero_521,hero_522,hero_523,hero_524,hero_525",10,1.2,"hero_520,hero_521,hero_522,hero_523,hero_524,hero_525",10,1.2,"hero_508,hero_509,hero_510,hero_511,hero_512,hero_513",10,1.2,,,,,,,,,
demon_attack_group_4,"hero_520,hero_521,hero_522,hero_523,hero_524,hero_525",10,1.2,"hero_520,hero_521,hero_522,hero_523,hero_524,hero_525",10,1.2,"hero_514,hero_515,hero_516,hero_517,hero_518,hero_519",10,1.2,,,,,,,,,
demon_attack_group_4,"hero_514,hero_515,hero_516,hero_517,hero_518,hero_519",10,1.2,"hero_514,hero_515,hero_516,hero_517,hero_518,hero_519",10,1.2,"hero_508,hero_509,hero_510,hero_511,hero_512,hero_513",10,1.2,,,,,,,,,
demon_attack_group_4,"hero_514,hero_515,hero_516,hero_517,hero_518,hero_519",10,1.2,"hero_514,hero_515,hero_516,hero_517,hero_518,hero_519",10,1.2,"hero_520,hero_521,hero_522,hero_523,hero_524,hero_525",10,1.2,,,,,,,,,
