name,level,army_type,dominant_up_percent
paper_dominant_up,1,paper,0.01
paper_dominant_up,2,paper,0.02
paper_dominant_up,3,paper,0.03
paper_dominant_up,4,paper,0.04
paper_dominant_up,5,paper,0.05
paper_dominant_up,6,paper,0.06
paper_dominant_up,7,paper,0.07
paper_dominant_up,8,paper,0.08
paper_dominant_up,9,paper,0.09
paper_dominant_up,10,paper,0.1
paper_dominant_up,11,paper,0.11
paper_dominant_up,12,paper,0.12
scissors_dominant_up,1,scissors,0.01
scissors_dominant_up,2,scissors,0.02
scissors_dominant_up,3,scissors,0.03
scissors_dominant_up,4,scissors,0.04
scissors_dominant_up,5,scissors,0.05
scissors_dominant_up,6,scissors,0.06
scissors_dominant_up,7,scissors,0.07
scissors_dominant_up,8,scissors,0.08
scissors_dominant_up,9,scissors,0.09
scissors_dominant_up,10,scissors,0.1
scissors_dominant_up,11,scissors,0.11
scissors_dominant_up,12,scissors,0.12
rock_dominant_up,1,rock,0.01
rock_dominant_up,2,rock,0.02
rock_dominant_up,3,rock,0.03
rock_dominant_up,4,rock,0.04
rock_dominant_up,5,rock,0.05
rock_dominant_up,6,rock,0.06
rock_dominant_up,7,rock,0.07
rock_dominant_up,8,rock,0.08
rock_dominant_up,9,rock,0.09
rock_dominant_up,10,rock,0.1
rock_dominant_up,11,rock,0.11
rock_dominant_up,12,rock,0.12
