chest,times,heroes,weight,join_heroes,special_weight,special_heroes,price,rarity,T1,T2,T3,T4,T5
guide_free_gift_1,1,2;2;hero_405,1000,,500,,0,3,2~2,0~0,0~0,0~0,0~0
wooden_chest_1,1,"3;4;hero_405,hero_008,hero_109","1000,1000,1000","3;4;hero_108,hero_009,hero_206,hero_303,hero_212,hero_103|1;2;hero_106,hero_201,hero_203,hero_207,hero_306,hero_205,hero_403,hero_112|1;2;hero_107,hero_101,hero_204,hero_007,hero_210,hero_305,hero_002,hero_404,hero_407",500,,0,1,3~4,1~2,1~2,0~0,0~0
wooden_chest_2,1,"4;6;hero_405,hero_008,hero_109","1000,1000,1000","4;6;hero_108,hero_009,hero_206,hero_303,hero_212,hero_103|1;2;hero_106,hero_201,hero_203,hero_207,hero_306,hero_205,hero_403,hero_112|1;2;hero_107,hero_101,hero_204,hero_007,hero_210,hero_305,hero_002,hero_404,hero_407",500,,0,1,4~6,1~2,1~2,0~0,0~0
wooden_chest_3,1,"6;9;hero_405,hero_008,hero_109","1000,1000,1000","6;9;hero_108,hero_009,hero_206,hero_303,hero_212,hero_103|1;2;hero_106,hero_201,hero_203,hero_207,hero_306,hero_205,hero_403,hero_112|1;2;hero_107,hero_101,hero_204,hero_007,hero_210,hero_305,hero_002,hero_404,hero_407",500,,0,1,6~9,1~2,1~2,0~0,0~0
wooden_chest_4,1,"8;11;hero_405,hero_008,hero_109,hero_211|2;3;hero_111","1000,1000,1000,500,500","8;11;hero_108,hero_009,hero_206,hero_303,hero_212,hero_103|2;3;hero_106,hero_201,hero_203,hero_207,hero_306,hero_205,hero_403,hero_112|1;2;hero_107,hero_101,hero_204,hero_007,hero_210,hero_305,hero_002,hero_404,hero_407",500,,0,1,8~11,2~3,1~2,0~0,0~0
wooden_chest_5,2,"7;10;hero_405,hero_008,hero_109,hero_211,hero_110,hero_105|2;3;hero_111","1000,1000,1000,500,500,500,300","7;10;hero_108,hero_009,hero_206,hero_303,hero_212,hero_103|2;3;hero_106,hero_201,hero_203,hero_207,hero_306,hero_205,hero_403,hero_112|1;2;hero_107,hero_101,hero_204,hero_007,hero_210,hero_305,hero_002,hero_404,hero_407",500,,0,1,13~20,4~5,2~3,0~0,0~0
wooden_chest_6,2,"9;14;hero_405,hero_008,hero_109,hero_211,hero_110,hero_105|3;4;hero_111,hero_011,hero_010","1000,1000,1000,500,500,500,300,300,300","9;14;hero_108,hero_009,hero_206,hero_303,hero_212,hero_103|3;4;hero_106,hero_201,hero_203,hero_207,hero_306,hero_205,hero_403,hero_112|2;3;hero_107,hero_101,hero_204,hero_007,hero_210,hero_305,hero_002,hero_404,hero_407",500,,0,1,18~27,5~8,4~5,0~0,0~0
wooden_chest_7,2,"12;18;hero_405,hero_008,hero_109,hero_211,hero_110,hero_105,hero_202|4;5;hero_111,hero_011,hero_010,hero_104","1000,1000,1000,500,500,500,300,300,300,100","12;18;hero_108,hero_009,hero_206,hero_303,hero_212,hero_103|4;5;hero_106,hero_201,hero_203,hero_207,hero_306,hero_205,hero_403,hero_112|2;3;hero_107,hero_101,hero_204,hero_007,hero_210,hero_305,hero_002,hero_404,hero_407",500,,0,1,24~36,7~10,4~5,0~0,0~0
wooden_chest_8,2,"14;21;hero_405,hero_008,hero_109,hero_211,hero_110,hero_105,hero_202,hero_004,hero_012|4;6;hero_111,hero_011,hero_010,hero_104,hero_005","1000,1000,1000,500,500,500,300,300,300,100","14;21;hero_108,hero_009,hero_206,hero_303,hero_212,hero_103|4;6;hero_106,hero_201,hero_203,hero_207,hero_306,hero_205,hero_403,hero_112|4;5;hero_107,hero_101,hero_204,hero_007,hero_210,hero_305,hero_002,hero_404,hero_407",500,,0,1,28~41,8~12,7~10,0~0,0~0
wooden_chest_9,3,"16;24;hero_405,hero_008,hero_109,hero_211,hero_110,hero_105,hero_202,hero_004,hero_012,hero_208|5;8;hero_111,hero_011,hero_010,hero_104,hero_005,hero_307|3;4;hero_006","1000,1000,1000,500,500,500,300,300,300,100","16;24;hero_108,hero_009,hero_206,hero_303,hero_212,hero_103|5;8;hero_106,hero_201,hero_203,hero_207,hero_306,hero_205,hero_403,hero_112|3;4;hero_107,hero_101,hero_204,hero_007,hero_210,hero_305,hero_002,hero_404,hero_407",500,,0,1,48~72,15~22,8~11,0~0,0~0
wooden_chest_10,3,"19;28;hero_405,hero_008,hero_109,hero_211,hero_110,hero_105,hero_202,hero_004,hero_012,hero_208,hero_003|8;11;hero_111,hero_011,hero_010,hero_104,hero_005,hero_307,hero_302,hero_001|4;5;hero_006","1000,1000,1000,500,500,500,300,300,300,100","19;28;hero_108,hero_009,hero_206,hero_303,hero_212,hero_103|8;11;hero_106,hero_201,hero_203,hero_207,hero_306,hero_205,hero_403,hero_112|4;5;hero_107,hero_101,hero_204,hero_007,hero_210,hero_305,hero_002,hero_404,hero_407",500,,0,1,56~83,22~33,10~15,0~0,0~0
wooden_chest_11,3,"22;33;hero_405,hero_008,hero_109,hero_211,hero_110,hero_105,hero_202,hero_004,hero_012,hero_208,hero_003,hero_209,hero_102|8;12;hero_111,hero_011,hero_010,hero_104,hero_005,hero_307,hero_302,hero_001,hero_401|4;6;hero_006","1000,1000,1000,500,500,500,300,300,300,100","22;33;hero_108,hero_009,hero_206,hero_303,hero_212,hero_103|8;12;hero_106,hero_201,hero_203,hero_207,hero_306,hero_205,hero_403,hero_112|4;6;hero_107,hero_101,hero_204,hero_007,hero_210,hero_305,hero_002,hero_404,hero_407",500,,0,1,65~98,24~36,12~18,0~0,0~0
wooden_chest_12,3,"26;39;hero_405,hero_008,hero_109,hero_211,hero_110,hero_105,hero_202,hero_004,hero_012,hero_208,hero_003,hero_209,hero_102,hero_301,hero_406|9;14;hero_111,hero_011,hero_010,hero_104,hero_005,hero_307,hero_302,hero_001,hero_401,hero_402|5;8;hero_006,hero_304","1000,1000,1000,500,500,500,300,300,300,100","26;39;hero_108,hero_009,hero_206,hero_303,hero_212,hero_103|9;14;hero_106,hero_201,hero_203,hero_207,hero_306,hero_205,hero_403,hero_112|5;8;hero_107,hero_101,hero_204,hero_007,hero_210,hero_305,hero_002,hero_404,hero_407",500,,0,1,77~116,27~40,15~22,0~0,0~0
wooden_chest_13,3,"32;48;hero_405,hero_008,hero_109,hero_211,hero_110,hero_105,hero_202,hero_004,hero_012,hero_208,hero_003,hero_209,hero_102,hero_301,hero_406|12;17;hero_111,hero_011,hero_010,hero_104,hero_005,hero_307,hero_302,hero_001,hero_401,hero_402|6;9;hero_006,hero_304","1000,1000,1000,500,500,500,300,300,300,100","32;48;hero_108,hero_009,hero_206,hero_303,hero_212,hero_103|12;17;hero_106,hero_201,hero_203,hero_207,hero_306,hero_205,hero_403,hero_112|6;9;hero_107,hero_101,hero_204,hero_007,hero_210,hero_305,hero_002,hero_404,hero_407",500,,0,1,96~144,34~51,17~26,0~0,0~0
